,Grocery_Name,Brand_Name,Rating,Discount_Price,MRP_Price,Quantity
0,Beaten Caffe Powder,Sunbean,4.7,₹142.5,₹150,120 g - (10 Sachets x 12 g each)
1,Tea,Red Label,4.1,₹1079,₹1200,2x1 kg - Multipack
2,Tea - Natural Care,Red Label,4.1,₹1020,₹1200,2x1 kg - Multipack
3,Mineral Water,Bisleri,4.2,₹288,₹288,250 ml - Pack of 48
4,Tea,Taj Mahal,4,₹1566,₹1760,2x1 kg - Multipack
5,"Coffee - Powder, Speciality Blend Of Coffee & Chicory Powder",Cothas Coffee,4.3,₹612,₹680,2x500 g - Multipack
6,Coffee - Sunrise,Nescafe,4.2,₹798,₹920,2x200 g - Multipack
7,Instant Coffee,BRU,4.2,₹720,₹800,2x200 g - Multipack
8,Leaf Tea,Tata Tea Gold,4.2,₹936,₹1200,2x1 kg - Multipack
9,Chocolate Health Drink,Cadbury Bournvita,4.3,₹598,₹740,2x750 g - Multipack
10,Filter Coffee - Green Label,BRU,4.1,₹532,₹560,2x500 g - Multipack
11,Drink Powder - Sports Stars First Choice,Boost,4.2,₹5,₹5,15 g
12,"Tender Coconut Water - No Added Sugar, Flavours",Fresho,4,₹888,₹1200,24x200 ml - (Multipack)
13,Health Drink - Original,Horlicks,4.1,₹898,₹898,2x900 g - Multipack
14,Drink - Fresh 'N' Juicy Mango,Frooti,4.1,₹140,₹140,2x1.2 L - Multipack
15,Sparkling Water - Club Soda,Kinley,4.2,₹60,₹60,2x1.25 L - Multipack
16,Premium Leaf Tea - Strong & Refreshing,Wagh Bakri,4.2,₹499,₹510,1 kg - Pouch
17,"Nutrition Drink - Health, Energy & Sports",Boost,4.2,₹738,₹898,2x750 g - Multipack
18,Tea,Tata Tea Kanan Devan,4.2,₹28.8,₹32,100 g
19,Tea,3 Roses,4.1,₹340.27,₹345.27,500 g - Carton
20,Coffee Powder Extra Strong,Cothas Coffee,4.1,₹275,₹275,500 g - Pouch
21,Mineral Water,Kinley,4.1,₹315,₹315,2 L - Pack of 9
22,Classic 100% Pure Instant Coffee,Nescafe,4.2,₹2622.6,₹2790,2x500 g - (Multipack)
23,"Soft Drink - Zero Sugar, No Calories",Coca Cola,4.1,₹32,₹40,750 ml - Pet Bottle
