,Sr.No.,Grocery_Name,Brand_Name,Rating,MRP_Price,Discount_Price,Total Disc,Percetage Disc,Quantity_upd,Price_per_unit(gm/ml/pc)
0,,Beaten Caffe Powder,Sunbean,4.7,150.0,142.5,7.5,5.0,120 g ,1.1875
1,1.0,Tea,Red Label,4.1,1200.0,1079.0,121.0,10.08,2 kg,0.5395
2,2.0,Tea - Natural Care,Red Label,4.1,1200.0,1020.0,180.0,15.0,2 kg,0.51
3,3.0,Mineral Water,Bisleri,4.2,288.0,288.0,0.0,0.0,250 ml ,1.152
4,4.0,Tea,Taj Mahal,4.0,1760.0,1566.0,194.0,11.02,2 kg,0.783
5,5.0,"Coffee - Powder, Speciality Blend Of Coffee & Chicory Powder",Cothas Coffee,4.3,680.0,612.0,68.0,10.0,1000 g,0.612
6,6.0,Coffee - Sunrise,Nescafe,4.2,920.0,798.0,122.0,13.26,400 g,1.995
7,7.0,Instant Coffee,BRU,4.2,800.0,720.0,80.0,10.0,400 g,1.8
8,8.0,Leaf Tea,Tata Tea Gold,4.2,1200.0,936.0,264.0,22.0,2 kg,0.468
9,9.0,Chocolate Health Drink,Cadbury Bournvita,4.3,740.0,598.0,142.0,19.19,1500 g,0.39866666666666667
10,10.0,Filter Coffee - Green Label,BRU,4.1,560.0,532.0,28.0,5.0,1000 g,0.532
11,11.0,Drink Powder - Sports Stars First Choice,Boost,4.2,5.0,5.0,0.0,0.0,15 g,0.3333333333333333
12,12.0,"Tender Coconut Water - No Added Sugar, Flavours",Fresho,4.0,1200.0,888.0,312.0,26.0,4800 ml,0.185
13,13.0,Health Drink - Original,Horlicks,4.1,898.0,898.0,0.0,0.0,1800 g,0.4988888888888889
14,14.0,Drink - Fresh 'N' Juicy Mango,Frooti,4.1,140.0,140.0,0.0,0.0,2.4 L,0.058333333333333334
15,15.0,Sparkling Water - Club Soda,Kinley,4.2,60.0,60.0,0.0,0.0,2.5 L,0.024
16,16.0,Premium Leaf Tea - Strong & Refreshing,Wagh Bakri,4.2,510.0,499.0,11.0,2.16,1 kg ,0.499
17,17.0,"Nutrition Drink - Health, Energy & Sports",Boost,4.2,898.0,738.0,160.0,17.82,1500 g,0.492
18,18.0,Tea,Tata Tea Kanan Devan,4.2,32.0,28.8,3.1999999999999993,10.0,100 g,0.28800000000000003
19,19.0,Tea,3 Roses,4.1,345.27,340.27,5.0,1.45,500 g ,0.6805399999999999
20,20.0,Coffee Powder Extra Strong,Cothas Coffee,4.1,275.0,275.0,0.0,0.0,500 g ,0.55
21,21.0,Mineral Water,Kinley,4.1,315.0,315.0,0.0,0.0,2 L ,0.1575
22,22.0,Classic 100% Pure Instant Coffee,Nescafe,4.2,2790.0,2622.6,167.4000000000001,6.0,1000 g,2.6226
23,23.0,"Soft Drink - Zero Sugar, No Calories",Coca Cola,4.1,40.0,32.0,8.0,20.0,750 ml ,0.042666666666666665
24,24.0,Tea,Tata Tea Premium,4.2,705.0,475.0,230.0,32.62,1. 5 kg,
25,25.0,Badam Drink Mix,MTR,4.2,275.0,250.0,25.0,9.09,500 g,0.5
26,26.0,Soft Drink,Thums Up,4.1,190.0,160.0,30.0,15.79,4 L,0.04
27,27.0,Coffee - Eighty Degree,Bayars,4.2,320.0,320.0,0.0,0.0,500 g,0.64
28,28.0,Soft Drink - Original Taste,Coca Cola,4.1,960.0,768.0,192.0,20.0,18000 ml,0.042666666666666665
29,29.0,Coffee - Special Gold,Bayars,4.3,270.0,270.0,0.0,0.0,500 g,0.54
30,30.0,Packaged Drinking Water,Aquafina,4.2,315.0,315.0,0.0,0.0,2 L ,0.1575
31,31.0,Diet Coke Soft Drink,Coca Cola,4.1,240.0,240.0,0.0,0.0,1800 ml,0.13333333333333333
32,32.0,Natural Care Tea - with 5 Natural Ingredients,3 Roses,4.1,100.0,90.0,10.0,10.0,100 g,0.9
33,33.0,Coffee Powder Premium Special,Cothas Coffee,4.2,252.5,252.5,0.0,0.0,500 g ,0.505
34,34.0,Coffee Powder Cothas Blend,Cothas Coffee,4.2,270.0,270.0,0.0,0.0,500 g ,0.54
35,35.0,"Mango Drink - Original Flavour, Refreshing",Maaza,4.2,100.0,80.0,20.0,20.0,150 ml ,0.5333333333333333
36,36.0,Xtra Coffee Pouch,Continental,4.2,95.0,47.5,47.5,50.0,50 g,0.95
37,37.0,Grand Filter Coffee,Tata Coffee,4.1,280.0,231.0,49.0,17.5,500 g,0.462
38,38.0,Goodness Of 5 Natural Flavours,Tata Tea Gold Care,4.1,325.0,260.0,65.0,20.0,500 g,0.52
39,39.0,"Complete Balanced Nutrition Drink For Adults, Vanilla",Ensure,4.4,1300.0,1230.0,70.0,5.38,1 kg,1.23
40,40.0,"Black Soft Drink - Max Taste, Zero Sugar(Diet)",Pepsi,4.1,210.0,192.0,18.0,8.57,1500 ml,0.128
41,41.0,"Grand Classic Instant Coffee - Flavour Locked Decoction Crystals, Strong Taste & Rich Aroma",Tata Coffee,4.1,460.0,349.6,110.39999999999998,24.0,200 g ,1.7480000000000002
42,42.0,Health & Nutrition Drink,Horlicks,4.2,449.0,374.0,75.0,16.7,750 g ,0.49866666666666665
43,43.0,"Women's Plus, Caramel",Womens Horlicks,4.3,599.0,545.09,53.90999999999997,9.0,750 g,0.7267866666666667
44,44.0,7+ Specialized Nutrition Drink Powder With Oats & Almonds - Chocolate Flavour,Pediasure,4.1,1230.0,1150.0,80.0,6.5,800 g,1.4375
45,45.0,Indian Tonic Water,Schweppes,4.1,360.0,324.0,36.0,10.0,1800 ml,0.18
46,46.0,Soda - Original Ginger Ale,Schweppes,4.2,360.0,360.0,0.0,0.0,1800 ml,0.2
47,47.0,"Fruit Juice - Delight, Litchi",Tropicana,4.1,246.0,206.0,40.0,16.26,2 L,0.103
48,48.0,Juice - Classic Apple,Appy,4.2,60.0,60.0,0.0,0.0,800 ml,0.075
49,49.0,Paper Boat Aamras Mango Fruit Juice (Pack of 4),Paper Boat,4.0,80.0,69.92,10.079999999999998,12.6,150 ml ,0.46613333333333334
50,50.0,Spiced Tea - Blend Of 7 Refreshing Spices,Wagh Bakri,4.2,150.0,150.0,0.0,0.0,250 g,0.6
51,51.0,Health Drink Chocolate,Pediasure,4.1,1420.0,1300.0,120.0,8.45,800 g,1.625
