,Grocery_Name,Brand_Name,Rating,Discount_Price,MRP_Price,Quantity
0,Gulab Jamun Dessert Mix,Tata Sampann,3.5,₹133.4,₹145,175 g - (Buy 1 Get 1 Free)
1,2-Min Masala Instant Noodles,MAGGI,4.1,₹160,₹168,840 g - (12 Packs x 70 g)
2,"Chocolate Muesli - With 57% Multigrain, Fruit, Nut & Seeds",Kelloggs,4,₹310,₹360,450 g
3,"Marie Gold Biscuit - Crunchy, Light, Zero Trans Fat, Ready To Eat",Britannia,4,₹120,₹140,950 g
4,Gluco Biscuits - Parle-G,Parle,4.2,₹108,₹120,12x130 g - Multipack
5,Frozen Green Peas,Fresho,3.9,₹198,₹270,2x500 g - (Multipack)
6,"Coconut Almond Ball With Peanut Butter Filling - Gluten-Free, No Refined Sugar Added",Wild Date,0,₹315,₹315,135 g
7,"Digestive High Fibre Biscuits,",Britannia NutriChoice,4.2,₹114,₹120,12x 41.7 g - Multipack
8,Treat - Jim Jam Biscuits,Britannia,4.3,₹66.5,₹70,2x138 g - Multipack
9,"Choco Date Ball With Hazelnut Butter Filling - Gluten-Free, No Refined Sugar Added",Wild Date,4,₹315,₹315,135 g
10,Idly & Dosa Batter,iD Fresho,3.9,₹106.95,₹115,2 kg
11,Little Hearts Biscuits,Britannia,4.2,₹28.5,₹30,75 g
12,Instant Bhel,Haldiram's,4.2,₹60,₹60,6x44 g - Multipack
13,Potato Chips - Calm Cream & Onion Flavour,Lays,4.1,₹60,₹60,6x30 g - Multipack
14,Olive Oil Pickle - Carrot,ADF Soul,0,₹319.2,₹399,265 g
15,Bourbon Cream Biscuit - Chocolate Flavor,Britannia,4.2,₹76,₹80,2x150 g - Multipack
16,Chocolate Health Drink,Cadbury Bournvita,4.3,₹592.02,₹740,2x750 g - Multipack
17,"Potato Chips - Hot & Sweet Chilli Flavour, Best Quality",Lays,4.2,₹60,₹60,6x24 g - Multipack
18,Biscuits - Milk Bikis,Britannia,4.1,₹85.5,₹90,3x160 g - Multipack
19,Namkeen - Bhujia Sev,Haldiram's,4.1,₹178,₹180,2x350 g - Multipack
20,Namkeen - Moong Dal,Haldiram's,4.2,₹148.5,₹165,3x150 g - Multipack
21,"Digestive High Fibre Biscuits,",Britannia NutriChoice,4.1,₹120.96,₹140,2x 250 g - Multipack
22,Digestive Zero (No Maida & Zero Added Sugar),Britannia NutriChoice,4.1,₹89.78,₹105,3x 100 g - Multipack
23,Vanilla Flavour Creme Sandwich Biscuit,Cadbury Oreo,4.1,₹240,₹300,918.75 g - (7 Packs x 131.25 g Each)
24,Frozen - Green Peas,Safal,3.8,₹192,₹240,1 kg - Pouch
25,Mixed Fruit Jam - Delicious & Flavourful,Kissan,4.2,₹295,₹300,1 kg
26,Hide & Seek - Chocolate,Parle,4.2,₹90,₹120,2x200 g - Multipack
27,50-50 Maska Chaska,Britannia,4.1,₹82.8,₹90,300 g
28,Dark Fantasy Bourbon Biscuits,Sunfeast,4.2,₹17.89,₹35,120 g
29,Corn Flakes,Kelloggs,4.2,₹96,₹120,6x60 g - Multipack
30,Namkeen - Aloo Bhujia,Haldiram's,4.2,₹220,₹220,1 kg - Pouch
31,"Treat Croissant - Cocoa Creme Filling, 100% Veg, Soft",Britannia,4.1,₹60.8,₹80,4x45 g - Multipack
32,Soan Papdi,Haldiram's,4.1,₹1680,₹1680,24x250 g - Multipack
33,"Yumitos Potato Chips - Original Style, Chilli",Bingo,4.2,₹110.4,₹120,12x21 g - (Multipack)
34,"Nutri-Licious Masala Veg Atta Noodles - Herbs & Spice Blend, Iron & Fibre Rich",MAGGI,4.1,₹150,₹168,435 g - (Pack of 6)
35,Potato Chips - Indias Magic Masala,Lays,4.1,₹75.2,₹100,2 x 90 g - Multipack
36,NutriChoice Sugar Free Cream Cracker,Britannia,4.1,₹91.2,₹100,2x300 g - Multipack
37,Cheese Balls,PEPPY,4,₹90,₹180,3x60 g - Multipack
38,Namkeen - Salted Peanut,Haldiram's,4.1,₹60,₹60,6x45 g - Multipack
39,Namkeen - Masala Peanut,Haldiram's,4.1,₹60,₹60,6x50 g - Multipack
40,"Oats - Natural Wholegrain, Nutritious Breakfast Cereals, Dalia Porridge, Easy To Cook",Quaker,4.3,₹72,₹79,400 g - Pouch
41,"Hot N Sour Veggie Overload Quikie Soup - Multigrain, No Maida",Rasna,3.7,₹120,₹120,12 x 15g - Multipack
42,Chocolate Flavour Creme Sandwich Biscuit,Cadbury Oreo,4.2,₹130.38,₹159,481.25 g - (5 Packs x 96.25 g Each)
43,Dark Fantasy - Choco Fills,Sunfeast,4.2,₹279,₹420,3x300 g - (Multipack)
44,Bounce Biscuits - Orange Creme Cookies,Sunfeast,4.2,₹57,₹60,6x58 g - Multipack
45,Breakfast Mix - Rava Idli,MTR,4.2,₹185,₹215,1 kg - Pouch
46,Marie Gold Biscuits,Britannia,4.1,₹114,₹120,6x120 g - Multipack
47,Krackjack,Parle,4.1,₹90,₹120,700 g
48,Good Day Butter Cookies,Britannia,4.2,₹100,₹125,600 g
49,"Muesli Breakfast Cereal - With Multigrain & 21% Fruit, Nut & Seeds",Kelloggs,4.2,₹440,₹490,750 g
50,Vermicelli,Anil,4.1,₹51,₹51,450 g - Pouch
51,"Chikki, Peanut Bar",Paper Boat,4.1,₹102.06,₹126,3x96g - Multipack
52,Kitkat Coated Wafer Bar - Share Bag,Nestle,4.2,₹120,₹120,138.6 g - (9 pcs x 15.4 g Each)
53,Chocolate Bar,Cadbury Dairy Milk,4.2,₹114.4,₹130,134 g - Family Pack
54,Vermicelli,MTR,4.1,₹74,₹87,850 g - Pouch
55,"Treat Croissant - Vanilla Creme Filling, 100% Veg, Soft",Britannia,4,₹92.16,₹120,6x45 g - Multipack
56,"Honey Squeezy - 100% Pure, Rich In Nutrients, No Sugar, Boosts Immunity",Dabur,4.2,₹437.5,₹625,700 g - (Buy 1 Get 1 Free)
57,YiPPee! Magic Masala Noodles,Sunfeast,4.2,₹95.2,₹112,2 x 240 g - (Pack of 2)
58,Hommade - Coconut Milk,Dabur,4.2,₹203.06,₹225,3x200 ml - Multipack
59,Hazelnut Spread with Cocoa,Nutella,4.4,₹5092.2,₹5535,15x350 g - Multipack
60,Potato Chips - Classic Salted,Lays,4.1,₹75.2,₹100,2 x 90 g - Multipack
61,"Milkybar - Choo, Rich, Strawberry Flavour",Nestle,4.2,₹5,₹5,10 g - Pouch
62,Nice Time - Sugar Showered Coconut Biscuits,Britannia,4.1,₹135.38,₹150,6x143 g - Multipack
63,Premium Bake Rusk,Britannia,4.1,₹85.5,₹100,2x273 g - Multipack
64,Classic Tomato Chilli,Piknik,4.1,₹62.4,₹120,2 X 60 g - Multipack
65,Minis Chocolate Home Treats Pack,Cadbury Dairy Milk,4.2,₹396.9,₹447,3 x 119 g - Multipack
