,Grocery_Name,Discount_Price,MRP_Price,Brand_Name,Quantity
0,Gulab Jamun Dessert Mix,₹133.4,₹145,Tata Sampann,175 g - (Buy 1 Get 1 Free)
1,2-Min Masala Instant Noodles,₹160,₹168,MAGGI ,840 g - (12 Packs x 70 g)
2,"Chocolate Muesli - With 57% Multigrain, Fruit, Nut & Seeds",₹310,₹360,Kelloggs,450 g 
3,"Marie Gold Biscuit - Crunchy, Light, Zero Trans Fat, Ready To Eat",₹120,₹140,Britannia,950 g 
4,Gluco Biscuits - Parle-G,₹108,₹120,Parle,12x130 g - Multipack
5,Frozen Green Peas,₹198,₹270,Fresho,2x500 g - (Multipack)
6,"Coconut Almond Ball With Peanut Butter Filling - Gluten-Free, No Refined Sugar Added",₹315,₹315,Wild Date,135 g 
7,"Digestive High Fibre Biscuits,",₹114,₹120,Britannia NutriChoice ,12x 41.7 g - Multipack
8,Treat - Jim Jam Biscuits,₹66.5,₹70,Britannia,2x138 g - Multipack
9,"Choco Date Ball With Hazelnut Butter Filling - Gluten-Free, No Refined Sugar Added",₹315,₹315,Wild Date,135 g 
10,Idly & Dosa Batter,₹106.95,₹115,iD Fresho,2 kg 
11,Little Hearts Biscuits,₹28.5,₹30,Britannia,75 g 
12,Instant Bhel,₹60,₹60,Haldiram's,6x44 g - Multipack
13,Potato Chips - Calm Cream & Onion Flavour,₹60,₹60,Lays,6x30 g - Multipack
14,Olive Oil Pickle - Carrot,₹319.2,₹399,ADF Soul,265 g 
15,Bourbon Cream Biscuit - Chocolate Flavor,₹76,₹80,Britannia,2x150 g - Multipack
16,Chocolate Health Drink,₹592.02,₹740,Cadbury Bournvita,2x750 g - Multipack
17,"Potato Chips - Hot & Sweet Chilli Flavour, Best Quality",₹60,₹60,Lays,6x24 g - Multipack
18,Biscuits - Milk Bikis,₹85.5,₹90,Britannia,3x160 g - Multipack
19,Namkeen - Bhujia Sev,₹178,₹180,Haldiram's,2x350 g - Multipack
20,Namkeen - Moong Dal,₹148.5,₹165,Haldiram's,3x150 g - Multipack
21,"Digestive High Fibre Biscuits,",₹120.96,₹140,Britannia NutriChoice ,2x 250 g - Multipack
22,Digestive Zero (No Maida & Zero Added Sugar),₹89.78,₹105,Britannia NutriChoice ,3x 100 g - Multipack
23,Vanilla Flavour Creme Sandwich Biscuit,₹240,₹300,Cadbury Oreo,918.75 g - (7 Packs x 131.25 g Each)
24,Frozen - Green Peas,₹192,₹240,Safal,1 kg - Pouch
25,Mixed Fruit Jam - Delicious & Flavourful,₹295,₹300,Kissan,1 kg 
26,Hide & Seek - Chocolate,₹90,₹120,Parle,2x200 g - Multipack
27,50-50 Maska Chaska,₹82.8,₹90,Britannia,300 g 
28,Dark Fantasy Bourbon Biscuits,₹17.89,₹35,Sunfeast,120 g 
29,Corn Flakes,₹96,₹120,Kelloggs,6x60 g - Multipack
30,Namkeen - Aloo Bhujia,₹220,₹220,Haldiram's,1 kg - Pouch
31,"Treat Croissant - Cocoa Creme Filling, 100% Veg, Soft",₹60.8,₹80,Britannia,4x45 g - Multipack
32,Soan Papdi,₹1680,₹1680,Haldiram's,24x250 g - Multipack
33,"Yumitos Potato Chips - Original Style, Chilli",₹110.4,₹120,Bingo,12x21 g - (Multipack)
34,"Nutri-Licious Masala Veg Atta Noodles - Herbs & Spice Blend, Iron & Fibre Rich",₹150,₹168,MAGGI ,435 g - (Pack of 6)
35,Potato Chips - Indias Magic Masala,₹75.2,₹100,Lays,2 x 90 g - Multipack
36,NutriChoice Sugar Free Cream Cracker,₹91.2,₹100,Britannia,2x300 g - Multipack
37,Cheese Balls,₹90,₹180,PEPPY,3x60 g - Multipack
38,Namkeen - Salted Peanut,₹60,₹60,Haldiram's,6x45 g - Multipack
39,Namkeen - Masala Peanut,₹60,₹60,Haldiram's,6x50 g - Multipack
40,"Oats - Natural Wholegrain, Nutritious Breakfast Cereals, Dalia Porridge, Easy To Cook",₹72,₹79,Quaker,400 g - Pouch
41,"Hot N Sour Veggie Overload Quikie Soup - Multigrain, No Maida",₹120,₹120,Rasna,12 x 15g - Multipack
42,Chocolate Flavour Creme Sandwich Biscuit,₹130.38,₹159,Cadbury Oreo,481.25 g - (5 Packs x 96.25 g Each)
43,Dark Fantasy - Choco Fills,₹279,₹420,Sunfeast,3x300 g - (Multipack)
44,Bounce Biscuits - Orange Creme Cookies,₹57,₹60,Sunfeast,6x58 g - Multipack
45,Breakfast Mix - Rava Idli,₹185,₹215,MTR,1 kg - Pouch
46,Marie Gold Biscuits,₹114,₹120,Britannia,6x120 g - Multipack
47,Krackjack,₹90,₹120,Parle,700 g 
48,Good Day Butter Cookies,₹100,₹125,Britannia,600 g 
49,"Muesli Breakfast Cereal - With Multigrain & 21% Fruit, Nut & Seeds",₹440,₹490,Kelloggs,750 g 
50,Vermicelli,₹51,₹51,Anil,450 g - Pouch
51,"Chikki, Peanut Bar",₹102.06,₹126,Paper Boat,3x96g - Multipack
52,Kitkat Coated Wafer Bar - Share Bag,₹120,₹120,Nestle ,138.6 g - (9 pcs x 15.4 g Each)
53,Chocolate Bar,₹114.4,₹130,Cadbury Dairy Milk,134 g - Family Pack
54,Vermicelli,₹74,₹87,MTR,850 g - Pouch
55,"Treat Croissant - Vanilla Creme Filling, 100% Veg, Soft",₹92.16,₹120,Britannia,6x45 g - Multipack
56,"Honey Squeezy - 100% Pure, Rich In Nutrients, No Sugar, Boosts Immunity",₹437.5,₹625,Dabur,700 g - (Buy 1 Get 1 Free)
57,YiPPee! Magic Masala Noodles,₹95.2,₹112,Sunfeast,2 x 240 g - (Pack of 2)
58,Hommade - Coconut Milk,₹203.06,₹225,Dabur,3x200 ml - Multipack
59,Hazelnut Spread with Cocoa,₹5092.2,₹5535,Nutella,15x350 g - Multipack
60,Potato Chips - Classic Salted,₹75.2,₹100,Lays,2 x 90 g - Multipack
61,"Milkybar - Choo, Rich, Strawberry Flavour",₹5,₹5,Nestle ,10 g - Pouch
62,Nice Time - Sugar Showered Coconut Biscuits,₹135.38,₹150,Britannia,6x143 g - Multipack
63,Premium Bake Rusk,₹85.5,₹100,Britannia,2x273 g - Multipack
64,Classic Tomato Chilli,₹62.4,₹120,Piknik,2 X 60 g - Multipack
65,Minis Chocolate Home Treats Pack,₹396.9,₹447,Cadbury Dairy Milk,3 x 119 g - Multipack
66,"Fresh Tomato Ketchup - Tasty, Yummy & Healthy",₹139,₹150,Kissan,1.1 kg - Pouch
67,Monaco Classic,₹90,₹120,Parle,700 g 
68,"Tomato Veggie Overload Quikie Soup - Multigrain, No Maida",₹120,₹120,Rasna,12 x 18g - Multipack
69,ChocLayered Cakes,₹173.88,₹210,Cadbury Chocobakes,3x114 g - Multipack
70,Rice Vermicelli,₹80,₹80,Anil,500 g - Pouch
71,Frozen Sweet Corn,₹139,₹200,Fresho,1 kg - Pouch
72,Mom's Magic - Rich Cashew & Almond Cookies,₹96.98,₹130,Sunfeast,584 g - Pouch
73,Potato Chips Original Style - Salt Sprinkled,₹55.2,₹60,Bingo,6x21 g - Multipack
74,Mad Angles Achaari Masti - Mango Pickle Flavour Crunchy Triangle Chips Pack,₹76.5,₹100,Bingo,2x117 g - Multipack
75,Corn Flakes With Real Almond & Honey,₹656,₹820,Kelloggs,2x650 g - Multipack
76,Dark Fantasy Sandwich Creme Biscuits - Dark Crunch With Choco Creme,₹37,₹75,Sunfeast,277.5 g - (3 pcs x 92.5 g)
77,Kaju Katli / Kaju Barfi Premium Mithai / Sweet,₹135,₹249,Tasties,200 g 
78,Treat - Orange Biscuits,₹114,₹120,Britannia,12x50 g - Multipack
79,Biscuits - Milk Bikis Milk Sandwich,₹85.5,₹90,Britannia,3x100 g - Multi Pack
80,Roast Almond Chocolate Bar,₹335.16,₹360,Cadbury Dairy Milk,8 x 36 g - Multipack
81,Original Rava Idli Ready Mix,₹115,₹130,MTR,500 g - Pouch
82,Dark Fantasy Sandwich Creme Biscuits - Vanilla,₹50,₹100,Sunfeast,277.5 g - (3 pcs x 92.5 g)
83,Chocos - Moons & Stars,₹432,₹720,Kelloggs,1.2 Kg 
84,Namkeen - Lite Chiwda,₹160,₹160,Haldiram's,4x150 g - Multipack
85,Fruit & Nut Chocolate Bar,₹484.51,₹555,Cadbury Dairy Milk Silk,3 x 137 g - Multipack
86,"Honey - 100% Pure, No Sugar Adulteration",₹454.45,₹610,Dabur,1.3 kg - Pet Bottle
87,French - Fries,₹315,₹315,McCain,1.25 kg 
88,Hot & Sweet - Tomato Chilli Sauce / Ketchup,₹165,₹165,MAGGI ,1 kg - Bottle
89,"Tomato Ketchup - Classic Blend, Rich & Thick Condiment",₹95.2,₹125,Del Monte ,900 g - Spout Pouch
90,Namkeen - Mixture,₹45,₹45,Haldiram's,200 g - Pouch
91,Rich Cocoa 70% Dark Chocolate Bar,₹297.53,₹330,Cadbury Bournville,3 x 80 g - Multipack
92,Madras Mixture,₹55,₹55,Townbus,135 g 
93,"Nutri Choice Seed Biscuits -  0% Maida, High In Fibre",₹127.5,₹150,Britannia,6 x 75 g - Multipack
94,Soya Sticks,₹45,₹45,Haldiram's,200 g - Pouch
95,"Whole Wheat Lachha/Paratha, 5 pcs",₹169.1,₹190,iD Fresho,2x400 g - Multipack
96,50-50 Sweet & Salty Biscuits,₹114,₹120,Britannia,12x69 g - Multipack
97,Malabar Parota,₹160,₹180,iD Fresho,2x400 g - Multipack
98,Namkeen - Tasty Nuts,₹80,₹80,Haldiram's,400 g - Pouch
99,Instant Popcorn - Classic Salted,₹30,₹30,ACT II,3x30 g - Multipack
100,Potato Chips Wafer Style - Sundried Chilli Flavour,₹54,₹60,Lays,3 x 40 g - Multipack
101,Original Style Potato Chips - Chilli Sprinkled,₹80.75,₹100,Bingo,2x90 g - Multipack
102,Marie Light Vita Orange Biscuits - Tea Time Partner,₹15,₹15,Sunfeast,100 g - Pouch
103,Chocolate Coated Wafer Home Treats,₹221.62,₹297,Cadbury Perk,3 x 126 g - Multipack
104,Chocolate Shots,₹10,₹10,Cadbury Dairy Milk,18 g - Pouch
105,Tomato Discs,₹90,₹180,PEPPY,3x60 g - Multipack
106,Nutrichoice Thin Arrowroot Biscuits,₹40,₹40,Britannia,300 g 
107,Vanilla Flavour Creme Sandwich Biscuit,₹270,₹270,Cadbury Oreo,2 x 481.25 g - Multipack
108,Vanilla Flavour Creme Sandwich Biscuit,₹198,₹198,Cadbury Oreo,3 x 288.75 g - Multipack
109,Good Day Chocochip Cookies,₹93.34,₹140,Britannia,400 g 
110,Cup Noodles Mazedaar Masala,₹133.86,₹150,Nissin Food,3x70 g - Multipack
111,Potato Chips - Spanish Tomato Tango,₹75.2,₹100,Lays,2 x 90 g - Multipack
112,Namkeen - Kodubale,₹55,₹55,Townbus,135 g 
113,No Rulz Masala Curlz Corn Puffs,₹99.75,₹150,Bingo,3x80 g - Multipack
114,"Kerala Banana Chips - Original Style, Thin & Crispy, Delicious",₹85.5,₹95,Beyond Snack,125 g 
115,Hide & Seek Chocolate,₹60,₹60,Parle,6x33 g - Multi Pack
116,Rich Tomato Ketchup - Made With Real Tomatoes,₹134,₹150,MAGGI ,970 g - Bottle
117,"Choco Pie - Original, With Rich Marshmallow, No Preservatives",₹126,₹150,Lotte,25 g - (Pack of 12)
118,Marie Light Biscuits - Active,₹55.2,₹60,Sunfeast,6x75 g - Multipack
119,Hakka Noodles - Veg,₹150,₹150,Desi,800 g 
120,Tiger Biscuits - Glucose,₹47.5,₹50,Britannia,5x 85.3 g - Multipack
121,"Milkybar - Choo, Classic",₹5,₹5,Nestle ,10 g 
122,"Schezwan Pasta - Chinese Style, Fusilli, With Zingy Sauce Maker & Extra Spicy Sprinkler",₹39.5,₹79,Keya,95.5 g - Pouch
123,Frozen - Sweet Corn,₹144,₹180,Safal,1 kg - Pouch
124,"Rolled Oats - Gluten Free, High Protein & Fibre",₹656,₹800,True Elements,2x1 kg - Multipack
125,"Namkeen - Chilli Chatka, Spicy, Unique Taste",₹175,₹175,Kurkure,75 g 
126,Vermicelli,₹65.5,₹85,Bambino,850 g - Pouch
127,Moms Magic - Fruit & Milk,₹46,₹50,Sunfeast,5x51.1 g - Multipack
128,Hide & Seek Caffe Mocha Cookies,₹90,₹120,Parle,4 x 100 g - Multipack
129,"Oats Breakfast Cereal - Rich In Protein, Dietary Fibre, Nutritious, Easy To Cook",₹368,₹398,Quaker,2x1 Kg - Multipack
130,Motichur Laddoo,₹99,₹99,Lal,200 g 
131,Durum Wheat Pasta - Penne Rigate,₹309.46,₹598,BORGES,2x500 g - Multipack
132,Yummiez Green Peas,₹182,₹280,Godrej Yummiez,1 kg - Pouch
133,"50-50 Potazos - Masti Masala, Spicy Flavoured Crips, Teatime Snack (Pack Of 3)",₹63.75,₹75,Britannia,3 x71.5 g - Multipack
134,"Mac & Cheese Pasta - American Style, Macaroni, With Creamy Sauce Maker & Extra Herby Sprinkler",₹39.5,₹79,Keya,95.5 g - Pouch
135,"Idly Dosa Batter - Mildly Salted, Perfect Breakfast, Ready To Cook",₹140,₹140,Asal,2 kg 
136,G Gold Biscuits,₹115,₹140,Parle,1 Kg 
137,Chocolate Home Treats Bar,₹403.02,₹447,Cadbury 5 Star,3x191.9 g - Multipack
138,Curry Instant Noodles,₹194,₹200,Top Ramen ,8 x 70 g - Multipack
139,Hakka Noodles - Veg,₹120,₹125,Chings,5x150 g - Multipack
140,Dark Chocolate- 55% Rich In Cocoa,₹110,₹110,Amul,150 g - Carton
141,Hommade - Tomato Puree,₹77,₹81,Dabur,3x200 g - Multipack
142,"Oats - Natural Wholegrain, Nutritious Breakfast Cereals, Poha, Easy To Cook",₹278,₹398,BB Royal,2x1 kg - Multipack
143,"50 50 Time Pass Biscuits - Simply Salted,",₹57,₹60,Britannia,6x69g - Multipack
144,Potato Chips - American Style Cream & Onion Flavour,₹75.2,₹100,Lays,2 x 90 g - Multipack
145,Tiger Krunch Biscuits,₹70,₹140,Britannia,400 g 
146,NutriChoice 5 Grain Digestive Multigrain Biscuits - High Fibre,₹114.24,₹140,Britannia,2 x 200 g - Multipack
147,Butter Murukku,₹55,₹55,Townbus,135 g 
148,Instant Sweet Corn Cup-A-Soup,₹100,₹100,Knorr,10x10 g - Multipack
149,Papad - Punjabi Masala,₹422,₹422,Lijjat,1 kg - Pouch
150,"Nachos Sweet Chilli Crunchy, Nachos Chips, Snacks, Party Pack",₹67.5,₹100,Doritos,2x82.5 g - Multipack
151,Tedhe Medhe Masala Tadka,₹35.68,₹40,Bingo,2 x 85 g - Multipack
152,"Dark Fantasy Combi Pack - Choco Fills, Original Filled Cookies",₹147.2,₹160,Sunfeast,75 g - (Buy 4 get 1 Free)
153,ChocFilled Cookies,₹423.94,₹480,Cadbury Chocobakes,6x150 g - Multipack
154,Jimjam Cream Biscuits,₹10,₹10,Britannia,57 g 
155,"Honey - 100% Pure, With No Sugar Adulteration",₹550,₹950,BB Royal,2 x 1 kg - Multipack
156,Namkeen - Mini Bhakarwadi,₹130,₹130,Haldiram's,2x200 g - Multipack
157,Milk Bikis Biscuits,₹82.8,₹90,Britannia,500 g 
158,Chocos Corn Flakes,₹96,₹120,Kelloggs,6x58 g - Multipack
159,Chutney - Schezwan,₹263.93,₹270,Chings,3x250 g - Multipack
160,Cheese Flavoured Cracker Biscuits - Family Pack,₹300,₹300,Malkist,720 g - (144 g x 5 N)
161,Frozen Green Peas - Ready To Cook,₹172.4,₹260,Farmland,1 kg 
162,Instant Popcorn - Golden Sizzle,₹64.8,₹72,ACT II,3x60 g - Multipack
163,"Cashews - Whole, 100% Natural Premium",₹502.5,₹670,Happilo,2x200 g - Multipack
164,Muesli - With 0% Added Sugar,₹694,₹740,Kelloggs,2x500 g - Multipack
165,Masala Balls,₹46,₹50,Cheetos,5x28 g - Multipack
166,Pazzta Cheese Macaroni - Made With 100% Suji/Rawa,₹46,₹54,MAGGI ,"150 g - Family Saver Pack, Pouch"
167,Tiger Kreemz Sandwich Biscuits - Choco,₹10,₹10,Britannia,86 g - Pouch
168,"Cookies - Assorted Flavours, Tasty Teatime Snack",₹225,₹300,UNIBIC,75 g - (Pack of 10)
169,Chaat Papdi - Crispy,₹123,₹218,Tasties Origins,2x150 g - Multipack
170,Biscuits - Googly,₹60,₹60,Bisk Farm,2x200 g - Multipack
