,Sr.No.,Grocery_Name,Brand_Name,MRP_Price,Discount_Price,Total Disc,Percetage Disc,Quantity,strip_qua,Quantity_upd,Converted_Quantity,Price_per_unit(gm/ml/pc)
0,0,Gulab Jamun Dessert Mix,Tata Sampann,145.0,133.4,11.599999999999994,8.0,175 g - (Buy 1 Get 1 Free),175 g ,175 g ,175.0,0.7622857142857143
1,1,2-Min Masala Instant Noodles,MAGGI ,168.0,160.0,8.0,4.76,840 g - (12 Packs x 70 g),840 g ,840 g ,840.0,0.19047619047619047
2,2,"Chocolate Muesli - With 57% Multigrain, Fruit, Nut & Seeds",Kelloggs,360.0,310.0,50.0,13.89,450 g ,450 g ,450 g ,450.0,0.6888888888888889
3,3,"Marie Gold Biscuit - Crunchy, Light, Zero Trans Fat, Ready To Eat",Britannia,140.0,120.0,20.0,14.29,950 g ,950 g ,950 g ,950.0,0.12631578947368421
4,4,Gluco Biscuits - Parle-G,Parle,120.0,108.0,12.0,10.0,12x130 g - Multipack,12*130 g ,1560 g,1560.0,0.06923076923076923
5,5,Frozen Green Peas,Fresho,270.0,198.0,72.0,26.67,2x500 g - (Multipack),2*500 g ,1000 g,1000.0,0.198
6,6,"Coconut Almond Ball With Peanut Butter Filling - Gluten-Free, No Refined Sugar Added",Wild Date,315.0,315.0,0.0,0.0,135 g ,135 g ,135 g ,135.0,2.3333333333333335
7,7,"Digestive High Fibre Biscuits,",Britannia NutriChoice ,120.0,114.0,6.0,5.0,12x 41.7 g - Multipack,12*41.7 g ,12*41.7 g ,,
8,8,Treat - Jim Jam Biscuits,Britannia,70.0,66.5,3.5,5.0,2x138 g - Multipack,2*138 g ,276 g,276.0,0.24094202898550723
9,9,"Choco Date Ball With Hazelnut Butter Filling - Gluten-Free, No Refined Sugar Added",Wild Date,315.0,315.0,0.0,0.0,135 g ,135 g ,135 g ,135.0,2.3333333333333335
10,10,Idly & Dosa Batter,iD Fresho,115.0,106.95,8.049999999999997,7.0,2 kg ,2 kg ,2 kg ,2000.0,0.053475
11,11,Little Hearts Biscuits,Britannia,30.0,28.5,1.5,5.0,75 g ,75 g ,75 g ,75.0,0.38
12,12,Instant Bhel,Haldiram's,60.0,60.0,0.0,0.0,6x44 g - Multipack,6*44 g ,264 g,264.0,0.22727272727272727
13,13,Potato Chips - Calm Cream & Onion Flavour,Lays,60.0,60.0,0.0,0.0,6x30 g - Multipack,6*30 g ,180 g,180.0,0.3333333333333333
14,14,Olive Oil Pickle - Carrot,ADF Soul,399.0,319.2,79.80000000000001,20.0,265 g ,265 g ,265 g ,265.0,1.2045283018867925
15,15,Bourbon Cream Biscuit - Chocolate Flavor,Britannia,80.0,76.0,4.0,5.0,2x150 g - Multipack,2*150 g ,300 g,300.0,0.25333333333333335
16,16,Chocolate Health Drink,Cadbury Bournvita,740.0,592.02,147.98000000000002,20.0,2x750 g - Multipack,2*750 g ,1500 g,1500.0,0.39468
17,17,"Potato Chips - Hot & Sweet Chilli Flavour, Best Quality",Lays,60.0,60.0,0.0,0.0,6x24 g - Multipack,6*24 g ,144 g,144.0,0.4166666666666667
18,18,Biscuits - Milk Bikis,Britannia,90.0,85.5,4.5,5.0,3x160 g - Multipack,3*160 g ,480 g,480.0,0.178125
19,19,Namkeen - Bhujia Sev,Haldiram's,180.0,178.0,2.0,1.11,2x350 g - Multipack,2*350 g ,700 g,700.0,0.2542857142857143
20,20,Namkeen - Moong Dal,Haldiram's,165.0,148.5,16.5,10.0,3x150 g - Multipack,3*150 g ,450 g,450.0,0.33
21,21,"Digestive High Fibre Biscuits,",Britannia NutriChoice ,140.0,120.96,19.040000000000006,13.6,2x 250 g - Multipack,2*250 g ,500 g,500.0,0.24192
22,22,Digestive Zero (No Maida & Zero Added Sugar),Britannia NutriChoice ,105.0,89.78,15.219999999999999,14.5,3x 100 g - Multipack,3*100 g ,300 g,300.0,0.2992666666666667
23,23,Vanilla Flavour Creme Sandwich Biscuit,Cadbury Oreo,300.0,240.0,60.0,20.0,918.75 g - (7 Packs x 131.25 g Each),918.75 g ,918.75 g ,918.75,0.2612244897959184
24,24,Frozen - Green Peas,Safal,240.0,192.0,48.0,20.0,1 kg - Pouch,1 kg ,1 kg ,1000.0,0.192
25,25,Mixed Fruit Jam - Delicious & Flavourful,Kissan,300.0,295.0,5.0,1.67,1 kg ,1 kg ,1 kg ,1000.0,0.295
26,26,Hide & Seek - Chocolate,Parle,120.0,90.0,30.0,25.0,2x200 g - Multipack,2*200 g ,400 g,400.0,0.225
27,27,50-50 Maska Chaska,Britannia,90.0,82.8,7.200000000000003,8.0,300 g ,300 g ,300 g ,300.0,0.27599999999999997
28,28,Dark Fantasy Bourbon Biscuits,Sunfeast,35.0,17.89,17.11,48.89,120 g ,120 g ,120 g ,120.0,0.14908333333333335
29,29,Corn Flakes,Kelloggs,120.0,96.0,24.0,20.0,6x60 g - Multipack,6*60 g ,360 g,360.0,0.26666666666666666
30,30,Namkeen - Aloo Bhujia,Haldiram's,220.0,220.0,0.0,0.0,1 kg - Pouch,1 kg ,1 kg ,1000.0,0.22
31,31,"Treat Croissant - Cocoa Creme Filling, 100% Veg, Soft",Britannia,80.0,60.8,19.200000000000003,24.0,4x45 g - Multipack,4*45 g ,180 g,180.0,0.3377777777777778
32,32,Soan Papdi,Haldiram's,1680.0,1680.0,0.0,0.0,24x250 g - Multipack,24*250 g ,6000 g,6000.0,0.28
