,Sr.No.,Grocery_Name,Brand_Name,Rating,MRP_Price,Discount_Price,Total Disc,Percetage Disc,Quantity_upd,Price_per_unit(gm/ml/pc)
0,,Gulab Jamun Dessert Mix,Tata Sampann,3.5,145.0,133.4,11.599999999999994,8.0,175 g ,0.7622857142857143
1,1.0,2-Min Masala Instant Noodles,MAGGI,4.1,168.0,160.0,8.0,4.76,840 g ,0.19047619047619047
2,2.0,"Chocolate Muesli - With 57% Multigrain, Fruit, Nut & Seeds",Kelloggs,4.0,360.0,310.0,50.0,13.89,450 g,0.6888888888888889
3,3.0,"Marie Gold Biscuit - Crunchy, Light, Zero Trans Fat, Ready To Eat",Britannia,4.0,140.0,120.0,20.0,14.29,950 g,0.12631578947368421
4,4.0,Gluco Biscuits - Parle-G,Parle,4.2,120.0,108.0,12.0,10.0,1560 g,0.06923076923076923
5,5.0,Frozen Green Peas,Fresho,3.9,270.0,198.0,72.0,26.67,1000 g,0.198
6,6.0,"Coconut Almond Ball With Peanut Butter Filling - Gluten-Free, No Refined Sugar Added",Wild Date,,315.0,315.0,0.0,0.0,135 g,2.3333333333333335
7,7.0,"Digestive High Fibre Biscuits,",Britannia NutriChoice,4.2,120.0,114.0,6.0,5.0,500.40000000000003 g,0.22781774580335729
8,8.0,Treat - Jim Jam Biscuits,Britannia,4.3,70.0,66.5,3.5,5.0,276 g,0.24094202898550723
9,9.0,"Choco Date Ball With Hazelnut Butter Filling - Gluten-Free, No Refined Sugar Added",Wild Date,4.0,315.0,315.0,0.0,0.0,135 g,2.3333333333333335
10,10.0,Idly & Dosa Batter,iD Fresho,3.9,115.0,106.95,8.049999999999997,7.0,2 kg,0.053475
11,11.0,Little Hearts Biscuits,Britannia,4.2,30.0,28.5,1.5,5.0,75 g,0.38
12,12.0,Instant Bhel,Haldiram's,4.2,60.0,60.0,0.0,0.0,264 g,0.22727272727272727
13,13.0,Potato Chips - Calm Cream & Onion Flavour,Lays,4.1,60.0,60.0,0.0,0.0,180 g,0.3333333333333333
14,14.0,Olive Oil Pickle - Carrot,ADF Soul,,399.0,319.2,79.80000000000001,20.0,265 g,1.2045283018867925
15,15.0,Bourbon Cream Biscuit - Chocolate Flavor,Britannia,4.2,80.0,76.0,4.0,5.0,300 g,0.25333333333333335
16,16.0,Chocolate Health Drink,Cadbury Bournvita,4.3,740.0,592.02,147.98000000000002,20.0,1500 g,0.39468
17,17.0,"Potato Chips - Hot & Sweet Chilli Flavour, Best Quality",Lays,4.2,60.0,60.0,0.0,0.0,144 g,0.4166666666666667
18,18.0,Biscuits - Milk Bikis,Britannia,4.1,90.0,85.5,4.5,5.0,480 g,0.178125
19,19.0,Namkeen - Bhujia Sev,Haldiram's,4.1,180.0,178.0,2.0,1.11,700 g,0.2542857142857143
20,20.0,Namkeen - Moong Dal,Haldiram's,4.2,165.0,148.5,16.5,10.0,450 g,0.33
