,Grocery_Name,Discount_Price,MRP_Price,Brand_Name,Quantity
0,Beaten Caffe Powder,₹142.5,₹150,Sunbean  ,120 g - (10 Sachets x 12 g each)
1,Tea,₹1079,₹1200,Red Label,2x1 kg - Multipack
2,Tea - Natural Care,₹1020,₹1200,Red Label,2x1 kg - Multipack
3,Mineral Water,₹288,₹288,Bisleri ,250 ml - Pack of 48
4,Tea,₹1566,₹1760,Taj Mahal,2x1 kg - Multipack
5,"Coffee - Powder, Speciality Blend Of Coffee & Chicory Powder",₹612,₹680,Cothas Coffee,2x500 g - Multipack
6,Coffee - Sunrise,₹798,₹920,Nescafe ,2x200 g - Multipack
7,Instant Coffee,₹720,₹800,BRU,2x200 g - Multipack
8,Leaf Tea,₹936,₹1200,Tata Tea Gold,2x1 kg - Multipack
9,Chocolate Health Drink,₹598,₹740,Cadbury Bournvita,2x750 g - Multipack
10,Filter Coffee - Green Label,₹532,₹560,BRU,2x500 g - Multipack
11,Drink Powder - Sports Stars First Choice,₹5,₹5,Boost,15 g 
12,"Tender Coconut Water - No Added Sugar, Flavours",₹888,₹1200,Fresho,24x200 ml - (Multipack)
13,Health Drink - Original,₹898,₹898,Horlicks,2x900 g - Multipack
14,Drink - Fresh 'N' Juicy Mango,₹140,₹140,Frooti,2x1.2 L - Multipack
15,Sparkling Water - Club Soda,₹60,₹60,Kinley,2x1.25 L - Multipack
16,Premium Leaf Tea - Strong & Refreshing,₹499,₹510,Wagh Bakri,1 kg - Pouch
17,"Nutrition Drink - Health, Energy & Sports",₹738,₹898,Boost,2x750 g - Multipack
18,Tea,₹28.8,₹32,Tata Tea Kanan Devan,100 g 
19,Tea,₹340.27,₹345.27,3 Roses,500 g - Carton
20,Coffee Powder Extra Strong,₹275,₹275,Cothas Coffee,500 g - Pouch
21,Mineral Water,₹315,₹315,Kinley,2 L - Pack of 9
22,Classic 100% Pure Instant Coffee,₹2622.6,₹2790,Nescafe ,2x500 g - (Multipack)
23,"Soft Drink - Zero Sugar, No Calories",₹32,₹40,Coca Cola,750 ml - Pet Bottle
24,Tea,₹475,₹705,Tata Tea Premium,1. 5 kg 
25,Badam Drink Mix,₹250,₹275,MTR,500 g 
26,Soft Drink,₹160,₹190,Thums Up,2x2 L - Multipack
27,Coffee - Eighty Degree,₹320,₹320,Bayars,500 g 
28,Soft Drink - Original Taste,₹768,₹960,Coca Cola,24x750 ml - Multipack
29,Coffee - Special Gold,₹270,₹270,Bayars,500 g 
30,Packaged Drinking Water,₹315,₹315,Aquafina,2 L - Pack of 9
31,Diet Coke Soft Drink,₹240,₹240,Coca Cola,6x300 ml - (Multipack)
32,Natural Care Tea - with 5 Natural Ingredients,₹90,₹100,3 Roses,100 g 
33,Coffee Powder Premium Special,₹252.5,₹252.5,Cothas Coffee,500 g - Pouch
34,Coffee Powder Cothas Blend,₹270,₹270,Cothas Coffee,500 g - Pouch
35,"Mango Drink - Original Flavour, Refreshing",₹80,₹100,Maaza,150 ml - (Pack of 10)
36,Xtra Coffee Pouch,₹47.5,₹95,Continental,50 g 
37,Grand Filter Coffee,₹231,₹280,Tata Coffee,500 g 
38,Goodness Of 5 Natural Flavours,₹260,₹325,Tata Tea Gold Care,500 g 
39,"Complete Balanced Nutrition Drink For Adults, Vanilla",₹1230,₹1300,Ensure,1 kg 
40,"Black Soft Drink - Max Taste, Zero Sugar(Diet)",₹192,₹210,Pepsi,6x250 ml - Multipack
41,"Grand Classic Instant Coffee - Flavour Locked Decoction Crystals, Strong Taste & Rich Aroma",₹349.6,₹460,Tata Coffee,200 g - Pouch
42,Health & Nutrition Drink,₹374,₹449,Horlicks,750 g - Pouch
43,"Women's Plus, Caramel",₹545.09,₹599,Womens Horlicks,750 g 
44,7+ Specialized Nutrition Drink Powder With Oats & Almonds - Chocolate Flavour,₹1150,₹1230,Pediasure,2 x 400 g - Multipack
45,Indian Tonic Water,₹324,₹360,Schweppes,6x300 ml - Multipack
46,Soda - Original Ginger Ale,₹360,₹360,Schweppes,6x300 ml - Multipack
47,"Fruit Juice - Delight, Litchi",₹206,₹246,Tropicana,2x1 L - Multipack
48,Juice - Classic Apple,₹60,₹60,Appy,4x200 ml - Multipack
49,Paper Boat Aamras Mango Fruit Juice (Pack of 4),₹69.92,₹80,Paper Boat,150 ml - Multipack
50,Spiced Tea - Blend Of 7 Refreshing Spices,₹150,₹150,Wagh Bakri,250 g 
51,Health Drink Chocolate,₹1300,₹1420,Pediasure,2 x 400 g - Multipack
52,"Health Mix - 100% Natural Nutrition, No Added Sugar, Preservative Free",₹366.75,₹489,Manna,1 kg - cartoon
53,Soft Drink - With Real Lemon Juice,₹90,₹90,7 Up Nimbooz,6 x 250 ml - (Multipack)
54,Cold Extracted Juice - Valencia Orange,₹945,₹1050,Raw Pressery,3x1 L - Multipack
55,Fruit Juice - Orange Delight,₹240,₹240,Tropicana,2x1 L - Multipack
56,Green Tea - Honey Lemon,₹1125,₹1250,Lipton,2x100 pcs - Multipack
57,Health & Nutrition Drink - Chocolate,₹708,₹998,Horlicks,2x1 kg - (Multipack)
58,Fruit Drink - Pulpy Orange,₹162,₹180,Minute Maid ,2x1 L - Multipack
59,Blend Instant Coffee Powder - Rich & Smooth,₹1065,₹1100,Nescafe Gold,2 x 95 g - Multipack
60,Premium Coffee,₹185,₹370,LEVISTA,100 g - Can
61,"Fruit Juice - Cranberry, Rich In Vitamin C",₹708,₹780,Real,6 x 1 L - Multipack
62,Coffee Powder Pure Filter Nova Therm,₹224.25,₹345,Cothas Coffee,500 g 
63,"Zesty Pomegranate Juice - Enriched With Vitamin D, No GMOs",₹114,₹120,Paperboat Swing,3x600 ml - Multipack
64,Original Taste Soft Drink - Refreshing,₹222,₹240,Coca Cola,6x300 ml - Multipack
65,Energy Drink,₹2700,₹3000,RED BULL ,250 ml - (Pack of 24)
66,Hommade Lemoneez - Goodness Of 33 Lemons,₹152.1,₹160,Dabur,2x250 ml - Multipack
67,Sunrise Instant Coffee - Chicory Mixture,₹654.5,₹770,Nescafe ,2 x 200 g - Multipack
68,"Club Soda - Extra Power, Refreshing Drink",₹120,₹120,Bisleri ,6 x 750 ml - (Multipack)
69,"Fruit Juice - Delight, Mango",₹240,₹240,Tropicana,12x200 ml - Multipack
70,Darjeeling Tea,₹873,₹970,Lipton,500 g 
71,"Special Blend Tea - 10% Extra Strong Leaves, Perfect Aroma & Taste",₹115,₹115,Tata Tea Agni,500 g - Pack
72,Probiotic Health Drink - Light,₹380,₹380,Yakult,4x65 ml - Multipack
73,100 % Apple Juice - With No Added Sugar and Preservative,₹302.2,₹465,Real Activ,3x1 L - Multipack
74,100% Orange Juice,₹435,₹435,Tropicana,3x1 L - Multipack
75,"Coconut Water - Refreshing Flavour, Vital Electrolytes",₹174.8,₹200,Paper Boat,4x200 ml - Multipack
76,"Green Tea - Lemon & Honey, Rich In Antioxidants",₹437.5,₹625,Tetley,140 g - (100 Bags x 1.4 g each)
