,Sr.No.,Grocery_Name,Brand_Name,MRP_Price,Discount_Price,Total Disc,Percetage Disc,Quantity,strip_qua,Quantity_upd,Converted_Quantity,Price_per_unit(gm/ml/pc)
0,0,Beaten Caffe Powder,Sunbean  ,150.0,142.5,7.5,5.0,120 g - (10 Sachets x 12 g each),120 g ,120 g ,120.0,1.1875
1,1,Tea,Red Label,1200.0,1079.0,121.0,10.08,2x1 kg - Multipack,2*1 kg ,2 kg,2000.0,0.5395
2,2,Tea - Natural Care,Red Label,1200.0,1020.0,180.0,15.0,2x1 kg - Multipack,2*1 kg ,2 kg,2000.0,0.51
3,3,Mineral Water,Bisleri ,288.0,288.0,0.0,0.0,250 ml - Pack of 48,250 ml ,250 ml ,250.0,1.152
4,4,Tea,Taj Mahal,1760.0,1566.0,194.0,11.02,2x1 kg - Multipack,2*1 kg ,2 kg,2000.0,0.783
5,5,"Coffee - Powder, Speciality Blend Of Coffee & Chicory Powder",Cothas Coffee,680.0,612.0,68.0,10.0,2x500 g - Multipack,2*500 g ,1000 g,1000.0,0.612
6,6,Coffee - Sunrise,Nescafe ,920.0,798.0,122.0,13.26,2x200 g - Multipack,2*200 g ,400 g,400.0,1.995
7,7,Instant Coffee,BRU,800.0,720.0,80.0,10.0,2x200 g - Multipack,2*200 g ,400 g,400.0,1.8
8,8,Leaf Tea,Tata Tea Gold,1200.0,936.0,264.0,22.0,2x1 kg - Multipack,2*1 kg ,2 kg,2000.0,0.468
9,9,Chocolate Health Drink,Cadbury Bournvita,740.0,598.0,142.0,19.19,2x750 g - Multipack,2*750 g ,1500 g,1500.0,0.39866666666666667
10,10,Filter Coffee - Green Label,BRU,560.0,532.0,28.0,5.0,2x500 g - Multipack,2*500 g ,1000 g,1000.0,0.532
11,11,Drink Powder - Sports Stars First Choice,Boost,5.0,5.0,0.0,0.0,15 g ,15 g ,15 g ,15.0,0.3333333333333333
12,12,"Tender Coconut Water - No Added Sugar, Flavours",Fresho,1200.0,888.0,312.0,26.0,24x200 ml - (Multipack),24*200 ml ,4800 ml,4800.0,0.185
13,13,Health Drink - Original,Horlicks,898.0,898.0,0.0,0.0,2x900 g - Multipack,2*900 g ,1800 g,1800.0,0.4988888888888889
14,14,Drink - Fresh 'N' Juicy Mango,Frooti,140.0,140.0,0.0,0.0,2x1.2 L - Multipack,2*1.2 L ,2.4 L,2400.0,0.058333333333333334
15,15,Sparkling Water - Club Soda,Kinley,60.0,60.0,0.0,0.0,2x1.25 L - Multipack,2*1.25 L ,2.5 L,2500.0,0.024
16,16,Premium Leaf Tea - Strong & Refreshing,Wagh Bakri,510.0,499.0,11.0,2.16,1 kg - Pouch,1 kg ,1 kg ,1000.0,0.499
17,17,"Nutrition Drink - Health, Energy & Sports",Boost,898.0,738.0,160.0,17.82,2x750 g - Multipack,2*750 g ,1500 g,1500.0,0.492
18,18,Tea,Tata Tea Kanan Devan,32.0,28.8,3.1999999999999993,10.0,100 g ,100 g ,100 g ,100.0,0.28800000000000003
19,19,Tea,3 Roses,345.27,340.27,5.0,1.45,500 g - Carton,500 g ,500 g ,500.0,0.6805399999999999
20,20,Coffee Powder Extra Strong,Cothas Coffee,275.0,275.0,0.0,0.0,500 g - Pouch,500 g ,500 g ,500.0,0.55
21,21,Mineral Water,Kinley,315.0,315.0,0.0,0.0,2 L - Pack of 9,2 L ,2 L ,2000.0,0.1575
22,22,Classic 100% Pure Instant Coffee,Nescafe ,2790.0,2622.6,167.4000000000001,6.0,2x500 g - (Multipack),2*500 g ,1000 g,1000.0,2.6226
23,23,"Soft Drink - Zero Sugar, No Calories",Coca Cola,40.0,32.0,8.0,20.0,750 ml - Pet Bottle,750 ml ,750 ml ,750.0,0.042666666666666665
24,24,Tea,Tata Tea Premium,705.0,475.0,230.0,32.62,1. 5 kg ,1. 5 kg ,1. 5 kg ,,
25,25,Badam Drink Mix,MTR,275.0,250.0,25.0,9.09,500 g ,500 g ,500 g ,500.0,0.5
26,26,Soft Drink,Thums Up,190.0,160.0,30.0,15.79,2x2 L - Multipack,2*2 L ,4 L,4000.0,0.04
27,27,Coffee - Eighty Degree,Bayars,320.0,320.0,0.0,0.0,500 g ,500 g ,500 g ,500.0,0.64
28,28,Soft Drink - Original Taste,Coca Cola,960.0,768.0,192.0,20.0,24x750 ml - Multipack,24*750 ml ,18000 ml,18000.0,0.042666666666666665
