,Grocery_Name,Discount_Price,MRP_Price,Brand_Name,Quantity
0,Premium Panchmewa Superfood Farmley Jar,₹415.2,₹519,Farmley,450 gm - Jar
1,Atta/Godihittu - Whole Wheat,₹226.92,₹294,Aashirvaad,5 kg 
2,Moong Chilka,₹158.65,₹167,AHAAR,500 g 
3,Pure Ghee,₹1300,₹1300,Nandini,2 x 1 L - Multipack
4,"Sona Masoori Raw Rice/Akki - Super Premium, 12 + Months Old",₹1638,₹1875,BB Royal,25 kg - (18 + Months Old)
5,Unpolished Toor Dal/Arhar Dal,₹1249.6,₹1420,Tata Sampann,5 kg 
6,Tur/Arhar Dal,₹153.9,₹162,AHAAR,500 g 
7,Sona Masoori Raw Rice (12 + Months Old),₹1612,₹1820,BB Royal,26 kg - Bag
8,Refined Sunflower Oil,₹354.78,₹390,Sunpure ,3 x 1 L - Multipack
9,Chitra Rajma,₹119.7,₹133,AHAAR,500 g 
10,Pooja Oil,₹113.23,₹180,Anandam,890 g 
11,Sunlite Sunflower Refined Oil,₹330,₹375,Fortune ,3x910 g - Multipack
12,Ghee,₹740,₹850,GRB,2 x 500 ml - Multipack
13,Toor Dal/Togari Bele - Desi,₹207,₹250,BB Royal,1 kg - Pouch
14,Kabuli Chana,₹117.18,₹126,AHAAR,500 g 
15,Cumin/Jeera/Jeerige - Whole,₹743,₹1200,BB Royal,1 kg 
16,Peanuts/Kadalekayi - Raw,₹179,₹230,BB Royal,1 kg - Pouch
17,Cashew/Godambi - Whole,₹783,₹1500,BB Popular,1 kg 
18,Urad Dal/Uddina Bele - Split,₹186,₹200,BB Popular,1 kg - Pouch
19,Sooji Ordinary/Bombay Rava,₹265,₹325,BB Royal,5x1 kg - Multipack
20,White Label Sugar,₹235.75,₹300,Parry's,5 Kg - Sulphur Free Process
21,Salt/Uppu - Iodized,₹55,₹55,Tata Salt,2 kg 
22,"Sugar - Pure & Hygienic, Fine Grain, Natural, Sulphur Free",₹52.04,₹65,Madhur,1 kg 
23,Fried Gram/Huri Kadale,₹135,₹180,BB Royal,1 kg - Pouch
24,Select Atta/Godihittu,₹286.88,₹326,Aashirvaad,5 kg - Pouch
25,Toor/Arhar Dal 5 kg,₹1038,₹1200,BB Super Saver,5 kg 
26,Oil - Gingelly,₹495,₹503,Idhayam,1 L - Pouch
27,Refined - Sunflower Oil,₹343.2,₹420,Dhara ,3x1 L - Multipack
28,Sugar,₹25,₹30,BB Popular,500 g 
29,Peanuts/Kadalekayi - Raw,₹180,₹220,BB Popular,1 kg - Pouch
30,"Almond/Badam - Californian, Giri",₹698,₹1200,BB Popular,2x500 g - Multipack
31,Atta with Multigrains - High Fibre,₹562.8,₹670,Aashirvaad,10 kg 
32,Moong Dal/Hesaru Bele,₹207.58,₹214,Tata Sampann,1 kg - Pouch
33,Organic - Toor Dal/Togari Bele,₹1160,₹1200,BB Royal,5 kg 
34,Refined Sugar (Sulphurless)/Sakkare,₹285,₹325,BB Royal,5 kg 
35,Moong Dal/Hesaru Bele,₹156,₹190,BB Royal,1 kg - Pouch
36,Organic - Almond/Badam,₹527,₹675,BB Royal,500 g 
37,Chana Dal/Kadale Bele,₹55,₹68,BB Royal,500 g - Pouch
38,Bullet Raw Rice,₹778,₹900,BB Royal,10 kg 
39,Sona masoori Raw Rice ( 6 + Months  Old),₹1482,₹1700,BB Popular,26 kg - (6 + Months Old)
40,Rice Bran Health Physically Refined Oil,₹339.9,₹390,Fortune ,3x1 L - Multipack
41,"Urad Gota - Desi, Unpolished Mature Pulses For Easy Cooking & Rich Flavour",₹159,₹210,BB Royal,1 kg - Pouch
42,Poha/Avalakki/Aval - Thick,₹66,₹100,BB Royal,1 kg - Pouch
43,"Green Moong Whole - Desi, Unpolished Mature Pulses For Easy Cooking & Rich Flavour",₹63.46,₹90,BB Royal,500 g - Pouch
44,Gold Refined Cooking oil | Blended Rice Bran & Sunflower oil | Helps Keeps Heart Healthy,₹156,₹180,Saffola,1 L - Pouch
45,Sunlite - Refined Sunflower Oil,₹272.14,₹480,Fortune ,2 L - Pet Bottle
46,Premium Kachi Ghani Pure Mustard Oil,₹31.98,₹43,Fortune ,200 ml - Pet Bottle
47,Nakshatra Pooja Oil,₹86.88,₹105,Mr. Gold,500 ml 
48,Olive Oil For Indian Cooking - Frying & Baking,₹639.25,₹950,BORGES,500 ml - Glass Bottle
49,Urad Dal/Uddina Bele - Split,₹151,₹210,BB Royal,1 kg - Pouch
50,Bansi Sooji/Kesari Rava,₹59,₹75,BB Royal,1 kg - Pouch
51,Maida,₹225,₹325,BB Royal,5x1 kg - Multipack
52,Amrit - Brown Sugar,₹90,₹100,Parry's,2x500 g - Multipack
53,Organic - Kismis,₹372,₹599,BB Royal,1 kg 
54,Surti Kolam - Rice (12 + Months Old),₹1921,₹2300,BB Royal,26 kg - (12 + Months Old)
55,"Chilli - Byadagi, Stemless",₹216,₹240,BB Royal,200 g 
56,Black Pepper/Kari Menasu,₹183,₹280,BB Popular,200 g - Pouch
57,Organic - Cumin/Jeera/Jeerige,₹427,₹600,BB Royal,500 g 
58,Filtered Groundnut Oil,₹207,₹207,Safal,1 L - pouch
59,Powder - Asafoetida,₹883,₹883,LG,500 g - Jar
60,Toor/Arhar Dal,₹951,₹1225,BB Popular,5 kg - Pouch
61,Organic - Brown Sugar/Sakkare,₹147,₹225,BB Royal,2 kg 
62,Urad Dal/Uddina Bele Whole White,₹217.28,₹224,Tata Sampann,1 Kg 
63,Atta/Godihittu - Chakki Fresh,₹441.74,₹576,Pillsbury,10 kg - Pouch
64,Coriander Seeds/Kottambari Beeja,₹130,₹250,BB Royal,500 g 
65,Refined Sunflower - Oil,₹577.7,₹675,Sunpure ,5 L - Can
66,Fine Besan/Kadale Hittu - 100% Chana Dal,₹134.1,₹149,Tata Sampann,1 kg 
67,Dosa Rice/Akki,₹257,₹275,Super Saver,5 kg 
68,Unpolished Chana Dal,₹129,₹154,Tata Sampann,1 kg - Pouch
69,Walnut/Akhrot - Kernels,₹225,₹360,BB Popular,200 g - Pouch
70,Superior-Mp-Sharbati-Atta/Godihittu - Fortified,₹515.64,₹650,BB Royal,10 kg - Pouch
71,Rice Flour,₹49,₹60,BB Royal,1 kg - Pouch
72,"White Thick Poha - High In Fibre, For Breakfast & Evening Tea",₹180,₹212,Tata Sampann,2x1kg - Multipack
73,Idli/Idly Rice,₹55,₹70,BB Royal,1 kg - Pouch
74,Organic - Raw Peanuts,₹452,₹538,BB Royal,2x1 kg - Multipack
75,Coconut Oil - 100% Pure,₹3996,₹4440,Parachute ,12x1 L - Multipack
76,Cow Ghee/Tuppa,₹798,₹840,Aashirvaad Svasti,1 L - Pet Jar
77,"Refined Sunflower Oil - Trans Fat Free, Healthy Cooking Oil",₹107.86,₹128,Fiona ,1 L - Pouch
78,Kabuli Chana/Kabuli Kadale,₹185,₹240,BB Popular,1 kg - Pouch
79,Masala - Puliogare Powder,₹122,₹135,MTR,200 g - Pouch
80,Amrit Powdered Jaggery,₹80,₹110,Parry's,2x500 g - Multipack
81,Tamarind/Hunisehannu/Imli Seedless Cake,₹232,₹400,BB Royal,1 kg 
82,Sona Masoori Raw Rice/Akki,₹258.5,₹275,Super Saver,5 kg 
83,Tasty Refined Cooking oil | Blended Rice bran & Corn oil | Pro Fitness Conscious,₹138,₹150,Saffola,1 L - Pouch
84,Oil - Groundnut,₹179.56,₹210,Freedom,1 L 
85,"Gold - Refined Cooking Oil, Blend Of Rice Bran & Sunflower Oil, Helps Keeps Heart Healthy",₹499,₹675,Saffola,3 L - Jar
86,Cashew/Kaju - Whole,₹754,₹1000,Super Saver,1 kg 
87,Iodised Crystal Salt,₹44,₹44,Tata Salt,2x1kg - Multipack
88,Chiroti/Barik Sooji,₹56,₹65,BB Royal,1 kg - Pouch
89,Mustard/Sasive/Rai - Small,₹86,₹150,BB Popular,500 g 
90,Chilli - Guntur with Stem,₹255,₹350,BB Royal,500 g 
