,Sr.No.,Grocery_Name,Brand_Name,MRP_Price,Discount_Price,Total Disc,Percetage Disc,Quantity,strip_qua,Only_Numeric_Part,Quantity_upd,Converted_Quantity,Price_per_unit(gm/ml/pc)
0,0,Premium Panchmewa Superfood Farmley Jar,Farmley,519,415.2,103.8,20,450 gm - Jar,450 gm ,,450 gm ,450,0.922666667
1,1,Atta/Godihittu - Whole Wheat,Aashirvaad,294,226.92,67.08,22.82,5 kg ,5 kg ,,5 kg ,5000,0.045384
2,2,Moong Chilka,AHAAR,167,158.65,8.35,5,500 g ,500 g ,,500 g ,500,0.3173
3,3,Pure Ghee,Nandini,1300,1300,0,0,2 x 1 L - Multipack,2*1 L ,"(2, 'L')",2 L,2000,0.65
4,4,"Sona Masoori Raw Rice/Akki - Super Premium, 12 + Months Old",BB Royal,1875,1638,237,12.64,25 kg - (18 + Months Old),25 kg ,,25 kg ,25000,0.06552
5,5,Unpolished Toor Dal/Arhar Dal,Tata Sampann,1420,1249.6,170.4,12,5 kg ,5 kg ,,5 kg ,5000,0.24992
6,6,Tur/Arhar Dal,AHAAR,162,153.9,8.1,5,500 g ,500 g ,,500 g ,500,0.3078
7,7,Sona Masoori Raw Rice (12 + Months Old),BB Royal,1820,1612,208,11.43,26 kg - Bag,26 kg ,,26 kg ,26000,0.062
8,8,Refined Sunflower Oil,Sunpure ,390,354.78,35.22,9.03,3 x 1 L - Multipack,3*1 L ,"(3, 'L')",3 L,3000,0.11826
9,9,Chitra Rajma,AHAAR,133,119.7,13.3,10,500 g ,500 g ,,500 g ,500,0.2394
10,10,Pooja Oil,Anandam,180,113.23,66.77,37.09,890 g ,890 g ,,890 g ,890,0.127224719
11,11,Sunlite Sunflower Refined Oil,Fortune ,375,330,45,12,3x910 g - Multipack,3*910 g ,"(2730, 'g')",2730 g,2730,0.120879121
12,12,Ghee,GRB,850,740,110,12.94,2 x 500 ml - Multipack,2*500 ml ,"(1000, 'ml')",1000 ml,1000,0.74
13,13,Toor Dal/Togari Bele - Desi,BB Royal,250,207,43,17.2,1 kg - Pouch,1 kg ,,1 kg ,1000,0.207
14,14,Kabuli Chana,AHAAR,126,117.18,8.82,7,500 g ,500 g ,,500 g ,500,0.23436
15,15,Cumin/Jeera/Jeerige - Whole,BB Royal,1200,743,457,38.08,1 kg ,1 kg ,,1 kg ,1000,0.743
16,16,Peanuts/Kadalekayi - Raw,BB Royal,230,179,51,22.17,1 kg - Pouch,1 kg ,,1 kg ,1000,0.179
17,17,Cashew/Godambi - Whole,BB Popular,1500,783,717,47.8,1 kg ,1 kg ,,1 kg ,1000,0.783
18,18,Urad Dal/Uddina Bele - Split,BB Popular,200,186,14,7,1 kg - Pouch,1 kg ,,1 kg ,1000,0.186
19,19,Sooji Ordinary/Bombay Rava,BB Royal,325,265,60,18.46,5x1 kg - Multipack,5*1 kg ,"(5, 'kg')",5 kg,5000,0.053
20,20,White Label Sugar,Parry's,300,235.75,64.25,21.42,5 Kg - Sulphur Free Process,5 Kg ,,5 Kg ,5000,0.04715
21,21,Salt/Uppu - Iodized,Tata Salt,55,55,0,0,2 kg ,2 kg ,,2 kg ,2000,0.0275
22,22,"Sugar - Pure & Hygienic, Fine Grain, Natural, Sulphur Free",Madhur,65,52.04,12.96,19.94,1 kg ,1 kg ,,1 kg ,1000,0.05204
23,23,Fried Gram/Huri Kadale,BB Royal,180,135,45,25,1 kg - Pouch,1 kg ,,1 kg ,1000,0.135
24,24,Select Atta/Godihittu,Aashirvaad,326,286.88,39.12,12,5 kg - Pouch,5 kg ,,5 kg ,5000,0.057376
25,25,Toor/Arhar Dal 5 kg,BB Super Saver,1200,1038,162,13.5,5 kg ,5 kg ,,5 kg ,5000,0.2076
26,26,Oil - Gingelly,Idhayam,503,495,8,1.59,1 L - Pouch,1 L ,,1 L ,1000,0.495
27,27,Refined - Sunflower Oil,Dhara ,420,343.2,76.8,18.29,3x1 L - Multipack,3*1 L ,"(3, 'L')",3 L,3000,0.1144
28,28,Sugar,BB Popular,30,25,5,16.67,500 g ,500 g ,,500 g ,500,0.05
29,29,Peanuts/Kadalekayi - Raw,BB Popular,220,180,40,18.18,1 kg - Pouch,1 kg ,,1 kg ,1000,0.18
30,30,"Almond/Badam - Californian, Giri",BB Popular,1200,698,502,41.83,2x500 g - Multipack,2*500 g ,"(1000, 'g')",1000 g,1000,0.698
31,31,Atta with Multigrains - High Fibre,Aashirvaad,670,562.8,107.2,16,10 kg ,10 kg ,,10 kg ,10000,0.05628
32,32,Moong Dal/Hesaru Bele,Tata Sampann,214,207.58,6.42,3,1 kg - Pouch,1 kg ,,1 kg ,1000,0.20758
33,33,Organic - Toor Dal/Togari Bele,BB Royal,1200,1160,40,3.33,5 kg ,5 kg ,,5 kg ,5000,0.232
34,34,Refined Sugar (Sulphurless)/Sakkare,BB Royal,325,285,40,12.31,5 kg ,5 kg ,,5 kg ,5000,0.057
35,35,Moong Dal/Hesaru Bele,BB Royal,190,156,34,17.89,1 kg - Pouch,1 kg ,,1 kg ,1000,0.156
36,36,Organic - Almond/Badam,BB Royal,675,527,148,21.93,500 g ,500 g ,,500 g ,500,1.054
37,37,Chana Dal/Kadale Bele,BB Royal,68,55,13,19.12,500 g - Pouch,500 g ,,500 g ,500,0.11
38,38,Bullet Raw Rice,BB Royal,900,778,122,13.56,10 kg ,10 kg ,,10 kg ,10000,0.0778
39,39,Sona masoori Raw Rice ( 6 + Months  Old),BB Popular,1700,1482,218,12.82,26 kg - (6 + Months Old),26 kg ,,26 kg ,26000,0.057
40,40,Rice Bran Health Physically Refined Oil,Fortune ,390,339.9,50.1,12.85,3x1 L - Multipack,3*1 L ,"(3, 'L')",3 L,3000,0.1133
41,41,"Urad Gota - Desi, Unpolished Mature Pulses For Easy Cooking & Rich Flavour",BB Royal,210,159,51,24.29,1 kg - Pouch,1 kg ,,1 kg ,1000,0.159
42,42,Poha/Avalakki/Aval - Thick,BB Royal,100,66,34,34,1 kg - Pouch,1 kg ,,1 kg ,1000,0.066
43,43,"Green Moong Whole - Desi, Unpolished Mature Pulses For Easy Cooking & Rich Flavour",BB Royal,90,63.46,26.54,29.49,500 g - Pouch,500 g ,,500 g ,500,0.12692
44,44,Gold Refined Cooking oil | Blended Rice Bran & Sunflower oil | Helps Keeps Heart Healthy,Saffola,180,156,24,13.33,1 L - Pouch,1 L ,,1 L ,1000,0.156
45,45,Sunlite - Refined Sunflower Oil,Fortune ,480,272.14,207.86,43.3,2 L - Pet Bottle,2 L ,,2 L ,2000,0.13607
46,46,Premium Kachi Ghani Pure Mustard Oil,Fortune ,43,31.98,11.02,25.63,200 ml - Pet Bottle,200 ml ,,200 ml ,200,0.1599
47,47,Nakshatra Pooja Oil,Mr. Gold,105,86.88,18.12,17.26,500 ml ,500 ml ,,500 ml ,500,0.17376
48,48,Olive Oil For Indian Cooking - Frying & Baking,BORGES,950,639.25,310.75,32.71,500 ml - Glass Bottle,500 ml ,,500 ml ,500,1.2785
49,49,Urad Dal/Uddina Bele - Split,BB Royal,210,151,59,28.1,1 kg - Pouch,1 kg ,,1 kg ,1000,0.151
50,50,Bansi Sooji/Kesari Rava,BB Royal,75,59,16,21.33,1 kg - Pouch,1 kg ,,1 kg ,1000,0.059
51,51,Maida,BB Royal,325,225,100,30.77,5x1 kg - Multipack,5*1 kg ,"(5, 'kg')",5 kg,5000,0.045
52,52,Amrit - Brown Sugar,Parry's,100,90,10,10,2x500 g - Multipack,2*500 g ,"(1000, 'g')",1000 g,1000,0.09
53,53,Organic - Kismis,BB Royal,599,372,227,37.9,1 kg ,1 kg ,,1 kg ,1000,0.372
54,54,Surti Kolam - Rice (12 + Months Old),BB Royal,2300,1921,379,16.48,26 kg - (12 + Months Old),26 kg ,,26 kg ,26000,0.073884615
55,55,"Chilli - Byadagi, Stemless",BB Royal,240,216,24,10,200 g ,200 g ,,200 g ,200,1.08
56,56,Black Pepper/Kari Menasu,BB Popular,280,183,97,34.64,200 g - Pouch,200 g ,,200 g ,200,0.915
57,57,Organic - Cumin/Jeera/Jeerige,BB Royal,600,427,173,28.83,500 g ,500 g ,,500 g ,500,0.854
58,58,Filtered Groundnut Oil,Safal,207,207,0,0,1 L - pouch,1 L ,,1 L ,1000,0.207
59,59,Powder - Asafoetida,LG,883,883,0,0,500 g - Jar,500 g ,,500 g ,500,1.766
60,60,Toor/Arhar Dal,BB Popular,1225,951,274,22.37,5 kg - Pouch,5 kg ,,5 kg ,5000,0.1902
61,61,Organic - Brown Sugar/Sakkare,BB Royal,225,147,78,34.67,2 kg ,2 kg ,,2 kg ,2000,0.0735
62,62,Urad Dal/Uddina Bele Whole White,Tata Sampann,224,217.28,6.72,3,1 Kg ,1 Kg ,,1 Kg ,1000,0.21728
63,63,Atta/Godihittu - Chakki Fresh,Pillsbury,576,441.74,134.26,23.31,10 kg - Pouch,10 kg ,,10 kg ,10000,0.044174
