,Grocery_Name,Brand_Name,Rating,Discount_Price,MRP_Price,Quantity
0,Premium Panchmewa Superfood Farmley Jar,Farmley,4.3,₹415.2,₹519,450 gm - Jar
1,Atta/Godihittu - Whole Wheat,Aashirvaad,4.1,₹226.92,₹294,5 kg
2,Moong Chilka,AHAAR,3,₹158.65,₹167,500 g
3,Pure Ghee,Nandini,4.1,₹1300,₹1300,2 x 1 L - Multipack
4,"Sona Masoori Raw Rice/Akki - Super Premium, 12 + Months Old",BB Royal,0,₹1638,₹1875,25 kg - (18 + Months Old)
5,Unpolished Toor Dal/Arhar Dal,Tata Sampann,4,₹1249.6,₹1420,5 kg
6,Tur/Arhar Dal,AHAAR,4,₹153.9,₹162,500 g
7,Sona Masoori Raw Rice (12 + Months Old),BB Royal,3.8,₹1612,₹1820,26 kg - Bag
8,Refined Sunflower Oil,Sunpure,4.2,₹354.78,₹390,3 x 1 L - Multipack
9,Chitra Rajma,AHAAR,4.3,₹119.7,₹133,500 g
10,Pooja Oil,Anandam,4,₹113.23,₹180,890 g
11,Sunlite Sunflower Refined Oil,Fortune,4.1,₹330,₹375,3x910 g - Multipack
12,Ghee,GRB,4.1,₹740,₹850,2 x 500 ml - Multipack
13,Toor Dal/Togari Bele - Desi,BB Royal,3.9,₹207,₹250,1 kg - Pouch
14,Kabuli Chana,AHAAR,1,₹117.18,₹126,500 g
15,Cumin/Jeera/Jeerige - Whole,BB Royal,4,₹743,₹1200,1 kg
16,Peanuts/Kadalekayi - Raw,BB Royal,0,₹179,₹230,1 kg - Pouch
17,Cashew/Godambi - Whole,BB Popular,4,₹783,₹1500,1 kg
18,Urad Dal/Uddina Bele - Split,BB Popular,4,₹186,₹200,1 kg - Pouch
19,Sooji Ordinary/Bombay Rava,BB Royal,0,₹265,₹325,5x1 kg - Multipack
20,White Label Sugar,Parry's,4.1,₹235.75,₹300,5 Kg - Sulphur Free Process
21,Salt/Uppu - Iodized,Tata Salt,4.2,₹55,₹55,2 kg
22,"Sugar - Pure & Hygienic, Fine Grain, Natural, Sulphur Free",Madhur,4.1,₹52.04,₹65,1 kg
23,Fried Gram/Huri Kadale,BB Royal,4,₹135,₹180,1 kg - Pouch
24,Select Atta/Godihittu,Aashirvaad,4.1,₹286.88,₹326,5 kg - Pouch
25,Toor/Arhar Dal 5 kg,BB Super Saver,0,₹1038,₹1200,5 kg
26,Oil - Gingelly,Idhayam,4.2,₹495,₹503,1 L - Pouch
27,Refined - Sunflower Oil,Dhara,4.1,₹343.2,₹420,3x1 L - Multipack
