,Sr.No.,Grocery_Name,Brand_Name,Rating,MRP_Price,Discount_Price,Total Disc,Percetage Disc,Quantity,strip_qua,Quantity_upd,Converted_Quantity,Price_per_unit(gm/ml/pc)
0,,Premium Panchmewa Superfood Farmley Jar,Farmley,4.3,519.0,415.2,103.80000000000001,20.0,450 gm - Jar,450 gm ,450 gm ,450.0,0.9226666666666666
1,1.0,Atta/Godihittu - Whole Wheat,Aashirvaad,4.1,294.0,226.92,67.08000000000001,22.82,5 kg,5 kg,5 kg,5000.0,0.045384
2,2.0,Moong Chilka,AHAAR,3.0,167.0,158.65,8.349999999999994,5.0,500 g,500 g,500 g,500.0,0.3173
3,3.0,Pure Ghee,Nandini,4.1,1300.0,1300.0,0.0,0.0,2 x 1 L - Multipack,2*1 L ,2 L,2000.0,0.65
4,4.0,"Sona Masoori Raw Rice/Akki - Super Premium, 12 + Months Old",BB Royal,,1875.0,1638.0,237.0,12.64,25 kg - (18 + Months Old),25 kg ,25 kg ,25000.0,0.06552
5,5.0,Unpolished Toor Dal/Arhar Dal,Tata Sampann,4.0,1420.0,1249.6,170.4000000000001,12.0,5 kg,5 kg,5 kg,5000.0,0.24991999999999998
6,6.0,Tur/Arhar Dal,AHAAR,4.0,162.0,153.9,8.099999999999994,5.0,500 g,500 g,500 g,500.0,0.3078
7,7.0,Sona Masoori Raw Rice (12 + Months Old),BB Royal,3.8,1820.0,1612.0,208.0,11.43,26 kg - Bag,26 kg ,26 kg ,26000.0,0.062
8,8.0,Refined Sunflower Oil,Sunpure,4.2,390.0,354.78,35.22000000000003,9.03,3 x 1 L - Multipack,3*1 L ,3 L,3000.0,0.11825999999999999
9,9.0,Chitra Rajma,AHAAR,4.3,133.0,119.7,13.299999999999997,10.0,500 g,500 g,500 g,500.0,0.2394
10,10.0,Pooja Oil,Anandam,4.0,180.0,113.23,66.77,37.09,890 g,890 g,890 g,890.0,0.1272247191011236
11,11.0,Sunlite Sunflower Refined Oil,Fortune,4.1,375.0,330.0,45.0,12.0,3x910 g - Multipack,3*910 g ,2730 g,2730.0,0.12087912087912088
