,Grocery_Name,Discount_Price,MRP_Price,Brand_Name,Quantity
0,Ferrero Hazelnut Spread with Cocoa,₹349,₹380,Nutella,350 g - Jar
1,2-Min Masala Instant Noodles,₹158,₹168,MAGGI ,840 g - (12 Packs x 70 g)
2,"Chocolate Muesli - With 57% Multigrain, Fruit, Nut & Seeds",₹310,₹360,Kelloggs,450 g 
3,"Marie Gold Biscuit - Crunchy, Light, Zero Trans Fat, Ready To Eat",₹123.2,₹140,Britannia,950 g 
4,Gluco Biscuits - Parle-G,₹85.5,₹90,Parle,800 g - Pouch
5,Frozen Green Peas,₹198,₹270,Fresho,2x500 g - (Multipack)
6,"Peanut Butter Granola - Gluten-Free, No Refined Sugar Added",₹275,₹275,Wild Date,250 g 
7,Idly & Dosa Batter,₹106.95,₹115,iD Fresho,2 kg 
8,"Digestive High Fibre Biscuits,",₹114,₹120,Britannia NutriChoice ,12x 41.7 g - Multipack
9,"Beet & Little Millet Vegan Bar - Gluten-Free, No Refined Sugar Added",₹360,₹360,Wild Date,240 g - (6 pcs x 40 g Each)
10,Little Hearts Biscuits,₹28.5,₹30,Britannia,75 g 
11,Instant Bhel,₹60,₹60,Haldiram's,6x44 g - Multipack
12,Bourbon Cream Biscuit - Chocolate Flavor,₹70.4,₹80,Britannia,2x150 g - Multipack
13,Namkeen - Bhujia Sev,₹520,₹520,Haldiram's,2x1 kg - Multipack
14,"Pumpkin & Barnyard Millet Vegan Bar - Gluten-Free, No Refined Sugar Added",₹360,₹360,Wild Date,240 g - (6 pcs x 40 g Each)
15,"Digestive High Fibre Biscuits,",₹114.24,₹140,Britannia NutriChoice ,2x 250 g - Multipack
16,Potato Chips - American Style Cream & Onion Flavour,₹60,₹60,Lays,25 g - Multipack
17,Digestive Zero (No Maida & Zero Added Sugar),₹89.78,₹105,Britannia NutriChoice ,3x 100 g - Multipack
18,Hot & Sweet Chilli,₹60,₹60,Lays,6x24 g - Multipack
19,Frozen - Green Peas,₹192,₹240,Safal,1 kg - Pouch
20,Biscuits - Milk Bikis,₹85.5,₹90,Britannia,3x160 g - Multipack
21,Namkeen - Moong Dal,₹165,₹165,Haldiram's,3x150 g - Multipack
22,"Hot N Sour Veggie Overload Quikie Soup - Multigrain, No Maida",₹120,₹120,Rasna,12 x 15g - Multipack
23,"Tomato Veggie Overload Quikie Soup - Multigrain, No Maida",₹120,₹120,Rasna,12 x 18g - Multipack
24,Treat - Jim Jam Biscuits,₹61.18,₹70,Britannia,2x138 g - Multipack
25,Mixed Fruit Jam - Delicious & Flavourful,₹275,₹300,Kissan,1 kg 
26,50-50 Maska Chaska,₹79.2,₹90,Britannia,300 g 
27,Corn Flakes - Original,₹337.5,₹460,Kelloggs,1.2 Kg 
28,Vanilla Flavour Crème Sandwich Biscuit,₹52.47,₹99,Cadbury Oreo,288.75 g - (3 Packs x 96.25 g Each)
29,"Treat Croissant - Cocoa Creme Filling, 100% Veg, Soft",₹60.8,₹80,Britannia,4x45 g - Multipack
30,Dark Fantasy Bourbon Biscuits,₹17.89,₹35,Sunfeast,120 g 
31,"Nutri-Licious Masala Veg Atta Noodles - Herbs & Spice Blend, Iron & Fibre Rich",₹150,₹168,MAGGI ,435 g - (Pack of 6)
32,Cheese Balls,₹90,₹180,PEPPY,3x60 g - Multipack
33,"Muesli Breakfast Cereal - With Multigrain & 21% Fruit, Nut & Seeds",₹355,₹490,Kelloggs,750 g 
34,Potato Chips - Indias Magic Masala,₹112.32,₹156,Lays,2 x 157 g - Multipack
35,"Oats - Natural Wholegrain, Nutritious Breakfast Cereals, Dalia Porridge, Easy To Cook",₹267,₹292,Quaker,1.5 kg - Pouch
36,Chocolate Bar,₹97.5,₹130,Cadbury Dairy Milk,134 g - Family Pack
37,Namkeen - Aloo Bhujia,₹225,₹225,Haldiram's,1 kg - Pouch
38,"Yumitos Potato Chips - Original Style, Chilli",₹110.4,₹120,Bingo,12x21 g - (Multipack)
39,Hide & Seek Chocolate,₹90,₹120,Parle,4 x 100 g - Multipack
40,"Honey Squeezy - 100% Pure, Rich In Nutrients, No Sugar, Boosts Immunity",₹437.5,₹625,Dabur,700 g - (Buy 1 Get 1 Free)
41,"Chikki, Peanut Bar",₹350,₹350,Paper Boat,16 g - (Pack of 50)
42,Namkeen - Salted Peanut,₹60,₹60,Haldiram's,6x45 g - Multipack
43,Breakfast Mix - Rava Idli,₹215,₹245,MTR,1 kg - Pouch
44,Good Day Butter Cookies,₹100,₹125,Britannia,600 g 
45,"Kitkat Coated Wafer Bar, Share Bag",₹96,₹120,Nestle ,123.2 g - (8 pcs x 15.4 g Each)
46,Dark Fantasy - Choco Fills,₹294.03,₹510,Sunfeast,3x300 g - (Multipack)
47,Hommade - Coconut Milk,₹203.06,₹225,Dabur,3x200 ml - Multipack
48,Chocolate Flavour Creme Sandwich Biscuit,₹127.41,₹198,Cadbury Oreo,288.75 g - (3 Packs x 96.25 g Each) x 2 (Multipack)
49,Namkeen - Masala Peanut,₹60,₹60,Haldiram's,6x50 g - Multipack
50,Krackjack,₹90,₹120,Parle,700 g 
51,Marie Gold Biscuits,₹114,₹120,Britannia,6x120 g - Multipack
52,Fruit & Nut Chocolate Bar,₹403.76,₹555,Cadbury Dairy Milk Silk,3 x 137 g - Multipack
53,NutriChoice Sugar Free Cream Cracker,₹91.2,₹100,Britannia,2x300 g - Multipack
54,Bounce Biscuits - Orange Creme Cookies,₹57,₹60,Sunfeast,6x58 g - Multipack
55,Nice Time - Sugar Showered Coconut Biscuits,₹135.38,₹150,Britannia,6x143 g - Multipack
56,"Milkybar - Choo, Rich, Strawberry Flavour",₹5,₹5,Nestle ,10 g - Pouch
57,Vermicelli,₹51,₹51,Anil,450 g - Pouch
58,Vermicelli,₹74,₹87,MTR,850 g - Pouch
59,Premium Bake Rusk,₹85.5,₹100,Britannia,2x273 g - Multipack
60,Classic Tomato Chilli,₹62.4,₹120,Piknik,2 X 60 g - Multipack
61,YiPPee! Magic Masala Noodles,₹95.2,₹112,Sunfeast,2 x 240 g - (Pack of 2)
62,Kurkure Namkeen - Masala Munch,₹54,₹60,Kurkure,3x70 g - Multipack
63,Potato Chips - Classic Salted,₹79.9,₹100,Lays,2 x 90 g - Multipack
64,Minis Chocolate Home Treats Pack,₹328.55,₹447,Cadbury Dairy Milk,3 x 119 g - Multipack
65,Good Day Pista Badam Cookies,₹56,₹70,Britannia,250 g 
66,Ready To Eat Chicken Noodles,₹42.75,₹45,Wai Wai,3 x 70 g - Multipack
67,"Fresh Tomato Ketchup - Tasty, Yummy & Healthy",₹110.5,₹150,Kissan,1.1 kg - Pouch
68,"Treat Croissant - Vanilla Creme Filling, 100% Veg, Soft",₹92.16,₹120,Britannia,6x45 g - Multipack
69,Namkeen - Puffcorn Yummy Cheese,₹54,₹60,Kurkure,3x55 g - Multipack
70,Soan Papdi,₹1680,₹1680,Haldiram's,24x250 g - Multipack
71,Munch Chocolate Coated Wafer Bar - Crunchy,₹80,₹100,Nestle ,8.9 g - (18 pcs)
72,Chocos - Moons & Stars,₹432,₹720,Kelloggs,1.2 Kg 
73,French - Fries,₹236.25,₹315,McCain,1.25 kg 
74,"Vita Marie Gold Biscuit - Crunchy, Light, Zero Trans Fat, Ready To Eat",₹131.75,₹155,Britannia,978 g 
75,Minis Chocolate Home Treats Pack,₹204.75,₹300,Cadbury Gems,3 x 126.4 g - Multipack
76,"Marie Light Active Biscuits - With Iron & 6 Vitamins, Tea Time Partner",₹106.5,₹150,Sunfeast,1 kg - Pouch
77,Frozen Sweet Corn,₹139,₹200,Fresho,1 kg - Pouch
78,Instant Tomato Chatpata Cup-A-Soup,₹100,₹100,Knorr,10x14 g - Multipack
79,"Honey - 100% Pure, No Sugar Adulteration",₹454.45,₹610,Dabur,1.3 kg - Pet Bottle
80,Potato Chips Original Style - Salt Sprinkled,₹55.2,₹60,Bingo,6x21 g - Multipack
81,Monaco Classic,₹90,₹120,Parle,700 g 
82,"Chatpata Matar Namkeen - Spicy Fried Green Peas, Teatime/Evening Snack",₹10,₹10,Haldiram's,40 g - Pouch
83,Namkeen - Khatta Meetha,₹150,₹150,Haldiram's,3x150 g - Multipack
84,Roast Almond Chocolate Bar,₹335.16,₹360,Cadbury Dairy Milk,8 x 36 g - Multipack
85,"Mad Angles - Achaari Masti, Crunchy Triangle Chips, Perfect For Snacking",₹63.75,₹100,Bingo,2x130 g - Multipack
