,Grocery_Name,Discount_Price,MRP_Price,Brand_Name,Quantity
0,100% Pure Cow Ghee,₹756.15,₹780,Dabur,1 L - Box
1,Atta/Godihittu - Whole Wheat,₹436.79,₹540,Aashirvaad,10 kg 
2,"Atta With 9 Multigrain - High-Fibre & High Protein Soft Rotis, Fortified",₹500.96,₹650,BB Royal,10 kg 
3,Pure Ghee,₹1300,₹1300,Nandini,2 x 1 L - Multipack
4,Unpolished Toor Dal/Arhar Dal,₹1249.6,₹1420,Tata Sampann,5 kg 
5,Sona Masoori Raw Rice - Super Premium,₹1499,₹1950,BB Royal,26 kg - (18 + Months Old)
6,Basmati Rice/Basmati Akki - Pulav Premium,₹119,₹170,BB Royal,1 kg - Pouch
7,Refined Sunflower Oil,₹330,₹390,Sunpure ,3 x 1 L - Multipack
8,Toor Dal/Togari Bele - Desi,₹932,₹1250,BB Royal,5 kg - Pouch
9,Superior Classic Basmati Rice/Basmati Akki,₹147,₹210,BB Royal,1 kg - Pouch
10,Ghee,₹760,₹850,GRB,2 x 500 ml - Multipack
11,Sunlite Sunflower Refined Oil,₹314.01,₹375,Fortune ,3x910 g - Multipack
12,Pooja Oil,₹113.23,₹180,Anandam,890 g 
13,Cumin/Jeera/Jeerige - Whole,₹790,₹1200,BB Royal,1 kg 
14,Biryani Basmati Rice/Basmati Akki - Extra Long,₹136.5,₹195,BB Royal,1 kg - Pouch
15,Peanuts/Kadalekayi - Raw,₹43,₹50,BB Royal,200 g - Pouch
16,Cashew/Godambi - Whole,₹836,₹1500,BB Popular,1 kg 
17,Urad Dal/Uddina Bele - Split,₹308,₹400,BB Popular,2 kg 
18,Toor/Arhar Dal 5 kg,₹1014,₹1200,BB Super Saver,5 kg 
19,"Select Sharbati Atta - Rich In Nutrients, For Soft & Fluffy Roti",₹546,₹650,Aashirvaad,10 kg 
20,Sooji Ordinary/Bombay Rava,₹255,₹325,BB Royal,5x1 kg - Multipack
21,Vacuum Evaporated Iodised Salt - Helps Mental Development,₹24,₹28,Tata Salt,1 kg - Pouch
22,Peanuts/Kadalekayi - Raw,₹39,₹47,BB Popular,200 g - Pouch
23,White Label Sugar,₹238.18,₹300,Parry's,5 Kg - Sulphur Free Process
24,"Sugar - Pure & Hygienic, Fine Grain, Natural, Sulphur Free",₹263,₹315,Madhur,5 kg 
25,Refined - Sunflower Oil,₹313.5,₹420,Dhara ,3x1 L - Multipack
26,"Almond/Badam - Californian, Giri",₹786,₹1200,BB Popular,2x500 g - Multipack
27,Oil - Gingelly,₹495,₹503,Idhayam,1 L - Pouch
28,Fried Gram/Huri Kadale,₹138,₹180,BB Royal,1 kg - Pouch
