Grocery_Name,MRP_Price,Discount_Price,Quantity,brand_name,price_per_unit,Total Disc,Percetage Disc,Platform,Converted Quantity,Unit,Price Per Unit(Kg)
Wagh Bakri Premium Leaf Tea Pouch : 1 kg,570.0,479.0,1 kg,Wagh,479.0,91.0,15.96,DMART,1.0,kg,479.0
Society Tea : 1 kg,570.0,500.0,1 kg,Society,500.0,70.0,12.28,DMART,1.0,kg,500.0
Brooke Bond Red Label Natural Care Tea : 1 kg,600.0,449.0,1 kg,Brooke,449.0,151.0,25.17,DMART,1.0,kg,449.0
Brooke Bond Red Label Tea : 1 kg,600.0,430.0,1 kg,Brooke,430.0,170.0,28.33,DMART,1.0,kg,430.0
Tata Tea Agni : 1.5 kgs,335.0,265.0,1.5 kg,Tata,176.67,70.0,20.9,DMART,1.5,kg,176.66666666666666
Taj Mahal Tea : 500 gms,450.0,364.0,500 gm,Taj,0.73,86.0,19.11,DMART,500.0,gm,728.0
Girnar Royal Cup Tea : 1 kg,570.0,470.0,1 kg,Girnar,470.0,100.0,17.54,DMART,1.0,kg,470.0
Tata Tea Premium : 1 kg,570.0,400.0,1 kg,Tata,400.0,170.0,29.82,DMART,1.0,kg,400.0
Tata Tea Gold : 1 kg,600.0,450.0,1 kg,Tata,450.0,150.0,25.0,DMART,1.0,kg,450.0
Society Masala Flavour Tea Pouch : 1 kg,640.0,489.0,1 kg,Society,489.0,151.0,23.59,DMART,1.0,kg,489.0
Brooke Bond Taaza Tea : 1 kg,230.0,190.0,1 kg,Brooke,190.0,40.0,17.39,DMART,1.0,kg,190.0
Tetley Green Tea Lemon & Honey : 100 Tea-Bags,625.0,312.0,100 Bags,Tetley,3.12,313.0,50.08,DMART,100.0,Bags,3.12
Wagh Bakri Navchetan Tea : 1 kg,220.0,165.0,1 kg,Wagh,165.0,55.0,25.0,DMART,1.0,kg,165.0
Girnar Royal Assam CTC Leaf Tea Jar : 1 kg,590.0,440.0,1 kg,Girnar,440.0,150.0,25.42,DMART,1.0,kg,440.0
Society Premium Tea : 1 kg,600.0,500.0,1 kg,Society,500.0,100.0,16.67,DMART,1.0,kg,500.0
