Grocery_Name,MRP_Price,Discount_Price,Quantity,brand_name,price_per_unit
Britannia Good Day Cashew Cookies : 600 gms,135,99,600 gm,Britannia,₹ 0.17
Parle Hide & Seek Chocolate Chip Cookies : 350 gms,150,99,350 gm,Parle,₹ 0.28
Karachi's Fruit Biscuits : 400 gms,170,125,400 gm,Karachi's,₹ 0.31
Parle Nutricrunch Digestive Cookies : 1 kg,270,135,1 kg,Parle,₹ 135.00
Sunfeast Dark Fantasy Yumfills Cake : 242 gms,170,78,242 gm,Sunfeast,₹ 0.32
Sunfeast Mom's Magic Cashew & Almond : 584 gms,130,86,584 gm,Sunfeast,₹ 0.15
Britannia Little Hearts Classic : 75 gms,30,22,75 gm,Britannia,₹ 0.29
Britannia Nice Time Coconut Biscuits : 143 gms,25,23,143 gm,Britannia,₹ 0.16
Britannia Good Day Chocochip Cookies : 400 gms,140,74,400 gm,Britannia,₹ 0.18
Unibic Cashew Badam Cookies : 500 gms,150,75,500 gm,Unibic,₹ 0.15
Malkist Cheese Flavoured Crunchy Layered Crackers : 138 gms,60,40,138 gm,Malkist,₹ 0.29
Unibic Choco Chip Cookies : 500 gms,200,100,500 gm,Unibic,₹ 0.20
Unibic Fruit & Nut Cookies : 500 gms,190,95,500 gm,Unibic,₹ 0.19
Britannia NutriChoice Sugar Free Cracker Biscuits : 300 gms,50,45,300 gm,Britannia,₹ 0.15
Parle 20-20 Gold Cashew Almond Cookies : 600 gms,160,80,600 gm,Parle,₹ 0.13
Unibic Choco Kiss Cookies : 250 gms,160,80,250 gm,Unibic,₹ 0.32
Britannia Tiger Krunch Chocochips Biscuits : 4x100 gms,140,70,4X100 gm,Britannia,₹ 0.32
Unibic Snappers Potato Crackers - Cream N' Onion : 300 gms,150,75,300 gm,Unibic,₹ 0.25
Unibic Snappers Potato Crackers - Indi Spice : 300 gms,150,75,300 gm,Unibic,₹ 0.25
Malkist Chocolate Flavoured Crunchy Layered Crackers : 138 gms,60,45,138 gm,Malkist,₹ 0.33
Unibic Choco Nut Cookies : 500 gms,190,95,500 gm,Unibic,₹ 0.19
Unibic Danish Coconut Cookies : 300 gms,150,75,300 gm,Unibic,₹ 0.25
Cadbury Chocobakes Choco Chip Cookies : 167 gms,80,59,167 gm,Cadbury,₹ 0.35
McVitie's Ginger Cookies : 120 gms,50,25,120 gm,McVitie's,₹ 0.21
Sunfeast Nice Sugar Sprinkled Biscuits : 142.8 gms,25,23,142.8 gm,Sunfeast,₹ 0.16
Lotus Biscoff Biscuit : 250 gms,299,240,250 gm,Lotus,₹ 0.96
Sunfeast Dark Fantasy Choco Chip Cookies : 350 gms,140,110,350 gm,Sunfeast,₹ 0.31
Munchy's Cream Crackers : 300 gms,210,179,300 gm,Munchy's,₹ 0.60
Munchy's Vege Crackers : 300 gms,210,165,300 gm,Munchy's,₹ 0.55
Lotte Choco Pie Real Orange : 12x28 gms,180,90,12x28 gm,Lotte,₹ 0.55
Britannia Good Day Cashew Cookies : 52.5 gms,10,9,52.5 gm,Britannia,₹ 0.17
Malkist Sugar Crackers : 105 gms,50,40,105 gm,Malkist,₹ 0.38
Malkist Cappuccino Flavoured Crunchy Layered Crackers : 144 gms,60,45,144 gm,Malkist,₹ 0.31
Orion Choco Pie : 6 x 28 gms,90,64,6 x 28 gm,Orion,₹ 0.31
Parle 20-20 Cashew Cookies : 150 gms,35,33,150 gm,Parle,₹ 0.28
Britannia Good Day Harmony Biscuit: 110 gms,30,15,110 gm,Britannia,₹ 0.14
Munchy's Wheat Crackers : 276 gms,210,165,276 gm,Munchy's,₹ 0.60
