Grocery_Name,MRP_Price,Discount_Price,Quantity,brand_name,price_per_unit,Total Disc,Percetage Disc,Platform,Converted Quantity,Unit,Price Per Unit(Kg)
Britannia Good Day Cashew Cookies : 600 gms,135.0,99.0,600 gm,Britannia,0.17,36.0,26.67,DMART,600.0,gm,165.0
Parle Hide & Seek Chocolate Chip Cookies : 350 gms,150.0,99.0,350 gm,Parle,0.28,51.0,34.0,DMART,350.0,gm,282.8571428571429
Karachi's Fruit Biscuits : 400 gms,170.0,125.0,400 gm,Karachi's,0.31,45.0,26.47,DMART,400.0,gm,312.5
Parle Nutricrunch Digestive Cookies : 1 kg,270.0,135.0,1 kg,Parle,135.0,135.0,50.0,DMART,1.0,kg,135.0
Sunfeast Dark Fantasy Yumfills Cake : 242 gms,170.0,78.0,242 gm,Sunfeast,0.32,92.0,54.12,DMART,242.0,gm,322.3140495867769
Sunfeast Mom's Magic Cashew & Almond : 584 gms,130.0,86.0,584 gm,Sunfeast,0.15,44.0,33.85,DMART,584.0,gm,147.26027397260276
Britannia Little Hearts Classic : 75 gms,30.0,22.0,75 gm,Britannia,0.29,8.0,26.67,DMART,75.0,gm,293.33333333333337
Britannia Nice Time Coconut Biscuits : 143 gms,25.0,23.0,143 gm,Britannia,0.16,2.0,8.0,DMART,143.0,gm,160.83916083916085
Britannia Good Day Chocochip Cookies : 400 gms,140.0,74.0,400 gm,Britannia,0.18,66.0,47.14,DMART,400.0,gm,185.0
Unibic Cashew Badam Cookies : 500 gms,150.0,75.0,500 gm,Unibic,0.15,75.0,50.0,DMART,500.0,gm,150.0
Malkist Cheese Flavoured Crunchy Layered Crackers : 138 gms,60.0,40.0,138 gm,Malkist,0.29,20.0,33.33,DMART,138.0,gm,289.85507246376807
Unibic Choco Chip Cookies : 500 gms,200.0,100.0,500 gm,Unibic,0.2,100.0,50.0,DMART,500.0,gm,200.0
Unibic Fruit & Nut Cookies : 500 gms,190.0,95.0,500 gm,Unibic,0.19,95.0,50.0,DMART,500.0,gm,190.0
Britannia NutriChoice Sugar Free Cracker Biscuits : 300 gms,50.0,45.0,300 gm,Britannia,0.15,5.0,10.0,DMART,300.0,gm,150.0
