Product Name,Quantity,priceMRP,priceSALE,savePrice,pricepergm
Premia Badam (Almonds),500 gm,560,400,160,( 0.80 / 1 gm)
ProV Select California Almonds,1 kg,1349,629,720,( 629.00 / 1 kg)
Chana Dal,500 gm,74,53,21,( 0.11 / 1 gm)
Premia Chana Dal,1 kg,135,99,36,
Nutraj California Almonds (Badam),500 gm,599,339,260,( 0.68 / 1 gm)
Prov Independence California Almonds,500 gm,698,299,399,( 0.60 / 1 gm)
Rajma Kashmiri Red,500 gm,158,130,28,( 0.26 / 1 gm)
Swaad Badam,500 gm,462,349,113,( 0.70 / 1 gm)
Rajma White,500 gm,153,111,42,( 0.22 / 1 gm)
Tata Sampann Chana Dal,500 gm,78,62,16,( 0.12 / 1 gm)
Wonderland California Almonds,500 gm,725,339,386,( 0.68 / 1 gm)
Premia Mamra Badam,200 gm,599,417,182,( 2.08 / 1 gm)
Rajma Red Small,500 gm,129,99,30,( 0.20 / 1 gm)
Nutraj Almond,200 gm,299,199,100,( 0.99 / 1 gm)
Satyam Rajma Pink,500 gm,152,135,17,( 0.27 / 1 gm)
DMart Healthy Choice Unpolished Chana Dal,1 kg,152,105,47,( 105.00 / 1 kg)
Premia Badam American,1 kg,1021,785,236,( 785.00 / 1 kg)
Tata Sampann 100% Organic Unpolished Chana Dal,1 kg,199,159,40,( 159.00 / 1 kg)
KMK Almond Mamra (Badam),200 gm,750,575,175,( 2.88 / 1 gm)
KMK Almond American (Badam),200 gm,258,168,90,( 0.84 / 1 gm)
Satyam Rajma Sharmili,500 gm,142,123,19,( 0.25 / 1 gm)
Satyam Chana Dal,500 gm,91,85,6,( 0.17 / 1 gm)
Tata Sampann Organic Unpolished Rajma Red,500 gm,165,115,50,( 0.23 / 1 gm)
Nutraj Snack Rite Roasted & Salted Almonds,150 gm,299,149,150,( 0.99 / 1 gm)
Moong Dal,500 gm,107,75,32,( 0.15 / 1 gm)
Nutraj Cashews,500 gm,699,399,300,( 0.80 / 1 gm)
Tata Sampann Moong Dal,1 kg,209,140,69,( 140.00 / 1 kg)
Premia Regular Kaju (Cashews) - 320,100 gm,156,109,47,( 1.09 / 1 gm)
Moong Dal Chilti,500 gm,113,84,29,( 0.17 / 1 gm)
Premia Kaju,500 gm,595,424,171,( 0.85 / 1 gm)
Kalbavi Popular Cashews,500 gm,649,369,280,( 0.74 / 1 gm)
Premia Kaju Tukda (Cashews),100 gm,156,120,36,( 1.20 / 1 gm)
Chowli Premium,500 gm,112,72,40,( 0.14 / 1 gm)
Premia Chowli Premium,500 gm,100,72,28,
ProV Select Cashews,500 gm,849,419,430,( 0.84 / 1 gm)
Kalbavi Cashews (Kaju),500 gm,699,429,270,( 0.86 / 1 gm)
Chowli Small,500 gm,144,108,36,( 0.22 / 1 gm)
Tata Sampann Moong Chilka,500 gm,99,66,33,( 0.13 / 1 gm)
Premia Kaju Special (Cashews),100 gm,172,124,48,( 1.24 / 1 gm)
Wonderland Cashews,500 gm,770,349,421,( 0.70 / 1 gm)
