Grocery_Name,MRP_Price,Discount_Price,Quantity,brand_name,price_per_unit
Wagh Bakri Premium Leaf Tea Pouch : 1 kg,570,479.0,1 kg,Wagh,₹ 479.00
Society Tea : 1 kg,570,500.0,1 kg,Society,₹ 500.00
Brooke Bond Red Label Natural Care Tea : 1 kg,600,449.0,1 kg,Brooke,₹ 449.00
Brooke Bond Red Label Tea : 1 kg,600,430.0,1 kg,Brooke,₹ 430.00
Tata Tea Agni : 1.5 kgs,335,265.0,1.5 kg,Tata,₹ 176.67
Taj Mahal Tea : 500 gms,450,364.0,500 gm,Taj,₹ 0.73
Girnar Royal Cup Tea : 1 kg,570,470.0,1 kg,Girnar,₹ 470.00
Tata Tea Premium : 1 kg,570,400.0,1 kg,Tata,₹ 400.00
Tata Tea Gold : 1 kg,600,450.0,1 kg,Tata,₹ 450.00
Society Masala Flavour Tea Pouch : 1 kg,640,489.0,1 kg,Society,₹ 489.00
Brooke Bond Taaza Tea : 1 kg,230,190.0,1 kg,Brooke,₹ 190.00
Tetley Green Tea Lemon & Honey : 100 Tea-Bags,625,312.0,100 Bags,Tetley,₹ 3.12
Wagh Bakri Navchetan Tea : 1 kg,220,165.0,1 kg,Wagh,₹ 165.00
Girnar Royal Assam CTC Leaf Tea Jar : 1 kg,590,440.0,1 kg,Girnar,₹ 440.00
Society Premium Tea : 1 kg,600,500.0,1 kg,Society,₹ 500.00
Girnar Detox Desi Kahwa Green Tea : 50 Tea-Bags,490,420.0,50 Bags,Girnar,₹ 8.40
Wagh Bakri Spiced Tea : 500 gms,330,269.0,500 gm,Wagh,₹ 0.54
Lipton Green Tea Honey Lemon : 100 Tea-Bags,625,493.0,100 Bags,Lipton,₹ 4.93
Tata Tea Gold Care : 500 gms,325,245.0,500 gm,Tata,₹ 0.49
Tata Tea Elaichi Chai : 1 kg,310,255.0,1 kg,Tata,₹ 255.00
Brooke Bond Taj Mahal Tea : 100 Tea-Bags,220,205.0,100 Bags,Brooke,₹ 2.05
Tetley Green Tea Ginger Mint & Lemon : 100 Tea-Bags,625,312.0,100 Bags,Tetley,₹ 3.12
Girnar Masala Instant Premix Chai : 140 gms,150,125.0,140 gm,Girnar,₹ 0.89
Tata Tea Teaveda : 250 gms,145,120.0,250 gm,Tata,₹ 0.48
Lipton Pure & Light Green Tea : 250 gms,370,329.0,250 gm,Lipton,₹ 1.32
Girnar Jumbo Gulabi CTC Leaf Tea : 1 kg,400,249.0,1 kg,Girnar,₹ 249.00
Girnar Cardamom Instant Premix Chai : 140 gms,150,125.0,140 gm,Girnar,₹ 0.89
Wagh Bakri Masala Tea : 200 gms,165,135.0,200 gm,Wagh,₹ 0.68
Tetley Long Leaf Green Tea Powder : 250 gms,370,319.0,250 gm,Tetley,₹ 1.28
Lipton Green Tea - Clear & Light: 25 Tea-Bags,170,139.0,25 Bags,Lipton,₹ 5.56
Goodricke Super Cup Tea : 1 kg,405,202.0,1 kg,Goodricke,₹ 202.00
Lipton Green Tea - Lemon Zest : 25 Tea-Bags,170,145.0,25 Bags,Lipton,₹ 5.80
Wagh Bakri Green Tea Honey Lemon : 25 Tea-Bags,175,87.0,25 Bags,Wagh,₹ 3.48
Tea Country Honey & Lemon Green Tea : 25 Tea-Bags,130,65.0,25 Bags,Tea,₹ 2.60
Premia Tea Masala : 50 gms,43,27.0,50 gm,Premia,₹ 0.54
Society Chahat Leaf Tea Pouch : 1 kg,215,160.0,1 kg,Society,₹ 0.16
Organic India Tulsi Green Tea - Lemon Ginger : 25 Tea-Bags,215,174.0,25 Bags,Organic,₹ 6.96
Organic India Tulsi Green Tea - Classic : 25 Tea-Bags,215,186.0,25 Bags,Organic,₹ 7.44
Wagh Bakri Premix Masala Instant Tea : 140 gms,150,139.0,140 gm,Wagh,₹ 0.99
Tea Country Original Green Tea : 25 Tea-Bags,130,65.0,25 Bags,Tea,₹ 2.60
