Grocery_Name,MRP_Price,Discount_Price,Quantity,brand_name,price_per_unit
Britannia Good Day Cashew Cookies : 600 gms,135,90.0,600 gm,Britannia,(₹ 0.15 / 1 gm)
Parle Hide & Seek Chocolate Chip Cookies : 350 gms,150,99.0,350 gm,Parle,(₹ 0.28 / 1 gm)
Karachi's Fruit Biscuits : 400 gms,170,125.0,400 gm,Karachi's,(₹ 0.31 / 1 gm)
Parle Nutricrunch Digestive Cookies : 1 kg,270,135.0,1 kg,Parle,(₹ 135.00 / 1 kg)
Sunfeast Dark Fantasy Yumfills Cake : 242 gms,170,78.0,242 gm,Sunfeast,(₹ 0.32 / 1 gm)
Sunfeast Mom's Magic Cashew & Almond : 584 gms,130,86.0,584 gm,Sunfeast,(₹ 0.15 / 1 gm)
Britannia Little Hearts Classic : 75 gms,30,22.0,75 gm,Britannia,(₹ 0.29 / 1 gm)
Britannia Nice Time Coconut Biscuits : 143 gms,25,23.0,143 gm,Britannia,(₹ 0.16 / 1 gm)
Britannia Good Day Chocochip Cookies : 400 gms,140,74.0,400 gm,Britannia,(₹ 0.18 / 1 gm)
Unibic Cashew Badam Cookies : 500 gms,150,75.0,500 gm,Unibic,(₹ 0.15 / 1 gm)
Malkist Cheese Flavoured Crunchy Layered Crackers : 138 gms,60,40.0,138 gm,Malkist,(₹ 0.29 / 1 gm)
Unibic Choco Chip Cookies : 500 gms,200,100.0,500 gm,Unibic,(₹ 0.20 / 1 gm)
Unibic Fruit & Nut Cookies : 500 gms,190,95.0,500 gm,Unibic,(₹ 0.19 / 1 gm)
Britannia NutriChoice Sugar Free Cracker Biscuits : 300 gms,50,40.0,300 gm,Britannia,(₹ 0.13 / 1 gm)
Parle 20-20 Gold Cashew Almond Cookies : 600 gms,160,80.0,600 gm,Parle,(₹ 0.13 / 1 gm)
Unibic Choco Kiss Cookies : 250 gms,160,80.0,250 gm,Unibic,(₹ 0.32 / 1 gm)
Britannia Tiger Krunch Chocochips Biscuits : 4x100 gms,140,70.0,4X100 gm,Britannia,(₹ 0.32 / 1 gm)
Unibic Snappers Potato Crackers - Cream N' Onion : 300 gms,150,75.0,300 gm,Unibic,(₹ 0.25 / 1 gm)
Unibic Snappers Potato Crackers - Indi Spice : 300 gms,150,75.0,300 gm,Unibic,(₹ 0.25 / 1 gm)
