Grocery_Name,MRP_Price,Discount_Price,Quantity,brand_name,price_per_unit
Tur Dal Latur : 1 kg,291,225.0,1 kg,Tur,₹ 225.00
Moong Dal : 1 kg,188,152.0,1 kg,Moong,₹ 152.00
Premia Groundnut : 500 gms,137,104.0,500 gm,Premia,₹ 0.21
Tur Dal Premium Gujarat : 1 kg,303,239.0,1 kg,Tur,₹ 239.00
Chana Dal : 500 gms,74,53.0,500 gm,Chana,₹ 0.11
Masoor Dal : 1 kg,135,108.0,1 kg,Masoor,₹ 108.00
Premia Moong Whole : 500 gms,120,89.0,500 gm,Premia,₹ 108.00
Moong Dal Chilti : 1 kg,203,154.0,1 kg,Moong,₹ 154.00
DMart Healthy Choice Unpolished Toor Dal : 1 kg,333,235.0,1 kg,DMart,₹ 235.00
Rajma Kashmiri Red : 500 gms,158,106.0,500 gm,Rajma,₹ 0.21
Masoor Whole : 1 kg,127,98.0,1 kg,Masoor,₹ 98.00
Matki : 1 kg,161,126.0,1 kg,Matki,₹ 126.00
Rajma White : 500 gms,156,112.0,500 gm,Rajma,₹ 0.22
Daliya : 500 gms,99,67.0,500 gm,Daliya,₹ 0.13
Premia Chana Small : 500 gms,73,53.0,500 gm,Premia,₹ 0.13
Vatana Green : 500 gms,108,75.0,500 gm,Vatana,₹ 0.15
Udid (Urad) Dal Chilti : 500 gms,112,78.0,500 gm,Udid,₹ 0.16
Udid (Urad) Black Whole : 500 gms,102,81.0,500 gm,Udid,₹ 0.16
Rajma Red Small : 500 gms,129,99.0,500 gm,Rajma,₹ 0.20
Premia Rajma Red Small : 500 gms,118,99.0,500 gm,Premia,₹ 0.20
Premia Soyawadi : 200 gms,42,24.0,200 gm,Premia,₹ 0.12
DMart Healthy Choice Unpolished Moong Dal : 1 kg,216,162.0,1 kg,DMart,₹ 162.00
Chowli Big : 500 gms,77,56.0,500 gm,Chowli,₹ 0.11
Chana Green : 500 gms,100,72.0,500 gm,Chana,₹ 0.14
Mixed Pulses For Sprout : 500 gms,98,68.0,500 gm,Mixed,₹ 0.14
Vatana Black : 500 gms,78,55.0,500 gm,Vatana,₹ 0.11
DMart Healthy Choice Unpolished Chana Dal : 1 kg,152,106.0,1 kg,DMart,₹ 106.00
Kulith (Horse Gram) : 500 gms,106,73.0,500 gm,Kulith,₹ 0.15
Premia Soyabean : 500 gms,76,58.0,500 gm,Premia,₹ 0.12
Dal - Rice Mix : 500 gms,71,57.0,500 gm,Dal,₹ 0.11
Premia Sugar : 5 kgs,313,243.0,5 kg,Premia,₹ 48.60
Premium Jaggery : 900 gms,90,64.0,900 gm,Premium,₹ 0.07
