Grocery_Name,MRP_Price,Discount_Price,Quantity,brand_name,price_per_unit
Premia Badam (Almonds) : 500 gms,524,393.0,500 gm,Premia,₹ 0.79
ProV Select California Almonds : 1 kg,1349,599.0,1 kg,ProV,₹ 599.00
Chana Dal : 500 gms,74,53.0,500 gm,Chana,₹ 0.11
Premia Chana Dal : 1 Kgs,133,104.0,1 kg,Premia,₹ 0.11
Nutraj California Almonds : 1 kg,1149,739.0,1 kg,Nutraj,₹ 739.00
Prov Independence California Almonds : 500 gms,698,309.0,500 gm,Prov,₹ 0.62
Rajma Kashmiri Red : 500 gms,158,106.0,500 gm,Rajma,₹ 0.21
Swaad Badam : 500 gm,468,329.0,500 gm,Swaad,₹ 0.66
Rajma White : 500 gms,156,112.0,500 gm,Rajma,₹ 0.22
Tata Sampann Chana Dal : 500 gms,78,70.0,500 gm,Tata,₹ 0.14
Wonderland California Almonds : 500 gms,725,359.0,500 gm,Wonderland,₹ 0.72
Premia Mamra Badam : 200 gms,599,340.0,200 gm,Premia,₹ 1.70
Rajma Red Small : 500 gms,129,99.0,500 gm,Rajma,₹ 0.20
Nutraj Almond : 200 gms,299,179.0,200 gm,Nutraj,₹ 0.90
Satyam Rajma Pink : 500 gms,152,141.0,500 gm,Satyam,₹ 0.28
DMart Healthy Choice Unpolished Chana Dal : 1 kg,152,106.0,1 kg,DMart,₹ 106.00
Premia Badam American : 1 kg,922,727.0,1 kg,Premia,₹ 727.00
Tata Sampann 100% Organic Unpolished Chana Dal : 1 kg,210,189.0,1 kg,Tata,₹ 189.00
KMK Almond Mamra (Badam) : 200 gms,750,575.0,200 gm,KMK,₹ 2.88
KMK Almond American (Badam) : 200 gms,258,168.0,200 gm,KMK,₹ 0.84
Satyam Rajma Sharmili : 500 gms,142,132.0,500 gm,Satyam,₹ 0.26
Satyam Chana Dal : 500 gms,91,84.0,500 gm,Satyam,₹ 0.17
Tata Sampann Organic Unpolished Rajma Red : 500 gms,180,162.0,500 gm,Tata,₹ 0.32
Premia Chana Dal : 500 gms,74,55.0,500 gm,Premia,₹ 0.32
