Grocery_Name,MRP_Price,Discount_Price,Quantity,brand_name,price_per_unit
Lijjat Udad Papad : 200 gms,77,69.0,200 gm,Lijjat,(₹ 0.34 / 1 gm)
Lijjat Punjabi Masala Papad : 200 gms,89,78.0,200 gm,Lijjat,(₹ 0.39 / 1 gm)
Lijjat Garlic Papad : 200 gms,77,64.0,200 gm,Lijjat,(₹ 0.32 / 1 gm)
Appu Appalam Papad : 150 gms,70,35.0,150 gm,Appu,(₹ 0.23 / 1 gm)
Lijjat Moong Papad : 200 gms,77,67.0,200 gm,Lijjat,(₹ 0.34 / 1 gm)
Ganesh Bikaneri Special Moong Papad : 400 gms,180,155.0,400 gm,Ganesh,(₹ 0.39 / 1 gm)
Lijjat Udad Mini Papad : 200 gms,77,69.0,200 gm,Lijjat,(₹ 0.34 / 1 gm)
Ganesh Chana Masala Papad : 250 gms,145,115.0,250 gm,Ganesh,(₹ 0.46 / 1 gm)
Natural's Bite Pani Puri Papad : 200 gms,55,42.0,200 gm,Natural's,(₹ 0.21 / 1 gm)
Home Chef Udad Papad : 200 gms,75,39.0,200 gm,Home,(₹ 0.20 / 1 gm)
Mother's Recipe Potato Papad : 70 gms,34,22.0,70 gm,Mother's,(₹ 0.31 / 1 gm)
Bikaneri Mahesh Papad : 800 gms,450,225.0,800 gm,Bikaneri,(₹ 0.28 / 1 gm)
Ganesh Punjabi Masala Papad : 250 gms,145,114.0,250 gm,Ganesh,(₹ 0.46 / 1 gm)
Natural's Bite Sabudana Upwas Papad : 100 gms,60,30.0,100 gm,Natural's,(₹ 0.30 / 1 gm)
Ganesh Rice Crispie Jeera Papad : 150 gms,40,35.0,150 gm,Ganesh,(₹ 0.23 / 1 gm)
Ganesh Appalam Papad : 180 gms,99,49.0,180 gm,Ganesh,(₹ 0.27 / 1 gm)
Shiv Shakti's Sabudana Mini Papad : 200 gms,88,65.0,200 gm,Shiv,(₹ 0.33 / 1 gm)
Jain Moong Sada Papad : 500 gms,200,145.0,500 gm,Jain,(₹ 0.29 / 1 gm)
Ganesh Udad Papad : 180 gms,80,63.0,180 gm,Ganesh,(₹ 0.35 / 1 gm)
Home Chef Mini Udad Papad : 200 gms,75,39.0,200 gm,Home,(₹ 0.20 / 1 gm)
Home Chef Punjabi Masala Papad : 200 gms,84,45.0,200 Gm,Home,(₹ 0.23 / 1 gm)
Shiv Shakti's Bulbul Fryums : 200 gms,40,20.0,200 gm,Shiv,(₹ 0.10 / 1 gm)
Ganesh Garlic Papad : 180 gms,80,70.0,180 gm,Ganesh,(₹ 0.39 / 1 gm)
Shiv Shakti's Tikha Potato Papad : 100 gms,44,22.0,100 gm,Shiv,(₹ 0.22 / 1 gm)
Jain DLS Chana Masala Papad : 400 gms,198,99.0,400 gm,Jain,(₹ 0.25 / 1 gm)
Shiv Shakti's Rice Papad : 200 gms,68,34.0,200 gm,Shiv,(₹ 0.17 / 1 gm)
Sun Mix Fryums : 200 gms,25,20.0,200 gm,Sun,(₹ 0.10 / 1 gm)
Home Chef Udad Papad : 500 gms,155,95.0,500 gm,Home,(₹ 0.19 / 1 gm)
Ganesh Mini Udad Papad : 180 gms,99,49.0,180 gm,Ganesh,(₹ 0.27 / 1 gm)
Talod Dahiwada Mix : 500 gms,150,125.0,500 gm,Talod,(₹ 0.25 / 1 gm)
Ganesh Rice Crispie Garlic Papad : 150 gms,40,35.0,150 gm,Ganesh,(₹ 0.23 / 1 gm)
Shiv Shakti's Plain Potato Papad : 100 gms,44,22.0,100 gm,Shiv,(₹ 0.22 / 1 gm)
Gits Gulab Jamun : 200 gms,115,85.0,200 gm,Gits,(₹ 0.42 / 1 gm)
Dabur Hommade Coconut Milk : 200 ml,75,69.0,200 ml,Dabur,(₹ 0.34 / 1 ml)
MTR Rava Idli Mix : 1 kg,250,175.0,1 kg,MTR,(₹ 175.00 / 1 kg)
Chitale Bandhu Instant Gulab Jamun Mix : 200 gms,93,85.0,200 gm,Chitale,(₹ 0.42 / 1 gm)
