,Grocery_Name,Discount_Price,MRP_Price,Brand_Name,Quantity
0,Premium Leaf Tea,₹184,₹230,Tata Tea Chakra Gold,250 g 
1,Tea,₹1079,₹1200,Red Label,2x1 kg - Multipack
2,Premium Leaf Tea,₹340,₹425,Tata Tea Chakra Gold,500 g 
3,Tea - Natural Care,₹1079,₹1200,Red Label,2x1 kg - Multipack
4,Mineral Water,₹288,₹288,Bisleri ,250 ml - Pack of 48
5,Tea,₹1582,₹1760,Taj Mahal,2x1 kg - Multipack
6,Beaten Caffe Strong,₹288,₹320,Sunbean  ,250 g - Jar
7,"Coffee - Powder, Speciality Blend Of Coffee & Chicory Powder",₹612,₹680,Cothas Coffee,2x500 g - Multipack
8,Instant Coffee,₹344,₹400,BRU,2x100 g - Multipack
9,Beaten Caffe Powder,₹105,₹150,Sunbean  ,120 g - (10 Sachets x 12 g each)
10,Tea,₹651,₹930,Tata Tea Gold,1.5 Kg 
11,Chocolate Health Drink,₹548.46,₹740,Cadbury Bournvita,2x750 g - Multipack
12,Filter Coffee - Green Label,₹456,₹480,BRU,2x500 g - Multipack
13,"Coffee - Powder, Speciality Blend Of Coffee & Chicory Powder",₹264,₹276,Cothas Coffee,2x200 g - Multipack
14,"Immuno Chai Loose Leaf Flavoured Black Tea - Haldi, Ashwagandha & Black Pepper",₹160,₹200,Tetley,200 g 
15,"Tender Coconut Water - No Added Sugar, Flavours",₹888,₹1200,Fresho,24x200 ml - (Multipack)
16,Drink - Fresh 'N' Juicy Mango,₹140,₹140,Frooti,2x1.2 L - Multipack
17,Health Drink - Original,₹898,₹898,Horlicks,2x900 g - Multipack
18,"Nutrition Drink - Health, Energy & Sports",₹728,₹898,Boost,2x750 g - Multipack
19,Premium Leaf Tea - Strong & Refreshing,₹499,₹510,Wagh Bakri,1 kg - Pouch
20,Drink Powder - Sports Stars First Choice,₹5,₹5,Boost,15 g 
21,Tea,₹335.27,₹345.27,3 Roses,500 g - Carton
22,Tea,₹28.8,₹32,Tata Tea Kanan Devan,100 g 
23,Club Soda,₹36,₹40,Kinley,2x750 ml - Multipack
24,Mineral Water,₹315,₹315,Kinley,2 L - Pack of 9
25,"Coffee - Powder, Extra Strong",₹275,₹275,Cothas Coffee,500 g - Pouch
26,Coffee - Special Gold,₹270,₹270,Bayars,500 g 
27,Coffee - Eighty Degree,₹320,₹320,Bayars,500 g 
28,Tea,₹483,₹705,Tata Tea Premium,1. 5 kg 
29,"Mango Drink - Original Flavour, Refreshing",₹80,₹100,Maaza,150 ml - (Pack of 10)
30,"Soft Drink - Zero Sugar, No Calories",₹30,₹40,Coca Cola,750 ml - Pet Bottle
31,Soft Drink,₹168,₹190,Coca Cola,2x2 L - Multipack
32,Badam Drink Mix,₹250,₹275,MTR,500 g 
33,Soft Drink,₹146,₹190,Thums Up,2x2 L - Multipack
34,"Complete Balanced Nutrition Drink For Adults, Vanilla",₹1200,₹1300,Ensure,1 kg 
35,Diet Coke Soft Drink,₹240,₹240,Coca Cola,6x300 ml - (Multipack)
36,"Coffee - Powder, Premium Special",₹252.5,₹252.5,Cothas Coffee,500 g - Pouch
37,Xtra Coffee Pouch,₹70,₹140,Continental,50 g 
38,Packaged Drinking Water,₹315,₹315,Aquafina,2 L - Pack of 9
39,Natural Care Tea - with 5 Natural Ingredients,₹460,₹460,3 Roses,500 g 
40,Goodness Of 5 Natural Flavours,₹260,₹325,Tata Tea Gold Care,500 g 
41,Grand Filter Coffee,₹231,₹280,Tata Coffee,500 g 
42,"Grand Classic Instant Coffee - Flavour Locked Decoction Crystals, Strong Taste & Rich Aroma",₹315,₹420,Tata Coffee,200 g - Pouch
43,Health & Nutrition Drink,₹364,₹449,Horlicks,750 g - Pouch
44,Coconut Water - Packed With Electrolytes & Boosts Hydration,₹307.8,₹360,Raw Pressery,6x200 ml - Multipack
45,Blend Instant Coffee Powder - Rich & Smooth,₹990,₹1100,Nescafe Gold,2 x 95 g - Multipack
46,"Black Roast Instant Coffee - Rich & Dark, 100% Pure, Soluble Powder",₹592,₹740,Nescafe Classic,2x90 g - Multipack
47,"Fruit Juice - Delight, Litchi",₹206,₹246,Tropicana,2x1 L - Multipack
48,7+ Specialized Nutrition Drink Powder With Oats & Almonds - Chocolate Flavour,₹1110,₹1230,Pediasure,2 x 400 g - Multipack
49,"Black Soft Drink - Max Taste, Zero Sugar(Diet)",₹192,₹210,Pepsi,6x250 ml - Multipack
50,Soda - Original Ginger Ale,₹360,₹360,Schweppes,6x300 ml - Multipack
51,Fruit Juice - Orange Delight,₹240,₹240,Tropicana,2x1 L - Multipack
52,"Women's Plus, Caramel",₹539.1,₹599,Womens Horlicks,750 g 
53,Health Drink Chocolate,₹1420,₹1540,Pediasure,2 x 400 g - Multipack
54,Health & Nutrition Drink - Chocolate,₹698,₹998,Horlicks,2x1 kg - (Multipack)
55,Soft Drink - With Real Lemon Juice,₹90,₹90,7 Up Nimbooz,6 x 250 ml - (Multipack)
56,"Health Mix - 100% Natural Nutrition, No Added Sugar, Preservative Free",₹356.25,₹475,Manna,1 kg - cartoon
57,"Coffee - Powder, Pure Filter, Nova Therm",₹224.25,₹345,Cothas Coffee,500 g 
58,Indian Tonic Water,₹300,₹300,Schweppes,6x300 ml - Multipack
59,Cold Extracted Juice - Valencia Orange,₹846.45,₹990,Raw Pressery,3x1 L - Multipack
60,Spiced Tea - Blend Of 7 Refreshing Spices,₹165,₹165,Wagh Bakri,250 g 
61,Green Tea - Honey Lemon,₹299.2,₹340,Lipton,2x25 pcs - Multipack
62,Aamras Mango Fruit Juice,₹420,₹420,Paper Boat,12x200 ml - Multipack
63,"Fruit Juice - Cranberry, Rich In Vitamin C",₹708,₹780,Real,6 x 1 L - Multipack
64,"Diabetes Plus - Helps Manage Blood Sugar, Vanilla",₹671.5,₹790,Horlicks,400 g - Cartoon
65,Fruit Drink - Pulpy Orange,₹162,₹180,Minute Maid ,2x1 L - Multipack
66,100% Tender Coconut Water - No Added Sugar,₹217.6,₹340,Storia,2 x 1 L - (Multipack)
67,Premium Tea - Strong Flavour With Long Lasting Taste,₹369,₹410,Tata Tea Chakra Gold,500 g 
68,"Green Tea - Lemon & Honey, Rich In Antioxidants",₹437.5,₹625,Tetley,140 g - (100 Bags x 1.4 g each)
69,Juice - Classic Apple,₹60,₹60,Appy,4x200 ml - Multipack
70,Natural Mineral Water,₹756,₹840,Himalayan,12x1 L - Multipack
71,"Fruit Juice - Delight, Apple",₹279,₹339,Tropicana,3x1 L - Multipack
72,Premium Coffee,₹185,₹370,LEVISTA,100 g - Can
73,"Coconut Water - Refreshing Flavour, Vital Electrolytes",₹600,₹600,Paper Boat,12x200 ml - Multipack
74,Coffee - Sunrise,₹830,₹920,Nescafe ,2x200 g - Multipack
75,"Junior - Health Drink, Vanilla - Specialized Nutrition For Kids",₹445,₹575,Horlicks,1 Kg 
76,Energy Drink,₹2650,₹3000,RED BULL ,250 ml - (Pack of 24)
77,Soft Drink - Lime & Lemon Flavoured,₹84,₹95,Limca ,2 L - PET Bottle
78,Darjeeling Tea,₹853.6,₹970,Lipton,500 g 
79,100% Orange Juice,₹435,₹435,Tropicana,3x1 L - Multipack
80,"Zesty Pomegranate Juice - Enriched With Vitamin D, No GMOs",₹120,₹120,Paperboat Swing,3x600 ml - Multipack
81,Probiotic Health Drink - Light,₹380,₹380,Yakult,4x65 ml - Multipack
82,Women'S Health & Nutrition Drink - Caramel Flavour,₹653.2,₹710,Horlicks,2x400 g - Multipack
83,"Fruit Juice - Delight, Mango",₹240,₹240,Tropicana,12x200 ml - Multipack
84,Soft Drink,₹67,₹75,Pepsi,1.5 L - Bottle
85,"Mixed Fruit - Rich In Fibre, Vitamin C & E, 100% Indian Fruit & 0% Concentrate",₹240.82,₹390,B Natural,1 L - (Pack of 3)
86,Lychee - Litchi Fruit Juice,₹240,₹240,Paper Boat,12x150 ml - Multipack
87,"Club Soda - Extra Power, Refreshing Drink",₹120,₹120,Bisleri ,6 x 750 ml - (Multipack)
88,100 % Apple Juice - With No Added Sugar and Preservative,₹272.96,₹420,Real Activ,3x1 L - Multipack
89,Original Taste Soft Drink - Refreshing,₹222,₹240,Coca Cola,6x300 ml - Multipack
90,Strong Coffee,₹55,₹110,LEVISTA,50 g - Pouch
91,Diabetes Care Specialized Nutrition Drink - Vanilla Delight Flavour,₹1515,₹1635,Ensure,1 kg - Box
92,Coconut Water/Nariyal Pani,₹721.68,₹840,Real Activ,24 x 200 ml - Multipack
93,Hommade Lemoneez - Goodness Of 33 Lemons,₹152.1,₹160,Dabur,2x250 ml - Multipack
94,"Fruit Juice - Delight, Guava",₹240,₹240,Tropicana,12x200 ml - Multipack
95,Hot Chocolate Drink Powder Mix,₹527.34,₹660,Cadbury,3 x 200 g - Multipack
96,"Nutrition & Health Drink - Improves Concentration & Memory, Chocolate Flavour",₹978.78,₹1218,Complan,2x1 Kg - Multipack
97,Women'S Health & Nutrition Drink - Chocolate Flavour,₹671.6,₹730,Horlicks,2x400 g - Multipack
98,Energy & Nutrition Drink - 3X More Stamina,₹489,₹599,Boost,500 g - (Pack of 2)
99,Health & Nutrition Drink - Classic Malt,₹648,₹698,Horlicks,2 x 450 g - Multipack
100,Activ Fiber + Multi Fruit Beverage - No Added Sugars & Preservative,₹210.11,₹320,Real,2 x 1 L - Multipack
101,Chocolate Syrup,₹541.2,₹660,Hersheys ,3x623 g - Multipack
102,Malgudi Filter Coffee - 60:40,₹112.8,₹120,Continental,200 g 
103,Dust Tea,₹140,₹140,Tata Tea Agni,500 g 
104,Fruit Juice - Mixed Fruit Delight,₹210,₹250,Tropicana,2x1 L - Multipack
105,Natural Mineral Water,₹36,₹40,Himalayan,500 ml - Bottle
106,"Special Blend Tea - 10% Extra Strong Leaves, Perfect Aroma & Taste",₹115,₹115,Tata Tea Agni,500 g - Pack
107,"Nutritional Drink Mix For Adults For Everyday Health With High Protein, To Increase Strength & Energy - Rich Chocolate",₹1085,₹1235,Protinex ,750 g - Carton
108,5 Star Magic Health Drink,₹742.34,₹824,Cadbury Bournvita,2x750 g - Multipack
109,100% Apple Juice,₹435,₹435,Tropicana,3x1 L - Multipack
110,Green Tea - Ginger Mint Lemon,₹392.7,₹510,Tetley,3x25 Teabags - Multipack
111,"Soda - Fizz, Jeera Masala",₹60,₹60,Bindu,1 L - Bottle
112,Green Tea - Long Leaf,₹621.6,₹740,Tetley,2x250 g - Multipack
113,"Coffee - Powder, Premium Blended",₹270,₹270,Cothas Coffee,500 g - Pouch
114,Filter Coffee With Chicory,₹340,₹340,LEVISTA,500 g - Pouch
115,Fruit Power - Coconut Water,₹179.93,₹340,Real,2 x 1 L - Multipack
116,100 % Mixed Fruit Juice - With No Added Sugar and Preservative,₹363.75,₹435,Real Activ,3x1 L - Multipack
117,Fruit Juice - Orange Drink,₹360,₹360,Paper Boat,3 x 1 L - Multipack
118,"Soft Drink - Orange Flavoured, Refreshing",₹84,₹95,Fanta,2 l - Pet Bottle
119,"Black Tea - Original, Classic Assam Blend, Staple-Free, Environment Friendly Bags",₹157.5,₹210,Tetley,200 g - (100 bags x 1.7 g each)
120,Fruit Juice - Guava Delight,₹190,₹230,Tropicana,2x1 L - Multipack
121,Green Tea  - Pure & Light,₹340,₹340,Lipton,2x25 pcs - Multipack
