,Sr.No.,Grocery_Name,Brand_Name,MRP_Price,Discount_Price,Total Disc,Percetage Disc,Quantity,strip_qua,Converted_Quantity,Numeric_Part
0,0,Premium Panchmewa Superfood Farmley Jar,Farmley,519.0,415.2,103.80000000000001,20.0,450 gm - Jar,450 gm ,450.0,450.0
1,1,Atta/Godihittu - Whole Wheat,Aashirvaad,294.0,226.92,67.08000000000001,22.82,5 kg ,5 kg ,5000.0,5000.0
2,2,Moong Chilka,AHAAR,167.0,158.65,8.349999999999994,5.0,500 g ,500 g ,500.0,500.0
3,3,Pure Ghee,Nandini,1300.0,1300.0,0.0,0.0,2 x 1 L - Multipack,2 x 1 L ,"(2.0, 'l')",2.0
4,4,"Sona Masoori Raw Rice/Akki - Super Premium, 12 + Months Old",BB Royal,1875.0,1638.0,237.0,12.64,25 kg - (18 + Months Old),25 kg ,25000.0,25000.0
5,5,Unpolished Toor Dal/Arhar Dal,Tata Sampann,1420.0,1249.6,170.4000000000001,12.0,5 kg ,5 kg ,5000.0,5000.0
6,6,Tur/Arhar Dal,AHAAR,162.0,153.9,8.099999999999994,5.0,500 g ,500 g ,500.0,500.0
7,7,Sona Masoori Raw Rice (12 + Months Old),BB Royal,1820.0,1612.0,208.0,11.43,26 kg - Bag,26 kg ,26000.0,26000.0
8,8,Refined Sunflower Oil,Sunpure ,390.0,354.78,35.22000000000003,9.03,3 x 1 L - Multipack,3 x 1 L ,"(3.0, 'l')",3.0
9,9,Chitra Rajma,AHAAR,133.0,119.7,13.299999999999997,10.0,500 g ,500 g ,500.0,500.0
10,10,Pooja Oil,Anandam,180.0,113.23,66.77,37.09,890 g ,890 g ,890.0,890.0
11,11,Sunlite Sunflower Refined Oil,Fortune ,375.0,330.0,45.0,12.0,3x910 g - Multipack,3x910 g ,"(2730.0, 'g')",2730.0
12,12,Ghee,GRB,850.0,740.0,110.0,12.94,2 x 500 ml - Multipack,2 x 500 ml ,"(1000.0, 'ml')",1000.0
13,13,Toor Dal/Togari Bele - Desi,BB Royal,250.0,207.0,43.0,17.2,1 kg - Pouch,1 kg ,1000.0,1000.0
14,14,Kabuli Chana,AHAAR,126.0,117.18,8.819999999999993,7.0,500 g ,500 g ,500.0,500.0
15,15,Cumin/Jeera/Jeerige - Whole,BB Royal,1200.0,743.0,457.0,38.08,1 kg ,1 kg ,1000.0,1000.0
16,16,Peanuts/Kadalekayi - Raw,BB Royal,230.0,179.0,51.0,22.17,1 kg - Pouch,1 kg ,1000.0,1000.0
17,17,Cashew/Godambi - Whole,BB Popular,1500.0,783.0,717.0,47.8,1 kg ,1 kg ,1000.0,1000.0
18,18,Urad Dal/Uddina Bele - Split,BB Popular,200.0,186.0,14.0,7.0,1 kg - Pouch,1 kg ,1000.0,1000.0
19,19,Sooji Ordinary/Bombay Rava,BB Royal,325.0,265.0,60.0,18.46,5x1 kg - Multipack,5x1 kg ,"(5.0, 'kg')",5.0
20,20,White Label Sugar,Parry's,300.0,235.75,64.25,21.42,5 Kg - Sulphur Free Process,5 Kg ,5000.0,5000.0
21,21,Salt/Uppu - Iodized,Tata Salt,55.0,55.0,0.0,0.0,2 kg ,2 kg ,2000.0,2000.0
22,22,"Sugar - Pure & Hygienic, Fine Grain, Natural, Sulphur Free",Madhur,65.0,52.04,12.96,19.94,1 kg ,1 kg ,1000.0,1000.0
23,23,Fried Gram/Huri Kadale,BB Royal,180.0,135.0,45.0,25.0,1 kg - Pouch,1 kg ,1000.0,1000.0
24,24,Select Atta/Godihittu,Aashirvaad,326.0,286.88,39.120000000000005,12.0,5 kg - Pouch,5 kg ,5000.0,5000.0
25,25,Toor/Arhar Dal 5 kg,BB Super Saver,1200.0,1038.0,162.0,13.5,5 kg ,5 kg ,5000.0,5000.0
26,26,Oil - Gingelly,Idhayam,503.0,495.0,8.0,1.59,1 L - Pouch,1 L ,1000.0,1000.0
27,27,Refined - Sunflower Oil,Dhara ,420.0,343.2,76.80000000000001,18.29,3x1 L - Multipack,3x1 L ,"(3.0, 'l')",3.0
28,28,Sugar,BB Popular,30.0,25.0,5.0,16.67,500 g ,500 g ,500.0,500.0
29,29,Peanuts/Kadalekayi - Raw,BB Popular,220.0,180.0,40.0,18.18,1 kg - Pouch,1 kg ,1000.0,1000.0
30,30,"Almond/Badam - Californian, Giri",BB Popular,1200.0,698.0,502.0,41.83,2x500 g - Multipack,2x500 g ,"(1000.0, 'g')",1000.0
31,31,Atta with Multigrains - High Fibre,Aashirvaad,670.0,562.8,107.20000000000005,16.0,10 kg ,10 kg ,10000.0,10000.0
