,Product name,MRP,Discount,Tag,PerUnitPrice,Brand Generated
0, Maaza Mango Drink 1.2 L , 75.00 ,57.00,None,None,Maaza
1, Biovitalia Organics Premium Saw Palmetto Capsules for Prostate Health & Urinary Tract Support - Natural Serenoa Repens Extract - 60 Vegan Capsules - Dietary Supplement , 1399.00 ,439.00, sponsored ,None,None
2, Thums Up 2.25 L , 99.00 ,77.00,None,None,Thums Up
3, Brooke Bond Red Label Strong Blend Tea 1 kg , 600.00 ,430.00,None,None,Red Label
4, Mirinda Orange 2.25 L , 90.00 ,65.00,None,None,Mirinda
5," Biovitalia Organics Watermelon Flavored Nutraceutical Apple Cider Vinegar Effervescent Tablets - Boost Metabolism, Manage Weight & Support Digestion - 15 Tablets ", 399.00 ,249.00, sponsored ,None,Boost
6, Thums Up 600 ml , 38.00 ,28.00,None,None,Thums Up
7, Kinley Soda 750 ml , 20.00 ,18.00,None,None,Kinley
8, Sprite 600 ml , 38.00 ,32.00,None,None,Sprite
9, 7Up 750 ml , 40.00 ,37.00,None,None,None
10, Monster Energy Drink 350 ml , 125.00 ,84.00,None,None,Monster
11," Biovitalia Organics Ashwagandha Capsules - Stress Management, Mood Enhancement, Sleep Support - 60 Veg Caps, ISO Certified| WHO GMP Animal Cruelty-Free| 100% Vegan Gelatin Free| USDA I HACCP ", 949.00 ,449.00, sponsored ,None,None
12, Mirinda Orange 750 ml , 40.00 ,37.00,None,None,Mirinda
13, Tata Agni Strong Leaf Tea 1 kg , 230.00 ,195.00,None,None,Tata
14, Taj Mahal Tea 1 kg , 880.00 ,780.00,None,None,Taj Mahal
15, B Natural Mixed Fruit Juice 1 L , 130.00 ,65.00,None,None,B Natural
16, Pepsi 2.25 L , 85.00 ,47.00,None,None,Pepsi
17," MAHARASTRA CHAHA WITH ""CUP"" - Special Chai (Pack 2) 1 Kg Each Jar 500gm ", 750.00 ,262.00, sponsored ,None,None
18," Nikunj Real Elaichi Tea, 1kg ", 300.00 ,189.00,None,None,Real
19, 7Up 2.25 L , 90.00 ,70.00,None,None,None
20, Tata Agni Tea 250 g , 50.00 ,44.00,None,None,Tata
21, Tata Tea Premium Desh Ki Chai 1 kg , 570.00 ,400.00,None,None,Tata Tea Premium
22, Brooke Bond Taj Mahal Tea 500 g , 450.00 ,364.00,None,None,Taj Mahal
23, Biovitalia Organics Premium Milk Thistle Capsules for Liver Health & Antioxidant Support - Silybum Marianum Extract - 60 Vegan Capsules - Dietary Supplement , 950.00 ,490.00, sponsored ,None,None
24, Coca Cola 2.25 L , 99.00 ,69.00,None,None,Coca Cola
25, Tata Gold Leaf Tea 500 g , 300.00 ,235.00,None,None,Tata
26," Nikunj Dhaba Special Leaf Tea, 1 kg ", 275.00 ,169.00,None,None,None
27, Bournvita 1 kg , 432.00 ,332.00,None,None,None
28, Storia Tender Coconut Water 1 L , 170.00 ,85.00,None,None,Storia
29," MAHARASTRA CHAHA WITH ""CUP"" - Special Rich and Flavourful Chai 500 gm ", 560.00 ,167.00, sponsored ,None,None
30, Brooke Bond Taaza Leaf Tea 1 kg , 230.00 ,194.00,None,None,None
31, Tropicano Slice Mango Drink 1.75 L , 105.00 ,79.00,None,None,None
32," Nikunj Assam Tea, 1kg ", 220.00 ,165.00,None,None,None
33, Horlicks Classic Malt 750 g , 449.00 ,329.00,None,None,Horlicks
34, Society Tea 1 kg , 570.00 ,480.00,None,None,None
35, Biovitalia Organics Premium Moringa Capsules - Nutrient-Rich Superfood with Protein & Vitamins - Moringa Oleifera Extract - 60 Vegan Capsules| ISO Certified| WHO GMP Animal Cruelty-Free| Gelatin Free , 390.00 ,349.00, sponsored ,None,None
36, B Natural Guava Juice 1 L , 130.00 ,65.00,None,None,B Natural
37, Bournvita 750 g , 370.00 ,262.00,None,None,None
38, Wagh Bakri Premium Leaf Tea 500 g , 290.00 ,239.00,None,None,Wagh Bakri
39, B Natural Litchi Juice 1 L , 130.00 ,65.00,None,None,B Natural
40, Tata Gold Leaf Tea 1 kg , 600.00 ,445.00,None,None,Tata
41," Biovitalia Organics Spirulina Capsules - Enhance Endurance & Energy, Rich in B Vitamins - 60 Veg Caps, ISO Certified| WHO GMP Animal Cruelty-Free| 100% Vegan Gelatin Free| USDA I HACCP ", 990.00 ,439.00, sponsored ,None,None
42, Brooke Bond Red Label Natural Care Tea 500 g , 335.00 ,295.00,None,None,Red Label
43, Real Fruit Power Apple Juice 1 L , 115.00 ,60.00,None,None,Real
44," Nikunj Dhaba Special Leaf Tea, 1.5 kg Budget Pack ", 400.00 ,249.00,None,None,None
45, Sprite 250 ml , 20.00 ,18.00,None,None,Sprite
46," MAHARASTRA CHAHA WITH ""CUP"" - LEAF Tea -500Gm ", 560.00 ,167.00, sponsored ,None,None
47, Red Label Natural Care Tea 1 kg , 650.00 ,495.00,None,None,Red Label
48, Coca Cola 600 ml , 38.00 ,32.00,None,None,Coca Cola
49, B Natural Orange Juice 1 L , 130.00 ,65.00,None,None,B Natural
50, Pepsi 250 ml , 35.00 ,31.00,None,None,Pepsi
51, Thums Up 300 ml , 40.00 ,34.00,None,None,Thums Up
52," Biovitalia Organics Premium Multivitamin for Women Capsules - Comprehensive Nutritional Support with Shatavari, Ashwagandha, Wheatgrass & More - 60 Vegan Capsules ", 749.00 ,439.00, sponsored ,None,None
53, Dabur Chyawanprash 3x Immunity With Awaleha 950 g , 395.00 ,335.00,None,None,Dabur
54, Horlicks Chocolate Delight 750 g , 375.00 ,255.00,None,None,Horlicks
55, Brooke Bond Red Label Leaf Tea 500 g , 300.00 ,265.00,None,None,Red Label
56, Bournvita 75 g , 30.00 ,27.00,None,None,None
57, Real Fruit Power Mixed Fruit Juice 1 L , 128.00 ,93.00,None,None,Real
58, Pepsi Black 250 ml , 35.00 ,31.00,None,None,Pepsi
59, Nescafe Classic Instant Coffee 45 g , 170.00 ,141.00,None,None,Nescafe
60, Nescafe Classic Instant Coffee 90 g , 350.00 ,287.00,None,None,Nescafe
