,Product name,MRP,Discount,Tag,PerUnitPrice
0, Maggi 2-Minute Masala Noodles 70 g , 14.00 ,13.00,None,None
1, Pintola All Natural Crunchy Peanut Butter 1kg , 449.00 ,408.00, sponsored ,None
2, Kissan Fresh Tomato Ketchup 1.1 kg , 150.00 ,94.00,None,None
3, Maggi 2-Minute Masala Instant Noodles 560 g , 112.00 ,87.00,None,None
4, Bikaji Premium Rasgulla 1 kg , 289.00 ,144.00,None,None
5, Pintola HIGH Protein Peanut Butter (Dark Chocolate) (Crunchy) 510g , 399.00 ,349.00, sponsored ,None
6, Sunfeast Dark Fantasy Original Choco Filled Cookie 300 g , 170.00 ,99.00,None,None
7, Parle-G Gold Biscuits 1 kg , 140.00 ,105.00,None,None
8, Britannia Jimjam Sandwich Biscuits 138 g , 35.00 ,24.00,None,None
9, Britannia NutriChoice Hi-Fibre Digestive Biscuits 1 kg , 179.00 ,159.00,None,None
10, Shree Misthan Kaju Katli 400g (200g X 2) , 520.00 ,369.00,None,None
11, Pintola All Natural HIGH Protein Peanut Butter (Crunchy) 510g , 425.00 ,385.00, sponsored ,None
12, Sunfeast Dark Fantasy Choco Fills Cookies 75 g , 40.00 ,30.00,None,None
13, Sunfeast Dark Fantasy Bourbon Biscuits 120 g , 35.00 ,17.00,None,None
14, Maggi 2-Minute Masala Instant Noodles 420 g , 84.00 ,68.00,None,None
15, Parle Hide & Seek Chocolate Chip Cookies 100 g , 30.00 ,25.00,None,None
16, Maggi Nutri-licious Masala Veg Atta Noodles 290 g , 112.00 ,74.00,None,None
17, Pintola HIGH Protein Peanut Butter (Dark Chocolate) (Creamy) 510g , 399.00 ,349.00, sponsored ,None
18, Sunfeast Dark Fantasy Choco Creme Biscuits 100 g , 35.00 ,17.00,None,None
19, Lotte Choco Pie 28 g (12 pcs) , 170.00 ,99.00,None,None
20, Parle-G Original Glucose Biscuits 800 g , 100.00 ,84.00,None,None
21, Britannia Bourbon The Original Cream Biscuits 150 g , 40.00 ,30.00,None,None
22, Sunfeast Dark Fantasy Vanilla Creme Biscuits 100 g , 35.00 ,17.00,None,None
23, Pintola Choco Spread Crunchy Peanut Butter 1kg , 499.00 ,449.00, sponsored ,None
24, Lay's American Style Cream & Onion Potato Chips 90 g , 50.00 ,33.00,None,None
25, Bambino Soan Papdi Badam Flavour Each 200 Gms X Pack of 2 (400 Gms) , 180.00 ,139.00,None,None
26, Bikaji Bikaneri Bhujia 1 kg , 350.00 ,250.00,None,None
