,Product name,MRP,Discount,Tag,PerUnitPrice
0, Priya Fortified With Vitamin A & D Refined Sunflower Oil 1 L , 162.00 ,99.00,None,None
1, Happilo Premium Dried Blueberry Cranberry Duet 200 g , 380.00 ,325.00, sponsored ,None
2, Super Sarvottam Physically Refined Rice Bran Oil 1 L , 199.00 ,99.00,None,None
3, Fortune Sunlite Refined Sunflower Oil 1 L , 140.00 ,114.00,None,None
4, Tata Iodised Salt 1 kg , 28.00 ,24.00,None,None
5, Happilo 1kg Popular Almond California , 1250.00 ,799.00, sponsored ,None
6, Fortune Premium Kachi Ghani Pure Mustard Oil 1 L , 185.00 ,146.00,None,None
7, Good Life Refined Sunflower Oil 1 L , 150.00 ,97.00,None,None
8, Tur / Arhar Dal 2 kg , 450.00 ,355.00,None,None
9, Chakki Atta 10 kg , 425.00 ,359.00,None,( 35.90/1 kg)
10, Good Life Pure Crystal Sugar (M) 5 kg , 275.00 ,229.00,None,None
11, Nutri Binge 1kg Whole Cashews , 1498.00 ,739.00, sponsored ,None
12, Good Life Almonds 500 g , 549.00 ,349.00,None,None
13, Brill 1Kg Premium Whole Cashews (500g x 2pack) ," 1,840.00 ",735.00,None,None
14, Gemini Refined Sunflower Oil 1 L , 179.00 ,115.00,None,None
15, Nutri Binge 500g California Almonds Vitals , 660.00 ,369.00,None,None
16, Good Life (W320) Cashews 500 g , 499.00 ,399.00,None,None
17, ORGANIC GREEN MOONG DAL 1KG , 250.00 ,188.00, sponsored ,None
18, Amul Pure Ghee 1 L (Pouch) , 635.00 ,585.00,None,None
19, DAIRY SAGAR GOPAL Pure Desi Cow Ghee Pure Cow Ghee for Better Digestion and Immunity 1 ltr jar-1 , 680.00 ,399.00,None,None
20, Suji / Rawa 1 kg , 106.00 ,45.00,None,None
21, Aashirvaad Superior MP Whole Wheat Atta 10 kg , 551.00 ,468.00,None,( 46.80/1 kg)
22, Good Life Jeera 100 g , 150.00 ,89.00,None,( 44.50/50 g)
23," VEEDINT RED CHILLI POWDER, TIKHA LAL, 500 GRAM PACK ", 495.00 ,220.00, sponsored ,None
24, Good Life Raw Peanuts 500 g , 120.00 ,97.00,None,None
25, Nutri Binge 500g Whole Cashews , 749.00 ,379.00,None,None
26, Coreganic 1kg 100% Natural International Premium Whole Cashews ," 1,799.00 ",719.00,None,None
27, Good Life Yellow Kishmish 500 g , 183.00 ,129.00,None,None
28, Nutri Binge 1kg Vitals California Almonds ," 1,320.00 ",699.00,None,None
29, Ziofit 500g Popular Almonds California , 625.00 ,434.00, sponsored ,None
30, Good Life Sugar (M) 1 kg , 55.00 ,50.00,None,None
31, Suji / Rawa 500 g , 53.00 ,25.00,None,None
32, Dhara Kachi Ghani Mustard Oil 1 L (Pouch) , 160.00 ,150.00,None,None
33, Good Life Refined Soyabean Oil 1 L , 150.00 ,105.00,None,None
34, Fortune Rice Bran Health Physically Refined Rice Bran Oil 5 L , 849.00 ,629.00,None,( 125.80/1 l)
35, Nutri Binge 500g Pistachios Vitals California , 900.00 ,549.00, sponsored ,None
36, Nutri Binge 500g Premium California Almonds , 670.00 ,429.00,None,None
37," Horaira Nutz Dry Fruits Combo Pack 1Kg Cashews 250g , Figs 250g , Raisins 250g , Almond 250g "," 1,900.00 ",720.00,None,None
38, Gowardhan Pure Cow Ghee 1 L (Pouch) , 725.00 ,635.00,None,None
39, Maida 1 kg , 106.00 ,42.00,None,None
40, Good Life Kachi Ghani Mustard Oil 1 L (Bottle) , 175.00 ,126.00,None,None
41, Nutri Binge 200g California Pistachios , 385.00 ,290.00, sponsored ,None
42, Good Life Free Flow Iodised Salt 1 kg , 28.00 ,15.00,None,None
43, Good Life Jeera 500 g , 740.00 ,359.00,None,( 35.90/50 g)
