Unnamed: 0,Product name,MRP,Selling Price,Tag,PerUnitPrice,Brand,Quantity,Unit,Pack of,Conversion,Platform,Discount,Discount Percentage,Price Per Unit(Kg/L)
0, Maaza Mango Drink 1.2 L ,75.0,57.0,,,MAAZA,1.2,l,1,Success,JoiMart,18.0,24.0,47.5
1, Biovitalia Organics Premium Milk Thistle Capsules for Liver Health & Antioxidant Support - Silybum Marianum Extract - 60 Vegan Capsules - Dietary Supplement ,950.0,490.0, sponsored ,,BIOVITALIA ORGANICS,,none,1,Failed,JoiMart,460.0,48.42,
2, Maaza Mango Drink 600 ml ,42.0,32.0,,,MAAZA,600.0,ml,1,Success,JoiMart,10.0,23.81,53.33
3, Thums Up 2.25 L ,99.0,77.0,,,THUMS UP,2.25,l,1,Success,JoiMart,22.0,22.22,34.22
4, Sprite 2.25 L ,99.0,74.0,,,SPRITE,2.25,l,1,Success,JoiMart,25.0,25.25,32.89
5, Brooke Bond Red Label Strong Blend Tea 1 kg ,600.0,430.0,,,RED LABEL,1.0,kg,1,Success,JoiMart,170.0,28.33,430.0
6, Mirinda Orange 2.25 L ,90.0,65.0,,,MIRINDA,2.25,l,1,Success,JoiMart,25.0,27.78,28.89
7, Thums Up 600 ml ,38.0,28.0,,,THUMS UP,600.0,ml,1,Success,JoiMart,10.0,26.32,46.67
8, Kinley Soda 750 ml ,20.0,18.0,,,KINLEY,750.0,ml,1,Success,JoiMart,2.0,10.0,24.0
9, Red Bull Energy Drink 250 ml (4 pcs)  ,480.0,380.0,,,RED BULL,250.0,ml,1,Success,JoiMart,100.0,20.83,1520.0
10," Biovitalia Organics Premium Biotin Capsules for Hair, Skin & Nails - Supports Growth, Hormonal Balance & Healthy Glow - Expertly Crafted Formula - 60 Veg Capsules ",990.0,390.0, sponsored ,,BIOVITALIA ORGANICS,,none,1,Failed,JoiMart,600.0,60.61,
11, Sprite 600 ml ,38.0,32.0,,,SPRITE,600.0,ml,1,Success,JoiMart,6.0,15.79,53.33
12, 7Up 750 ml ,40.0,37.0,,,7 UP,750.0,ml,1,Success,JoiMart,3.0,7.5,49.33
13, Monster Energy Drink 350 ml ,125.0,84.0,,,MONSTER,350.0,ml,1,Success,JoiMart,41.0,32.8,240.0
14, Mirinda Orange 750 ml ,40.0,37.0,,,MIRINDA,750.0,ml,1,Success,JoiMart,3.0,7.5,49.33
15, Tata Agni Strong Leaf Tea 1 kg ,230.0,195.0,,,TATA AGNI,1.0,kg,1,Success,JoiMart,35.0,15.22,195.0
16," Biovitalia Organics Ashwagandha Capsules - Stress Management, Mood Enhancement, Sleep Support - 60 Veg Caps, ISO Certified| WHO GMP Animal Cruelty-Free| 100% Vegan Gelatin Free| USDA I HACCP ",949.0,549.0, sponsored ,,BIOVITALIA ORGANICS,,none,1,Failed,JoiMart,400.0,42.15,
17, Wagh Bakri Premium Leaf Tea 1 kg ,570.0,480.0,,,WAGH BAKRI,1.0,kg,1,Success,JoiMart,90.0,15.79,480.0
18," Nikunj Real Elaichi Tea, 1kg ",300.0,189.0,,,NIKUNJ,1.0,kg,1,Success,JoiMart,111.0,37.0,189.0
19, Taj Mahal Tea 1 kg ,880.0,780.0,,,TAJ MAHAL,1.0,kg,1,Success,JoiMart,100.0,11.36,780.0
20, B Natural Mixed Fruit Juice 1 L ,130.0,65.0,,,B NATURAL,1.0,l,1,Success,JoiMart,65.0,50.0,65.0
21, Pepsi 2.25 L ,85.0,47.0,,,PEPSI,2.25,l,1,Success,JoiMart,38.0,44.71,20.89
22, Biovitalia Organics Premium Saw Palmetto Capsules for Prostate Health & Urinary Tract Support - Natural Serenoa Repens Extract - 60 Vegan Capsules - Dietary Supplement ,1399.0,559.0, sponsored ,,BIOVITALIA ORGANICS,,none,1,Failed,JoiMart,840.0,60.04,
23, Tata Agni Tea 250 g ,50.0,44.0,,,TATA AGNI,250.0,g,1,Success,JoiMart,6.0,12.0,176.0
24, Frooti Mango Drink 2 L ,120.0,89.0,,,FROOTI,2.0,l,1,Success,JoiMart,31.0,25.83,44.5
25, Brooke Bond Taj Mahal Tea 500 g ,450.0,364.0,,,TAJ MAHAL,500.0,g,1,Success,JoiMart,86.0,19.11,728.0
26, 7Up 2.25 L ,90.0,70.0,,,7 UP,2.25,l,1,Success,JoiMart,20.0,22.22,31.11
27, Tata Tea Premium Desh Ki Chai 1 kg ,570.0,400.0,,,TATA TEA PREMIUM,1.0,kg,1,Success,JoiMart,170.0,29.82,400.0
28," Biovitalia Organics Premium Multivitamin for Women Capsules - Comprehensive Nutritional Support with Shatavari, Ashwagandha, Wheatgrass & More - 60 Vegan Capsules ",749.0,439.0, sponsored ,,BIOVITALIA ORGANICS,,none,1,Failed,JoiMart,310.0,41.39,
29, Fanta Orange 2.25 L ,99.0,69.0,,,FANTA,2.25,l,1,Success,JoiMart,30.0,30.3,30.67
30, Tata Gold Leaf Tea 500 g ,300.0,235.0,,,TATA TEA GOLD,500.0,g,1,Success,JoiMart,65.0,21.67,470.0
31, Bournvita 1 kg ,432.0,332.0,,,BOURNVITA,1.0,kg,1,Success,JoiMart,100.0,23.15,332.0
32, Maaza Refresh Mango Drink 135 ml (10 pcs) ,100.0,79.0,,,MAAZA,135.0,ml,1,Success,JoiMart,21.0,21.0,585.19
33, Thums Up 250 ml (8 pcs) ,160.0,135.0,,,THUMS UP,250.0,ml,1,Success,JoiMart,25.0,15.62,540.0
34," Biovitalia Organics Spirulina Capsules - Enhance Endurance & Energy, Rich in B Vitamins - 60 Veg Caps, ISO Certified| WHO GMP Animal Cruelty-Free| 100% Vegan Gelatin Free| USDA I HACCP ",990.0,439.0, sponsored ,,BIOVITALIA ORGANICS,,none,1,Failed,JoiMart,551.0,55.66,
35," Nikunj Dhaba Special Leaf Tea, 1 kg ",275.0,169.0,,,NIKUNJ,1.0,kg,1,Success,JoiMart,106.0,38.55,169.0
36, Brooke Bond Taaza Leaf Tea 1 kg ,230.0,194.0,,,TAAZA,1.0,kg,1,Success,JoiMart,36.0,15.65,194.0
37, Storia Tender Coconut Water 1 L ,170.0,85.0,,,STORIA,1.0,l,1,Success,JoiMart,85.0,50.0,85.0
38, Horlicks Classic Malt 750 g ,449.0,329.0,,,HORLICKS,750.0,g,1,Success,JoiMart,120.0,26.73,438.67
39," Nikunj Assam Tea, 1kg ",220.0,165.0,,,NIKUNJ,1.0,kg,1,Success,JoiMart,55.0,25.0,165.0
