,Product name,MRP,Selling Price,Tag,PerUnitPrice,Brand,Quantity,Unit,Pack of,Conversion,Platform
0, Maaza Mango Drink 1.2 L , 75.00 ,57.00,None,None,MAAZA,1.2,l,1,Success,JoiMart
1, Biovitalia Organics Premium Milk Thistle Capsules for Liver Health & Antioxidant Support - Silybum Marianum Extract - 60 Vegan Capsules - Dietary Supplement , 950.00 ,490.00, sponsored ,None,BIOVITALIA ORGANICS,,none,1,Failed,JoiMart
2, Maaza Mango Drink 600 ml , 42.00 ,32.00,None,None,MAAZA,600,ml,1,Success,JoiMart
3, Thums Up 2.25 L , 99.00 ,77.00,None,None,THUMS UP,2.25,l,1,Success,JoiMart
4, Sprite 2.25 L , 99.00 ,74.00,None,None,SPRITE,2.25,l,1,Success,JoiMart
5, Brooke Bond Red Label Strong Blend Tea 1 kg , 600.00 ,430.00,None,None,RED LABEL,1,kg,1,Success,JoiMart
6, Mirinda Orange 2.25 L , 90.00 ,65.00,None,None,MIRINDA,2.25,l,1,Success,JoiMart
7, Thums Up 600 ml , 38.00 ,28.00,None,None,THUMS UP,600,ml,1,Success,JoiMart
8, Kinley Soda 750 ml , 20.00 ,18.00,None,None,KINLEY,750,ml,1,Success,JoiMart
9, Red Bull Energy Drink 250 ml (4 pcs)  , 480.00 ,380.00,None,None,RED BULL,250,ml,1,Success,JoiMart
10," Biovitalia Organics Premium Biotin Capsules for Hair, Skin & Nails - Supports Growth, Hormonal Balance & Healthy Glow - Expertly Crafted Formula - 60 Veg Capsules ", 990.00 ,390.00, sponsored ,None,BIOVITALIA ORGANICS,,none,1,Failed,JoiMart
11, Sprite 600 ml , 38.00 ,32.00,None,None,SPRITE,600,ml,1,Success,JoiMart
12, 7Up 750 ml , 40.00 ,37.00,None,None,7 UP,750,ml,1,Success,JoiMart
13, Monster Energy Drink 350 ml , 125.00 ,84.00,None,None,MONSTER,350,ml,1,Success,JoiMart
14, Mirinda Orange 750 ml , 40.00 ,37.00,None,None,MIRINDA,750,ml,1,Success,JoiMart
15, Tata Agni Strong Leaf Tea 1 kg , 230.00 ,195.00,None,None,TATA AGNI,1,kg,1,Success,JoiMart
16," Biovitalia Organics Ashwagandha Capsules - Stress Management, Mood Enhancement, Sleep Support - 60 Veg Caps, ISO Certified| WHO GMP Animal Cruelty-Free| 100% Vegan Gelatin Free| USDA I HACCP ", 949.00 ,549.00, sponsored ,None,BIOVITALIA ORGANICS,,none,1,Failed,JoiMart
17, Wagh Bakri Premium Leaf Tea 1 kg , 570.00 ,480.00,None,None,WAGH BAKRI,1,kg,1,Success,JoiMart
18," Nikunj Real Elaichi Tea, 1kg ", 300.00 ,189.00,None,None,NIKUNJ,1,kg,1,Success,JoiMart
19, Taj Mahal Tea 1 kg , 880.00 ,780.00,None,None,TAJ MAHAL,1,kg,1,Success,JoiMart
20, B Natural Mixed Fruit Juice 1 L , 130.00 ,65.00,None,None,B NATURAL,1,l,1,Success,JoiMart
21, Pepsi 2.25 L , 85.00 ,47.00,None,None,PEPSI,2.25,l,1,Success,JoiMart
22, Biovitalia Organics Premium Saw Palmetto Capsules for Prostate Health & Urinary Tract Support - Natural Serenoa Repens Extract - 60 Vegan Capsules - Dietary Supplement , 1399.00 ,559.00, sponsored ,None,BIOVITALIA ORGANICS,,none,1,Failed,JoiMart
23, Tata Agni Tea 250 g , 50.00 ,44.00,None,None,TATA AGNI,250,g,1,Success,JoiMart
24, Frooti Mango Drink 2 L , 120.00 ,89.00,None,None,FROOTI,2,l,1,Success,JoiMart
25, Brooke Bond Taj Mahal Tea 500 g , 450.00 ,364.00,None,None,TAJ MAHAL,500,g,1,Success,JoiMart
