Unnamed: 0,Product name,MRP,Selling Price,Tag,PerUnitPrice,Brand,Quantity,Unit,Is Pack of,Discount,Discount Percentage,Price Per Unit(Kg/L)
0, Priya Fortified With Vitamin A & D Refined Sunflower Oil 1 L ,162.0,99.0,,,PRIYA,1.0,l,False,63.0,38.89,99.0
1, ORGANIC GREEN MOONG DAL 1KG ,250.0,188.0, sponsored ,,HOUSE OF VEDA,1.0,kg,False,62.0,24.8,188.0
2, Super Sarvottam Physically Refined Rice Bran Oil 1 L ,199.0,102.0,,,SUPER SARVOTTAM,1.0,l,False,97.0,48.74,102.0
3, Fortune Sunlite Refined Sunflower Oil 1 L ,140.0,114.0,,,FORTUNE,1.0,l,False,26.0,18.57,114.0
4, Fortune Refined Soyabean Oil 1 L ,130.0,115.0,,,FORTUNE,1.0,l,False,15.0,11.54,115.0
5, House of Veda Organic Lobia (Cowpea White) 500g ,117.0,110.0, sponsored ,,HOUSE OF VEDA,500.0,g,False,7.0,5.98,220.0
6, Tata Iodised Salt 1 kg ,28.0,24.0,,,TATA,1.0,kg,False,4.0,14.29,24.0
7, Fortune Premium Kachi Ghani Pure Mustard Oil 1 L ,185.0,146.0,,,FORTUNE,1.0,l,False,39.0,21.08,146.0
8, Chakki Atta 10 kg ,425.0,359.0,,( 35.90/1 kg),PRIVATE LABEL,10.0,kg,False,66.0,15.53,35.9
9, Tur / Arhar Dal 2 kg ,450.0,355.0,,,PRIVATE LABEL,2.0,kg,False,95.0,21.11,177.5
10, Good Life Pure Crystal Sugar (M) 5 kg ,275.0,229.0,,,GOOD LIFE,5.0,kg,False,46.0,16.73,45.8
11, Nutri Binge 200g California Pistachios ,385.0,290.0, sponsored ,,NUTRI BINGE,200.0,g,False,95.0,24.68,1450.0
12, Good Life Almonds 500 g ,549.0,349.0,,,GOOD LIFE,500.0,g,False,200.0,36.43,698.0
13, Fortune Premium Kachi Ghani Pure Mustard Oil 1 L (Pouch) ,180.0,145.0,,,FORTUNE,1.0,l,False,35.0,19.44,145.0
14, Chakki Atta 5 kg ,250.0,185.0,,( 37.00/1 kg),PRIVATE LABEL,5.0,kg,False,65.0,26.0,37.0
15, Brill 1Kg Premium Whole Cashews (500g x 2pack) ,1840.0,735.0,,,BRILL,1.0,kg,False,1105.0,60.05,735.0
16, Gemini Refined Sunflower Oil 1 L ,179.0,115.0,,,GEMINI,1.0,l,False,64.0,35.75,115.0
17, SHREE KALPADRUMA ghee Natural A2 Desi Cow Ghee 5 LTR|Pure Cow Ghee for Better Digestion and Immunity|100% natural and premium quality ,4200.0,2310.0, sponsored ,,SHREE KALPADRUMA,2.0,desi,False,1890.0,45.0,
18, Nutri Binge 500g California Almonds Vitals ,660.0,369.0,,,NUTRI BINGE,500.0,g,False,291.0,44.09,738.0
19, Good Life (W320) Cashews 500 g ,499.0,399.0,,,GOOD LIFE,500.0,g,False,100.0,20.04,798.0
20, Amul Pure Ghee 1 L (Pouch) ,635.0,585.0,,,AMUL,1.0,l,False,50.0,7.87,585.0
21, DAIRY SAGAR GOPAL Pure Desi Cow Ghee Pure Cow Ghee for Better Digestion and Immunity 1 ltr jar-1 ,680.0,398.0,,,DAIRYSAGAR,1.0,ltr,False,282.0,41.47,398.0
22, Sugar (M) 2 kg ,100.0,90.0,,,LOOSE,2.0,kg,False,10.0,10.0,45.0
23," House of Veda Organic Tur (Arhar) Dal - 1kg Pack, Certified Organic | Rich in Protein & Iron | Zero Chemicals, Preservative Free ",275.0,261.0, sponsored ,,HOUSE OF VEDA,1.0,kg,False,14.0,5.09,261.0
24, Good Life Kachi Ghani Mustard Oil 1 L (Pouch) ,170.0,125.0,,,GOOD LIFE,1.0,l,False,45.0,26.47,125.0
25, Aashirvaad Superior MP Whole Wheat Atta 10 kg ,568.0,479.0,,( 47.90/1 kg),AASHIRVAAD,10.0,kg,False,89.0,15.67,47.9
26, Suji / Rawa 1 kg ,106.0,45.0,,,PRIVATE LABEL,1.0,kg,False,61.0,57.55,45.0
27, Good Life Jeera 100 g ,150.0,89.0,,( 44.50/50 g),GOOD LIFE,100.0,g,False,61.0,40.67,890.0
28, Good Life Raw Peanuts 500 g ,120.0,101.0,,,GOOD LIFE,500.0,g,False,19.0,15.83,202.0
29, House of Veda ORGANIC KABULI CHANA 1Kg ,290.0,203.0, sponsored ,,HOUSE OF VEDA,1.0,kg,False,87.0,30.0,203.0
30, Parry's White Label Sulphur Free Sugar 5 kg ,300.0,229.0,,,PARRY'S,5.0,kg,False,71.0,23.67,45.8
31, Nutri Binge 500g Whole Cashews ,749.0,379.0,,,NUTRI BINGE,500.0,g,False,370.0,49.4,758.0
32, Good Life Sugar (M) 1 kg ,55.0,50.0,,,GOOD LIFE,1.0,kg,False,5.0,9.09,50.0
33, Good Life Yellow Kishmish 500 g ,183.0,129.0,,,GOOD LIFE,500.0,g,False,54.0,29.51,258.0
34, Coreganic 1kg 100% Natural International Premium Whole Cashews ,1799.0,719.0,,,COREGANIC,1.0,kg,False,1080.0,60.03,719.0
35, SHREE KALPADRUMA ghee Natural A2 Desi Cow Ghee 1000ML|Pure Cow Ghee for Better Digestion and Immunity|100% natural and premium quality ,799.0,599.0, sponsored ,,SHREE KALPADRUMA,2.0,desi,False,200.0,25.03,
36, Suji / Rawa 500 g ,53.0,25.0,,,PRIVATE LABEL,500.0,g,False,28.0,52.83,50.0
37, Nutri Binge 1kg Vitals California Almonds ,1320.0,699.0,,,NUTRI BINGE,1.0,kg,False,621.0,47.05,699.0
38, Dhara Kachi Ghani Mustard Oil 1 L (Pouch) ,160.0,150.0,,,DHARA,1.0,l,False,10.0,6.25,150.0
39, Aashirvaad Iodized Salt 1 kg ,28.0,14.0,,,AASHIRVAAD,1.0,kg,False,14.0,50.0,14.0
40, Fortune Rice Bran Health Physically Refined Rice Bran Oil 5 L ,849.0,629.0,,( 125.80/1 l),FORTUNE,5.0,l,False,220.0,25.91,125.8
41," VEEDINT RED CHILLI POWDER, TIKHA LAL, 500 GRAM PACK ",495.0,220.0, sponsored ,,VEEDINT,500.0,gram,False,275.0,55.56,440.0
42," Horaira Nutz Dry Fruits Combo Pack 1Kg Cashews 250g , Figs 250g , Raisins 250g , Almond 250g ",1900.0,720.0,,,HORAIRA NUTZ,1.0,kg,False,1180.0,62.11,720.0
43, Aashirvaad Superior MP Whole Wheat Atta 5 kg ,294.0,245.0,,( 49.00/1 kg),AASHIRVAAD,5.0,kg,False,49.0,16.67,49.0
44, Gulab Sungold Refined Sunflower Oil 15 L (Tin) ,3563.0,1589.0,,( 105.93/1 l),GULAB,15.0,l,False,1974.0,55.4,105.93
45, Good Life Kachi Ghani Mustard Oil 1 L (Bottle) ,175.0,127.0,,,GOOD LIFE,1.0,l,False,48.0,27.43,127.0
