,Product name,MRP,Selling Price,Tag,PerUnitPrice,Brand
0, Maaza Mango Drink 1.2 L , 75.00 ,57.00,None,None,MAAZA
1, Biovitalia Organics Premium Milk Thistle Capsules for Liver Health & Antioxidant Support - Silybum Marianum Extract - 60 Vegan Capsules - Dietary Supplement , 950.00 ,490.00, sponsored ,None,BIOVITALIA ORGANICS
2, Maaza Mango Drink 600 ml , 42.00 ,32.00,None,None,MAAZA
3, Thums Up 2.25 L , 99.00 ,77.00,None,None,THUMS UP
4, Sprite 2.25 L , 99.00 ,74.00,None,None,SPRITE
5, Brooke Bond Red Label Strong Blend Tea 1 kg , 600.00 ,430.00,None,None,RED LABEL
6, Mirinda Orange 2.25 L , 90.00 ,65.00,None,None,MIRINDA
7, Thums Up 600 ml , 38.00 ,28.00,None,None,THUMS UP
8, Kinley Soda 750 ml , 20.00 ,18.00,None,None,KINLEY
9, Red Bull Energy Drink 250 ml (4 pcs)  , 480.00 ,380.00,None,None,RED BULL
10," Biovitalia Organics Premium Biotin Capsules for Hair, Skin & Nails - Supports Growth, Hormonal Balance & Healthy Glow - Expertly Crafted Formula - 60 Veg Capsules ", 990.00 ,390.00, sponsored ,None,BIOVITALIA ORGANICS
11, Sprite 600 ml , 38.00 ,32.00,None,None,SPRITE
12, 7Up 750 ml , 40.00 ,37.00,None,None,7 UP
13, Monster Energy Drink 350 ml , 125.00 ,84.00,None,None,MONSTER
14, Mirinda Orange 750 ml , 40.00 ,37.00,None,None,MIRINDA
15, Tata Agni Strong Leaf Tea 1 kg , 230.00 ,195.00,None,None,TATA AGNI
16," Biovitalia Organics Ashwagandha Capsules - Stress Management, Mood Enhancement, Sleep Support - 60 Veg Caps, ISO Certified| WHO GMP Animal Cruelty-Free| 100% Vegan Gelatin Free| USDA I HACCP ", 949.00 ,549.00, sponsored ,None,BIOVITALIA ORGANICS
17, Wagh Bakri Premium Leaf Tea 1 kg , 570.00 ,480.00,None,None,WAGH BAKRI
18," Nikunj Real Elaichi Tea, 1kg ", 300.00 ,189.00,None,None,NIKUNJ
19, Taj Mahal Tea 1 kg , 880.00 ,780.00,None,None,TAJ MAHAL
20, B Natural Mixed Fruit Juice 1 L , 130.00 ,65.00,None,None,B NATURAL
21, Pepsi 2.25 L , 85.00 ,47.00,None,None,PEPSI
22, Biovitalia Organics Premium Saw Palmetto Capsules for Prostate Health & Urinary Tract Support - Natural Serenoa Repens Extract - 60 Vegan Capsules - Dietary Supplement , 1399.00 ,559.00, sponsored ,None,BIOVITALIA ORGANICS
23, Tata Agni Tea 250 g , 50.00 ,44.00,None,None,TATA AGNI
24, Frooti Mango Drink 2 L , 120.00 ,89.00,None,None,FROOTI
25, Brooke Bond Taj Mahal Tea 500 g , 450.00 ,364.00,None,None,TAJ MAHAL
26, 7Up 2.25 L , 90.00 ,70.00,None,None,7 UP
27, Tata Tea Premium Desh Ki Chai 1 kg , 570.00 ,400.00,None,None,TATA TEA PREMIUM
28," Biovitalia Organics Premium Multivitamin for Women Capsules - Comprehensive Nutritional Support with Shatavari, Ashwagandha, Wheatgrass & More - 60 Vegan Capsules ", 749.00 ,439.00, sponsored ,None,BIOVITALIA ORGANICS
29, Fanta Orange 2.25 L , 99.00 ,69.00,None,None,FANTA
30, Tata Gold Leaf Tea 500 g , 300.00 ,235.00,None,None,TATA TEA GOLD
31, Bournvita 1 kg , 432.00 ,332.00,None,None,BOURNVITA
32, Maaza Refresh Mango Drink 135 ml (10 pcs) , 100.00 ,79.00,None,None,MAAZA
33, Thums Up 250 ml (8 pcs) , 160.00 ,135.00,None,None,THUMS UP
34," Biovitalia Organics Spirulina Capsules - Enhance Endurance & Energy, Rich in B Vitamins - 60 Veg Caps, ISO Certified| WHO GMP Animal Cruelty-Free| 100% Vegan Gelatin Free| USDA I HACCP ", 990.00 ,439.00, sponsored ,None,BIOVITALIA ORGANICS
35," Nikunj Dhaba Special Leaf Tea, 1 kg ", 275.00 ,169.00,None,None,NIKUNJ
36, Brooke Bond Taaza Leaf Tea 1 kg , 230.00 ,194.00,None,None,TAAZA
37, Storia Tender Coconut Water 1 L , 170.00 ,85.00,None,None,STORIA
38, Horlicks Classic Malt 750 g , 449.00 ,329.00,None,None,HORLICKS
39," Nikunj Assam Tea, 1kg ", 220.00 ,165.00,None,None,NIKUNJ
40," Biovitalia Organics Plant-Based Vitamin B12 Capsules - Support Nerve Function & Energy Metabolism - 60 Veg Caps, ISO Certified| WHO GMP Animal Cruelty-Free| 100% Vegan Gelatin Free| USDA I HACCP ", 749.00 ,439.00, sponsored ,None,BIOVITALIA ORGANICS
41, Tropicano Slice Mango Drink 1.75 L , 105.00 ,79.00,None,None,SLICE
42, Society Tea 1 kg , 570.00 ,480.00,None,None,SOCIETY
43, Brooke Bond Red Label Natural Care Tea 250 g , 160.00 ,140.00,None,None,RED LABEL
44, B Natural Guava Juice 1 L , 130.00 ,65.00,None,None,B NATURAL
45, Mountain Dew 750 ml , 40.00 ,29.00,None,None,MOUNTAIN DEW
46," Biovitalia Organics Watermelon Flavored Nutraceutical Apple Cider Vinegar Effervescent Tablets - Boost Metabolism, Manage Weight & Support Digestion - 15 Tablets ", 399.00 ,349.00, sponsored ,None,BIOVITALIA ORGANICS
47, Bournvita 750 g , 370.00 ,262.00,None,None,BOURNVITA
48, Wagh Bakri Premium Leaf Tea 500 g , 290.00 ,239.00,None,None,WAGH BAKRI
49, Wagh Bakri Premium Leaf Tea 250 g , 145.00 ,130.00,None,None,WAGH BAKRI
50, Brooke Bond Red Label Natural Care Tea 500 g , 335.00 ,295.00,None,None,RED LABEL
51, Tata Gold Leaf Tea 1 kg , 600.00 ,445.00,None,None,TATA TEA GOLD
52, Biovitalia Organics Premium Moringa Capsules - Nutrient-Rich Superfood with Protein & Vitamins - Moringa Oleifera Extract - 60 Vegan Capsules| ISO Certified| WHO GMP Animal Cruelty-Free| Gelatin Free , 390.00 ,349.00, sponsored ,None,BIOVITALIA ORGANICS
53, Paper Boat Coconut Water 200 ml , 50.00 ,33.00,None,None,PAPER BOAT
54, B Natural Litchi Juice 1 L , 130.00 ,65.00,None,None,B NATURAL
55, Red Label Natural Care Tea 1 kg , 650.00 ,499.00,None,None,RED LABEL
56, Coca Cola Original 250 ml (8 pcs) , 160.00 ,120.00,None,None,COCA COLA
57, Dabur Chyawanprash 3x Immunity With Awaleha 950 g , 395.00 ,335.00,None,None,DABUR
58, Sprite 250 ml , 20.00 ,18.00,None,None,SPRITE
59," Nikunj Dhaba Special Leaf Tea, 1.5 kg Budget Pack ", 400.00 ,249.00,None,None,NIKUNJ
60, Coca Cola 600 ml , 38.00 ,32.00,None,None,COCA COLA
61, Pepsi 250 ml , 35.00 ,31.00,None,None,PEPSI
62, B Natural Orange Juice 1 L , 130.00 ,65.00,None,None,B NATURAL
63, Thums Up 300 ml , 40.00 ,34.00,None,None,THUMS UP
64, Thums Up 250 ml , 20.00 ,18.00,None,None,THUMS UP
65, Horlicks Chocolate Delight 750 g , 375.00 ,255.00,None,None,HORLICKS
66, Appy Fizz 600 ml , 35.00 ,32.00,None,None,APPY
67, Brooke Bond Red Label Leaf Tea 500 g , 300.00 ,265.00,None,None,RED LABEL
68, Bournvita 75 g , 30.00 ,27.00,None,None,BOURNVITA
69, Red Label Leaf Tea 250 g (Carton) , 155.00 ,139.00,None,None,RED LABEL
70, Nescafe Classic Instant Coffee 90 g , 350.00 ,287.00,None,None,NESCAFE
71, Fanta Orange 600 ml , 38.00 ,32.00,None,None,FANTA
72, Nescafe Classic Instant Coffee 45 g , 170.00 ,141.00,None,None,NESCAFE
73, Real Fruit Power Mixed Fruit Juice 1 L , 128.00 ,93.00,None,None,REAL
74, Tata Agni Strong Leaf Tea 500 g , 115.00 ,100.00,None,None,TATA AGNI
75, Amul Pro Whey Protein Drink 500 g , 180.00 ,140.00,None,None,AMUL
76, Fanta Orange 300 ml , 40.00 ,26.00,None,None,FANTA
77, Wagh Bakri Navchetan Strong Leaf Tea 1 kg , 220.00 ,199.00,None,None,WAGH BAKRI
78, B Natural Mixed Fruit Juice 180 ml , 20.00 ,15.00,None,None,B NATURAL
79, Society Tea 500 g , 290.00 ,265.00,None,None,SOCIETY
80, Mountain Dew 250 ml , 35.00 ,29.00,None,None,MOUNTAIN DEW
81, Real Fruit Power Masala Pomegranate Juice 1 L , 140.00 ,70.00,None,None,REAL
82, Storia Pomegranate 100% Juice with No Added Sugar & Preservatives 750 ml , 170.00 ,85.00,None,None,STORIA
83, Society Tea 250 g , 145.00 ,134.00,None,None,SOCIETY
84, Brooke Bond Taaza Leaf Tea 250 g , 50.00 ,46.00,None,None,TAAZA
85, Taj Mahal Tea 100 g (Carton) , 95.00 ,88.00,None,None,TAJ MAHAL
86, Limca 250 ml , 20.00 ,18.00,None,None,LIMCA
87, Bournvita 500 g , 233.00 ,173.00,None,None,BOURNVITA
88, Tropicana Slice Mango Drink 600 ml , 35.00 ,32.00,None,None,SLICE
89, BRU Instant Coffee 100 g , 300.00 ,260.00,None,None,BRU
90, Dabur Chyawanprash Awaleha 250 g , 116.00 ,96.00,None,None,DABUR
91, Horlicks Classic Malt 1 kg , 574.00 ,516.00,None,None,HORLICKS
