,Product name,MRP,Selling Price,Tag,PerUnitPrice,Brand
0, Maggi 2-Minute Masala Noodles 70 g , 14.00 ,13.00,None,None,MAGGI
1, Pintola HIGH Protein Peanut Butter (Dark Chocolate) (Creamy) 510g , 399.00 ,349.00, sponsored ,None,PINTOLA
2, Kissan Fresh Tomato Ketchup 1.1 kg , 150.00 ,94.00,None,None,KISSAN
3, Maggi 2-Minute Masala Instant Noodles 560 g , 112.00 ,87.00,None,None,MAGGI
4, Bikaji Premium Rasgulla 1 kg , 289.00 ,144.00,None,None,BIKAJI
5, Alpino Natural Peanut Butter Crunch 1 KG , 449.00 ,350.00, sponsored ,None,ALPINO
6, Sunfeast Dark Fantasy Original Choco Filled Cookie 300 g , 170.00 ,99.00,None,None,SUNFEAST
7, Parle-G Gold Biscuits 1 kg , 140.00 ,105.00,None,None,PARLE
8, Britannia Jimjam Sandwich Biscuits 138 g , 35.00 ,24.00,None,None,BRITANNIA
9, Britannia NutriChoice Hi-Fibre Digestive Biscuits 1 kg , 179.00 ,155.00,None,None,BRITANNIA
10, Shree Misthan Kaju Katli 400g (200g X 2) , 520.00 ,369.00,None,None,SHREE MISTHAN
11, Pintola Choco Spread Crunchy Peanut Butter 1kg , 499.00 ,449.00, sponsored ,None,PINTOLA
12, Sunfeast Dark Fantasy Choco Fills Cookies 75 g , 40.00 ,30.00,None,None,SUNFEAST
13, Munch 18 Yummy Treats 160.2 g , 100.00 ,66.00,None,None,MUNCH
14, Sunfeast Dark Fantasy Bourbon Biscuits 120 g , 35.00 ,17.00,None,None,SUNFEAST DARK FANTASY
15, Maggi 2-Minute Masala Instant Noodles 420 g , 84.00 ,68.00,None,None,MAGGI
16, Parle Hide & Seek Chocolate Chip Cookies 100 g , 30.00 ,25.00,None,None,PARLE
17, LuvIt Dairy Rich Roasted Almond Chocolates Bar| Delicious| Rich| Smooth| Pack of 12- 39gm Each , 600.00 ,495.00, sponsored ,None,LUVIT
18, Maggi Nutri-licious Masala Veg Atta Noodles 290 g , 112.00 ,74.00,None,None,MAGGI
19, Lotte Choco Pie 28 g (12 pcs) , 170.00 ,99.00,None,None,LOTTE
20, Sunfeast Dark Fantasy Choco Creme Biscuits 100 g , 35.00 ,17.00,None,None,SUNFEAST
