,Product name,MRP,Selling Price,Tag,PerUnitPrice,Brand
0, Priya Fortified With Vitamin A & D Refined Sunflower Oil 1 L ,162,99,None,None,PRIYA
1, ORGANIC GREEN MOONG DAL 1KG ,250,188, sponsored ,None,HOUSE OF VEDA
2, Super Sarvottam Physically Refined Rice Bran Oil 1 L ,199,102,None,None,SUPER SARVOTTAM
3, Fortune Sunlite Refined Sunflower Oil 1 L ,140,114,None,None,FORTUNE
4, Fortune Refined Soyabean Oil 1 L ,130,115,None,None,FORTUNE
5, House of Veda Organic Lobia (Cowpea White) 500g ,117,110, sponsored ,None,HOUSE OF VEDA
6, Tata Iodised Salt 1 kg ,28,24,None,None,TATA
7, Fortune Premium Kachi Ghani Pure Mustard Oil 1 L ,185,146,None,None,FORTUNE
8, Chakki Atta 10 kg ,425,359,None,( 35.90/1 kg),PRIVATE LABEL
9, Tur / Arhar Dal 2 kg ,450,355,None,None,PRIVATE LABEL
10, Good Life Pure Crystal Sugar (M) 5 kg ,275,229,None,None,GOOD LIFE
11, Nutri Binge 200g California Pistachios ,385,290, sponsored ,None,NUTRI BINGE
12, Good Life Almonds 500 g ,549,349,None,None,GOOD LIFE
13, Fortune Premium Kachi Ghani Pure Mustard Oil 1 L (Pouch) ,180,145,None,None,FORTUNE
14, Chakki Atta 5 kg ,250,185,None,( 37.00/1 kg),PRIVATE LABEL
15, Brill 1Kg Premium Whole Cashews (500g x 2pack) ,"1,840.00",735,None,None,BRILL
16, Gemini Refined Sunflower Oil 1 L ,179,115,None,None,GEMINI
17, SHREE KALPADRUMA ghee Natural A2 Desi Cow Ghee 5 LTR|Pure Cow Ghee for Better Digestion and Immunity|100% natural and premium quality ,4200,2310, sponsored ,None,SHREE KALPADRUMA
18, Nutri Binge 500g California Almonds Vitals ,660,369,None,None,NUTRI BINGE
19, Good Life (W320) Cashews 500 g ,499,399,None,None,GOOD LIFE
20, Amul Pure Ghee 1 L (Pouch) ,635,585,None,None,AMUL
21, DAIRY SAGAR GOPAL Pure Desi Cow Ghee Pure Cow Ghee for Better Digestion and Immunity 1 ltr jar-1 ,680,398,None,None,DAIRYSAGAR
22, Sugar (M) 2 kg ,100,90,None,None,LOOSE
23," House of Veda Organic Tur (Arhar) Dal - 1kg Pack, Certified Organic | Rich in Protein & Iron | Zero Chemicals, Preservative Free ",275,261, sponsored ,None,HOUSE OF VEDA
24, Good Life Kachi Ghani Mustard Oil 1 L (Pouch) ,170,125,None,None,GOOD LIFE
25, Aashirvaad Superior MP Whole Wheat Atta 10 kg ,568,479,None,( 47.90/1 kg),AASHIRVAAD
26, Suji / Rawa 1 kg ,106,45,None,None,PRIVATE LABEL
