Unnamed: 0,Product name,MRP,Selling Price,Tag,PerUnitPrice,Brand,Quantity,Unit,Pack of,Discount,Discount Percentage,Price Per Unit(Kg/L)
0, Maggi 2-Minute Masala Noodles 70 g ,14.0,13.0,,,MAGGI,70.0,g,1,1.0,7.14,185.71
1, Pintola HIGH Protein Peanut Butter (Dark Chocolate) (Creamy) 510g ,399.0,349.0, sponsored ,,PINTOLA,510.0,g,1,50.0,12.53,684.31
2, Kissan Fresh Tomato Ketchup 1.1 kg ,150.0,94.0,,,KISSAN,1.1,kg,1,56.0,37.33,85.45
3, Maggi 2-Minute Masala Instant Noodles 560 g ,112.0,87.0,,,MAGGI,560.0,g,1,25.0,22.32,155.36
4, Bikaji Premium Rasgulla 1 kg ,289.0,144.0,,,BIKAJI,1.0,kg,1,145.0,50.17,144.0
5, Alpino Natural Peanut Butter Crunch 1 KG ,449.0,350.0, sponsored ,,ALPINO,1.0,kg,1,99.0,22.05,350.0
6, Sunfeast Dark Fantasy Original Choco Filled Cookie 300 g ,170.0,99.0,,,SUNFEAST,300.0,g,1,71.0,41.76,330.0
7, Parle-G Gold Biscuits 1 kg ,140.0,105.0,,,PARLE,1.0,kg,1,35.0,25.0,105.0
8, Britannia Jimjam Sandwich Biscuits 138 g ,35.0,24.0,,,BRITANNIA,138.0,g,1,11.0,31.43,173.91
9, Britannia NutriChoice Hi-Fibre Digestive Biscuits 1 kg ,179.0,155.0,,,BRITANNIA,1.0,kg,1,24.0,13.41,155.0
10, Shree Misthan Kaju Katli 400g (200g X 2) ,520.0,369.0,,,SHREE MISTHAN,400.0,g,1,151.0,29.04,922.5
11, Pintola Choco Spread Crunchy Peanut Butter 1kg ,499.0,449.0, sponsored ,,PINTOLA,1.0,kg,1,50.0,10.02,449.0
12, Sunfeast Dark Fantasy Choco Fills Cookies 75 g ,40.0,30.0,,,SUNFEAST,75.0,g,1,10.0,25.0,400.0
13, Munch 18 Yummy Treats 160.2 g ,100.0,66.0,,,MUNCH,560.0,g,1,34.0,34.0,117.86
14, Sunfeast Dark Fantasy Bourbon Biscuits 120 g ,35.0,17.0,,,SUNFEAST DARK FANTASY,120.0,g,1,18.0,51.43,141.67
15, Maggi 2-Minute Masala Instant Noodles 420 g ,84.0,68.0,,,MAGGI,420.0,g,1,16.0,19.05,161.9
16, Parle Hide & Seek Chocolate Chip Cookies 100 g ,30.0,25.0,,,PARLE,100.0,g,1,5.0,16.67,250.0
